new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,txt,caa,ns
[x],l.hello.remove.bg,"172.67.71.36, 104.26.2.68, 104.26.3.68","2606:4700:20::681a:244, 2606:4700:20::ac43:4724, 2606:4700:20::681a:344","abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],l.hello.unscreen.com,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],l.news.designify.com,"104.18.24.250, 104.18.25.250","2606:4700::6812:19fa, 2606:4700::6812:18fa","abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],zendesk1.kaleido.ai,"162.159.128.7, 162.159.138.6",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail1.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk1.remove.bg,"162.159.128.7, 162.159.138.6",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail1.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk1.unscreen.com,"162.159.138.6, 162.159.128.7, 184.72.174.126, 34.235.62.90, 3.213.143.227",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail1.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net"
[x],zendesk2.kaleido.ai,"162.159.128.7, 162.159.138.6, 34.235.62.90, 184.72.174.126, 3.213.143.227",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail2.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net"
[x],zendesk2.remove.bg,"162.159.128.7, 162.159.138.6",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail2.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk2.unscreen.com,"162.159.128.7, 162.159.138.6",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail2.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk3.kaleido.ai,"162.159.138.6, 162.159.128.7",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail3.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net"
[x],zendesk3.remove.bg,"162.159.138.6, 162.159.128.7, 3.213.143.227, 34.235.62.90, 184.72.174.126",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail3.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net"
[x],zendesk4.remove.bg,"162.159.128.7, 162.159.138.6",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail4.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,
,3.remove.bg,,,"abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,5.remove.bg,,,"abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,account.kaleido.ai,"172.67.172.18, 104.21.71.231",,"abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,api-beta.remove.bg,34.120.141.125,,"abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
,api-internal.remove.bg,,,"abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,api.designify.com,34.90.25.172,,"abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
,api.kaleido.ai,34.90.25.172,,"abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
,api.remove.bg,35.244.153.121,,"abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
,api.unscreen.com,34.102.174.121,,"abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
,beta.remove.bg,"172.67.71.36, 104.26.3.68, 104.26.2.68","2606:4700:20::ac43:4724, 2606:4700:20::681a:244, 2606:4700:20::681a:344","abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,danni.kaleido.ai,34.120.133.167,,"abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
,designify.com,"104.18.25.250, 104.18.24.250","2606:4700::6812:19fa, 2606:4700::6812:18fa","abby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com","google-site-verification=_X6gSsW6HZh5cZlVSixF7cCVWQSHzkWQhRX_Bpw4tfw, v=spf1 include:amazonses.com include:spf.mailjet.com include:mail.zendesk.com ~all, google-site-verification=6z_MxIGDHWXuBF45vNTkqUVeQRsi0Z1sTp7ooPPcVzM","comodoca.com, letsencrypt.org, digicert.com; cansignhttpexchanges=yes, pki.goog; cansignhttpexchanges=yes","earl.ns.cloudflare.com, abby.ns.cloudflare.com"
