new,host,a,soa,ns,status_code,aaaa,cname,mx,txt
[x],11-15.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns11.cloudns.net, pns13.cloudns.net, ns13.cloudns.net, pns14.cloudns.net, pns12.cloudns.net, ns12.cloudns.net, pns11.cloudns.net, ns14.cloudns.net",NOERROR,,,,
[x],155-9-171-98.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns13.cloudns.net, ns14.cloudns.net, ns11.cloudns.net, ns13.cloudns.net, pns11.cloudns.net, pns12.cloudns.net, pns14.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],155-9-172-77.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns12.cloudns.net, ns14.cloudns.net, pns14.cloudns.net, pns13.cloudns.net, pns11.cloudns.net, ns11.cloudns.net, ns13.cloudns.net, pns12.cloudns.net",NOERROR,,,,
[x],155-9-198-86.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],155-9-202-7.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns13.cloudns.net, pns11.cloudns.net, pns14.cloudns.net, ns12.cloudns.net, pns12.cloudns.net, pns13.cloudns.net, ns11.cloudns.net, ns14.cloudns.net",NOERROR,,,,
[x],155-9-204-73.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],155-9-218-95.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],155-9-223-52.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns12.cloudns.net, ns14.cloudns.net, pns11.cloudns.net, pns12.cloudns.net, pns13.cloudns.net, pns14.cloudns.net, ns13.cloudns.net, ns11.cloudns.net",NOERROR,,,,
[x],155-9-61-78.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],155-9-62-7.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],158-7-251-29.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],17-121-112-74.demo.kartpay.com,,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],17-121-114-11.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns13.cloudns.net, pns11.cloudns.net, ns13.cloudns.net, ns14.cloudns.net, pns12.cloudns.net, ns12.cloudns.net, ns11.cloudns.net, pns14.cloudns.net",NOERROR,,,,
[x],17-121-114-46.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],17-121-115-89.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, ns11.cloudns.net, pns13.cloudns.net, pns11.cloudns.net, pns14.cloudns.net, ns13.cloudns.net, pns12.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],17-121-117-70.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, ns12.cloudns.net, pns12.cloudns.net, pns11.cloudns.net, pns13.cloudns.net, pns14.cloudns.net, ns11.cloudns.net, ns13.cloudns.net",NOERROR,,,,
[x],17-121-117-83.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns13.cloudns.net, pns13.cloudns.net, pns12.cloudns.net, pns14.cloudns.net, ns12.cloudns.net, pns11.cloudns.net, ns11.cloudns.net, ns14.cloudns.net",NOERROR,,,,
[x],17-121-117-89.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns11.cloudns.net, pns12.cloudns.net, pns11.cloudns.net, ns12.cloudns.net, ns13.cloudns.net, pns14.cloudns.net, pns13.cloudns.net, ns14.cloudns.net",NOERROR,,,,
[x],17-121-119-49.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, pns11.cloudns.net, pns12.cloudns.net, ns12.cloudns.net, pns14.cloudns.net, pns13.cloudns.net, ns11.cloudns.net, ns13.cloudns.net",NOERROR,,,,
[x],17-121-120-56.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, pns11.cloudns.net, pns13.cloudns.net, ns12.cloudns.net, ns11.cloudns.net, pns14.cloudns.net, ns13.cloudns.net, pns12.cloudns.net",NOERROR,,,,
[x],17-121-121-35.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],17-121-122-14.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],17-121-123-20.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],17-121-123-54.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns13.cloudns.net, pns11.cloudns.net, ns13.cloudns.net, pns14.cloudns.net, ns12.cloudns.net, ns14.cloudns.net, pns12.cloudns.net, ns11.cloudns.net",NOERROR,,,,
[x],17-121-123-71.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns13.cloudns.net, ns14.cloudns.net, ns12.cloudns.net, pns12.cloudns.net, pns13.cloudns.net, pns14.cloudns.net, pns11.cloudns.net, ns11.cloudns.net",NOERROR,,,,
[x],17-121-123-90.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],17-121-125-15.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],17-121-125-94.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, pns14.cloudns.net, ns13.cloudns.net, ns11.cloudns.net, pns13.cloudns.net, pns11.cloudns.net, pns12.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],17-121-126-12.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, pns11.cloudns.net, pns14.cloudns.net, ns13.cloudns.net, ns11.cloudns.net, ns12.cloudns.net, pns12.cloudns.net, pns13.cloudns.net",NOERROR,,,,
[x],17-121-126-93.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns13.cloudns.net, pns14.cloudns.net, ns12.cloudns.net, pns12.cloudns.net, ns14.cloudns.net, pns13.cloudns.net, pns11.cloudns.net, ns11.cloudns.net",NOERROR,,,,
[x],17-121-127-26.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns11.cloudns.net, pns14.cloudns.net, ns13.cloudns.net, pns12.cloudns.net, ns14.cloudns.net, pns13.cloudns.net, ns11.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],17-121-127-72.mv431.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns12.cloudns.net, ns11.cloudns.net, pns11.cloudns.net, pns14.cloudns.net, pns13.cloudns.net, ns14.cloudns.net, pns12.cloudns.net, ns13.cloudns.net",NOERROR,,,,
[x],17-58-98-86.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns12.cloudns.net, ns12.cloudns.net, pns11.cloudns.net, ns11.cloudns.net, ns14.cloudns.net, pns13.cloudns.net, pns14.cloudns.net, ns13.cloudns.net",NOERROR,,,,
[x],17-58-99-5.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],18engine.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns12.cloudns.net, pns13.cloudns.net, ns14.cloudns.net, ns13.cloudns.net, pns14.cloudns.net, pns11.cloudns.net, ns11.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],193-74.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, pns11.cloudns.net, ns12.cloudns.net, pns13.cloudns.net, ns11.cloudns.net, pns12.cloudns.net, ns13.cloudns.net, pns14.cloudns.net",NOERROR,,,,
[x],1e272-hp5si.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],26.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, ns11.cloudns.net, ns13.cloudns.net, pns13.cloudns.net, ns12.cloudns.net, pns14.cloudns.net, pns12.cloudns.net, pns11.cloudns.net",NOERROR,,,,
[x],3-courier2.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns14.cloudns.net, ns11.cloudns.net, pns12.cloudns.net, pns13.cloudns.net, ns12.cloudns.net, ns14.cloudns.net, ns13.cloudns.net, pns11.cloudns.net",NOERROR,,,,
[x],30-courier2.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns12.cloudns.net, pns14.cloudns.net, pns11.cloudns.net, ns13.cloudns.net, ns11.cloudns.net, pns13.cloudns.net, ns14.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],3dv.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns14.cloudns.net, ns13.cloudns.net, ns12.cloudns.net, ns14.cloudns.net, pns11.cloudns.net, ns11.cloudns.net, pns12.cloudns.net, pns13.cloudns.net",NOERROR,,,,
[x],42410.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],66-220-157-67.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns14.cloudns.net, pns13.cloudns.net, ns14.cloudns.net, pns11.cloudns.net, ns12.cloudns.net, ns11.cloudns.net, pns12.cloudns.net, ns13.cloudns.net",NOERROR,,,,
[x],69-171-244-64.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],7.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns13.cloudns.net, pns12.cloudns.net, ns11.cloudns.net, pns11.cloudns.net, ns12.cloudns.net, ns14.cloudns.net, pns14.cloudns.net, ns13.cloudns.net",NOERROR,,,,
[x],7wj90.demo.kartpay.com,,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],a-162-150-169-24.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns12.cloudns.net, ns14.cloudns.net, ns13.cloudns.net, pns11.cloudns.net, pns12.cloudns.net, ns11.cloudns.net, pns14.cloudns.net, pns13.cloudns.net",NOERROR,,,,
[x],a-96-118-186-98.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns11.cloudns.net, ns14.cloudns.net, pns13.cloudns.net, pns14.cloudns.net, ns11.cloudns.net, ns13.cloudns.net, pns12.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],a-96-119-18-11.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns13.cloudns.net, pns12.cloudns.net, ns12.cloudns.net, ns14.cloudns.net, ns11.cloudns.net, pns14.cloudns.net, pns13.cloudns.net, pns11.cloudns.net",NOERROR,,,,
[x],a-96-119-243-24.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],a-96-119-83-91.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],a.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],a56.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, pns14.cloudns.net, ns11.cloudns.net, ns13.cloudns.net, ns12.cloudns.net, pns12.cloudns.net, pns13.cloudns.net, pns11.cloudns.net",NOERROR,,,,
[x],aamk.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns11.cloudns.net, ns14.cloudns.net, pns13.cloudns.net, ns13.cloudns.net, pns12.cloudns.net, ns12.cloudns.net, pns14.cloudns.net, ns11.cloudns.net",NOERROR,,,,
[x],aatd102-37.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],acceptatie-fms1.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns13.cloudns.net, ns14.cloudns.net, ns11.cloudns.net, pns11.cloudns.net, ns13.cloudns.net, pns14.cloudns.net, pns12.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],acceptatie-static-exchangedns.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns14.cloudns.net, ns13.cloudns.net, pns11.cloudns.net, pns13.cloudns.net, ns11.cloudns.net, pns12.cloudns.net, ns14.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],acceptatieflux-auth.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns12.cloudns.net, ns13.cloudns.net, pns14.cloudns.net, pns13.cloudns.net, pns12.cloudns.net, ns11.cloudns.net, ns14.cloudns.net, pns11.cloudns.net",NOERROR,,,,
[x],access-awsauth-antiviruspre.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],access-backup-start-clients.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],access-cms-enassets-defaultproduction.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
