input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,final_url,tls_expired
32red.com,Best Online Casino UK - Play Now With 32Red's Welcome Bonus,200,246922,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.32red.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-23T08:04:52Z,2023-08-23T08:03:52Z,"C=MT, L=Sliema, O=Kindred IP Limited, CN=*.32red.com",*.32red.com,www.32red.com,"emailAddress=ca@trustwave.com, CN=Trustwave Organization Validation SHA256 CA\, Level 1, O=Trustwave Holdings\, Inc., L=Chicago, ST=Illinois, C=US, emailAddress=ca@trustwave.com","Trustwave Organization Validation SHA256 CA, Level 1","Trustwave Holdings, Inc.",f9d579c6bae50eaf91d5c49ab1cdad2a,f503fa36d0dc98376c242e95fb8034cfb4745fa73bb1428348112c39c86234e9,ctls,www.32red.com,cloudflare,443,https://32red.com:443,https,cloudflare,text/html,GET,104.16.185.79,/,1563116023,104.17.116.43,PHP,4561,False,True,https:,Kindred IP Limited,True,,https://www.32red.com/,
a1s-cdn.unibet.com,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,a1s-cdn.unibet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-09T01:18:59Z,2023-08-07T01:18:58Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89162910c48b854d1178771e58fa1d89,02df406aee1abdd472e2f5fba063dcbebebd160af481c63c8120efe14158cc06,ctls,a1s-cdn.unibet.com,,443,https://a1s-cdn.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.5,/,1131193170,85.184.96.5,HSTS,14,False,,https:,,True,True,,
a1s.unibet.com,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,a1s.unibet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-09T01:18:59Z,2023-08-07T01:18:58Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89162910c48b854d1178771e58fa1d89,02df406aee1abdd472e2f5fba063dcbebebd160af481c63c8120efe14158cc06,ctls,a1s.unibet.com,,443,https://a1s.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.5,/,1457316476,85.184.96.5,HSTS,8,False,,http:,,True,True,,
ads-cdn.unibet.com,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,ads-cdn.unibet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-09T01:18:59Z,2023-08-07T01:18:58Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89162910c48b854d1178771e58fa1d89,02df406aee1abdd472e2f5fba063dcbebebd160af481c63c8120efe14158cc06,ctls,ads-cdn.unibet.com,,443,https://ads-cdn.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.5,/,1131193170,85.184.96.5,HSTS,14,False,,https:,,True,True,,
ads.unibet.com,503 Service Temporarily Unavailable,503,592,AS47171,UNIBET-AS,MT,85.184.96.0/20,ads.unibet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-09T01:18:59Z,2023-08-07T01:18:58Z,CN=unibet.com,unibet.com,unibet.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89162910c48b854d1178771e58fa1d89,02df406aee1abdd472e2f5fba063dcbebebd160af481c63c8120efe14158cc06,ctls,ads.unibet.com,,443,https://ads.unibet.com:443,https,kindred-loadbalancer,text/html,GET,85.184.96.5,/,1131193170,85.184.96.5,HSTS,14,False,,https:,,True,True,,
adserving.unibet.com,403 - Forbidden: Access is denied.,403,1233,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,adserving.unibet.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-02T10:59:29Z,2023-05-31T10:59:28Z,CN=sni.netrefer.com,sni.netrefer.com,www.skycitycasinomedia.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5b5bd800916eedc9fa43f95a67b0b57c,264e9a70d63bfab7518a8c90121dcb61e246a73dea4e79960b8eac10ab67b6e4,ctls,adserving.unibet.com,,443,https://adserving.unibet.com:443,https,,text/html,GET,23.213.161.225,/,1631801191,2a02:26f0:480:22::1726:62c8,,30,False,,,,,,,
af.unibet.fr,Login,200,21561,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,af.unibet.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-17T10:19:41Z,2024-01-17T10:18:41Z,"C=MT, L=Sliema, O=SPS Betting France Limited, CN=af.unibet.fr",af.unibet.fr,media.unibet.fr,"emailAddress=ca@trustwave.com, CN=Trustwave Organization Validation SHA256 CA\, Level 1, O=Trustwave Holdings\, Inc., L=Chicago, ST=Illinois, C=US, emailAddress=ca@trustwave.com","Trustwave Organization Validation SHA256 CA, Level 1","Trustwave Holdings, Inc.",1d67e04c03be4eca416abfe3cc082df2,37e22aa651fa968a9c9b72f7f5bacd5dc8fa095ad1b15ffc5fefb40366e3409d,ctls,af.unibet.fr,,443,https://af.unibet.fr:443,https,,text/html,GET,13.107.253.45,/,292404976,2620:1ec:48:1::45,Microsoft ASP.NET:4.0.30319,416,False,,,SPS Betting France Limited,,,https://af.unibet.fr/Login.aspx?ReturnUrl=%2f,
affiliates.unibet.fr,,403,311,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,affiliates.unibet.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-17T10:19:41Z,2024-01-17T10:18:41Z,"C=MT, L=Sliema, O=SPS Betting France Limited, CN=af.unibet.fr",af.unibet.fr,media.unibet.fr,"emailAddress=ca@trustwave.com, CN=Trustwave Organization Validation SHA256 CA\, Level 1, O=Trustwave Holdings\, Inc., L=Chicago, ST=Illinois, C=US, emailAddress=ca@trustwave.com","Trustwave Organization Validation SHA256 CA, Level 1","Trustwave Holdings, Inc.",1d67e04c03be4eca416abfe3cc082df2,37e22aa651fa968a9c9b72f7f5bacd5dc8fa095ad1b15ffc5fefb40366e3409d,ctls,affiliates.unibet.fr,,443,https://affiliates.unibet.fr:443,https,,text/html,GET,13.107.253.45,/,-151089803,2620:1ec:4f:1::45,Microsoft ASP.NET,20,False,,,SPS Betting France Limited,,,,
affiliation.unibet.fr,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,affiliation.unibet.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-17T09:21:43Z,2023-09-11T09:20:43Z,"C=MT, L=Sliema, O=SPS Betting France Limited, CN=*.unibet.fr",*.unibet.fr,unibetimpact.fr,"emailAddress=ca@trustwave.com, CN=Trustwave Organization Validation SHA256 CA\, Level 1, O=Trustwave Holdings\, Inc., L=Chicago, ST=Illinois, C=US, emailAddress=ca@trustwave.com","Trustwave Organization Validation SHA256 CA, Level 1","Trustwave Holdings, Inc.",a0facc4c37c65480335cdbe8729b5aa3,d569394beb1e9cdefb2308f07287efa16a31516356e8ca9c1b4f0e7129a1eddb,ctls,affiliation.unibet.fr,,443,https://affiliation.unibet.fr:443,https,kindred-loadbalancer,text/html,GET,85.184.96.42,/,1457316476,85.184.96.42,HSTS,8,False,,https:,SPS Betting France Limited,True,,,
aide.unibet.fr,Help center,200,7854,AS47171,UNIBET-AS,MT,85.184.96.0/20,unibet-fr.helpsite.cloud,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-10T23:59:59Z,CN=*.helpsite.cloud,*.helpsite.cloud,*.helpsite.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d7e35b7a84931de3da015fc436c62581,5cc5d50fe949de8d73086434237ebbe59b3757baa41ec24768e6293f254c86fc,ctls,unibet-fr.helpsite.cloud,,443,https://aide.unibet.fr:443,https,nginx,text/html,GET,85.184.96.0,/,-771634295,85.184.96.0,Nginx,139,False,,,,True,,https://unibet-fr.helpsite.cloud/home,
api-dev.kindredext.net,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,api-dev.kindredext.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-07T01:24:53Z,2023-08-05T01:24:52Z,CN=kindredext.net,kindredext.net,kindredext.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d17fe84cead1b0fc186e24856098ddad,fe9cd0d4b02b83f4b1928f02b88af11ca59b6594f62484c09a31b07c6f116035,ctls,api-dev.kindredext.net,,443,https://api-dev.kindredext.net:443,https,kindred-loadbalancer,text/html,GET,85.184.97.2,/,1457316476,85.184.97.2,HSTS,8,False,,http:,,True,,,
api-qa1.kindredext.net,503 Service Temporarily Unavailable,503,190,AS47171,UNIBET-AS,MT,85.184.96.0/20,api-qa1.kindredext.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T03:46:19Z,2023-06-05T03:46:18Z,CN=kindredext.net,kindredext.net,kindredext.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86b0943f013490cc68a7847629f22ce1,7220909bddf6ea9654ac5cc81f792a79018a7b9dd91bdffe65ad18bb630b3112,ctls,api-qa1.kindredext.net,,443,https://api-qa1.kindredext.net:443,https,kindred-loadbalancer,text/html,GET,85.184.97.0,/,1457316476,85.184.97.0,HSTS,8,False,,https:,,True,,,
