host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,caa,has_internal_ips,internal_ips
1.docs.kubernetes.io,"34.74.37.249, 18.213.222.111","2600:1f18:2489:8202::c8, 2600:1f18:2489:8201::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
4.docs.k8s.io,"35.246.229.114, 34.141.103.251","2a05:d014:275:cb00::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
2fsr.docs.k8s.io,"34.141.72.9, 34.141.103.251","2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
120mbk8s.683kbk8s.gcr.io,74.125.133.82,2a00:1450:400c:c07::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
2fv1-20.docs.kubernetes.io,"18.192.231.252, 34.141.11.154","2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
1.docs.k8s.io,"34.141.103.251, 34.141.72.9","2600:1f18:2489:8201::c8, 2600:1f18:2489:8202::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
2.docs.k8s.io,"34.141.48.9, 34.159.58.69","2600:1f1c:471:9d01::c8, 2600:1f1c:471:9d00::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
276bucket4.683kbk8s.gcr.io,108.177.14.82,2a00:1450:4010:c0f::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
25.683kbk8s.gcr.io,173.194.76.82,2a00:1450:400c:c00::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
1-8.docs.k8s.io,"34.148.97.127, 34.148.147.18","2600:1f18:2489:8202::c8, 2600:1f18:2489:8200::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
3mbk8s.docs.k8s.io,"18.192.231.252, 34.159.25.198","2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
0k8s.docs.kubernetes.io,"18.192.231.252, 35.156.224.161","2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
5.docs.kubernetes.io,"34.74.37.249, 104.196.30.220","2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
51e6f.docs.k8s.io,"34.141.28.239, 3.72.140.173","2a05:d014:275:cb00::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
120mbk8s.docs.kubernetes.io,"18.192.231.252, 34.141.48.9","2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
64j-m21.683kbk8s.gcr.io,108.177.126.82,2a00:1450:4013:c1a::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
