new,host,soa,status_code,a,aaaa,cdn,cdn-name,caa,cname
[x],api.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],app.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],app.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],bw.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.67.70.159, 104.26.6.8, 104.26.7.8","2606:4700:20::681a:708, 2606:4700:20::681a:608, 2606:4700:20::ac43:469f",True,cloudflare,,
[x],dev.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],dev.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],dl.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],email.em.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],files.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.21.53.65, 172.67.209.169","2606:4700:3037::6815:3541, 2606:4700:3033::ac43:d1a9",True,cloudflare,,
[x],files.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.26.7.8, 172.67.70.159, 104.26.6.8","2606:4700:20::ac43:469f, 2606:4700:20::681a:608, 2606:4700:20::681a:708",True,cloudflare,,
[x],fonts-dev.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.26.7.8, 172.67.70.159, 104.26.6.8","2606:4700:20::681a:708, 2606:4700:20::ac43:469f, 2606:4700:20::681a:608",True,cloudflare,,
[x],fonts-test.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.26.6.8, 172.67.70.159, 104.26.7.8","2606:4700:20::ac43:469f, 2606:4700:20::681a:608, 2606:4700:20::681a:708",True,cloudflare,,
[x],fonts.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.26.6.8, 172.67.70.159, 104.26.7.8","2606:4700:20::ac43:469f, 2606:4700:20::681a:708, 2606:4700:20::681a:608",True,cloudflare,,
[x],g.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],git.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],k8s-resources.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"pki.goog; cansignhttpexchanges=yes, admin@legalrobot.com, letsencrypt.org, globalsign.com, digicert.com; cansignhttpexchanges=yes, comodoca.com",
[x],mail.legalrobot.com,"ns1.google.com, dns-admin.google.com",NOERROR,,2607:f8b0:4002:c09::79,,,,ghs.googlehosted.com
[x],registry.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-525.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-540.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-541.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-542.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-543.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-545.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-547.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-548.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-549.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-551.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-554.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-556.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-560.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-561.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-562.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-565.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-566.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-567.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-568.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-570.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-572.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-573.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-574.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-575.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-576.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-577.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],review-578.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],s.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.67.70.159, 104.26.6.8, 104.26.7.8","2606:4700:20::ac43:469f, 2606:4700:20::681a:708, 2606:4700:20::681a:608",True,cloudflare,,
[x],scan.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,,
[x],static.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],test.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],test.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],www.app.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],www.git.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],www.legalrobot-test.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],www.legalrobot.com,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.26.6.8, 104.26.7.8, 172.67.70.159","2606:4700:20::681a:708, 2606:4700:20::ac43:469f, 2606:4700:20::681a:608",True,cloudflare,,
