input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_wildcard_certificate,cdn_name,webserver,cdn,tls_subject_org_,final_url,tls_mismatched
academy.lemlist.com,AcademyOcean — LMS Platform For Automated Onboarding And Interactive Online Training,200,151237,AS24940,HETZNER-AS,DE,178.63.0.0/16,academyocean.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-05-07T16:44:17Z,2023-08-05T16:44:16Z,CN=academyocean.com,academyocean.com,www.academyocean.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,177943b537a81aa976dbfa3f56e31c10,67b18c955c958258b04772c5073e7115fcc4ca8560b11735878ffa4b38d503e5,ctls,academyocean.com,443,https://academy.lemlist.com:443,https,text/html,GET,178.63.0.188,/,-1840324437,178.63.0.188,Nginx,15,False,,,,nginx,,,https://academyocean.com/,
api.lemlist.com,lemlist,200,5509,AS16276,OVH,FR,147.135.0.0/16,api.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T22:58:19Z,2023-06-24T22:58:18Z,CN=api.lemlist.com,api.lemlist.com,api.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,99b0f3d0e97046efc430e994f7129286,dfbe26797b5f031637f796eba57969be538cd179089c7523b1ed561804b5bba7,ctls,api.lemlist.com,443,https://api.lemlist.com:443,https,text/html,GET,147.135.229.201,/,-1840324437,147.135.229.201,Node.js,72,False,https://*.driftt.com,,,,,,,
blog.lemlist.com,Cold Email Outreach & Sales Strategies to Grow Your Business,200,103982,AS54113,FASTLY,US,151.101.8.0/22,blog.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-02T00:00:00Z,2023-07-31T23:59:59Z,CN=blog.lemlist.com,blog.lemlist.com,blog.lemlist.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,785cf361ed5fa2b8d50e11a478620788,c19abae49939cb3f067b34397e7d899910a18321a114772bbf86eae511984a27,ctls,blog.lemlist.com,443,https://blog.lemlist.com:443,https,text/html,GET,151.101.3.7,/,928753121,2a04:4e42:600::775,Varnish,2807,False,,,fastly,openresty,True,,,
change.lemlist.com,"Best Cold Email Templates - Real Data, Free Access",200,285855,AS29169,GANDI-AS Domain name registrar - www.gandi.net,FR,217.70.184.0/24,www.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-24T05:12:43Z,2023-05-25T05:12:42Z,CN=www.lemlist.com,www.lemlist.com,www.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8e4e4a4d1ef5e3ebdaa8345064a1f63c,6945773a0b5af29c713c0ce4c0c5203eb24034dfe47a335beb06ccff9552db11,ctls,www.lemlist.com,80,http://change.lemlist.com:80,http,text/html,GET,217.70.184.50,/,2015787914,217.70.184.50,Webflow,1453,False,,,,,,,https://www.lemlist.com/cold-email-templates,
cust1.lemlist.com,Custom domain check,200,390,AS16276,OVH,FR,91.134.0.0/16,cust1.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2023-07-19T23:59:59Z,CN=cust1.lemlist.com,cust1.lemlist.com,cust1.lemlist.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,34baf30bbf54b72fa2447d0d49ff862a,9b4a916e3eea0c81259312f9a19f58b3aa147dd81818ab07584d951ee87f2ca6,ctls,cust1.lemlist.com,443,https://cust1.lemlist.com:443,https,text/html,GET,91.134.167.250,/,-1840324437,91.134.167.250,HTTP/3,21,False,,,,,,,,
custom.staging.lemlist.com,Custom domain check,200,390,AS16276,OVH,FR,141.94.0.0/15,custom.staging.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T00:00:00Z,2023-06-22T23:59:59Z,CN=custom.staging.lemlist.com,custom.staging.lemlist.com,custom.staging.lemlist.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,550ddae395ac059f784f7b7cf9ef2176,b253730cd5502b4c50299897dddb8777c4217c2f2832fe88b7f3c5f9b6da6f66,ctls,custom.staging.lemlist.com,443,https://custom.staging.lemlist.com:443,https,text/html,GET,141.94.218.125,/,-1840324437,141.94.218.125,HTTP/3,21,False,,,,,,,,
custom.staging1.lemlist.com,Custom domain check,200,390,AS16276,OVH,FR,54.36.0.0/14,,,,,,,,,,,,,,,,,,80,http://custom.staging1.lemlist.com:80,http,text/html,GET,54.36.176.86,/,-1840324437,2001:41d0:303:4656::,,21,False,,,,,,,,
custom2.lemlist.com,Custom domain check,200,390,AS16276,OVH,FR,51.91.0.0/16,custom2.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2023-07-07T23:59:59Z,CN=custom2.lemlist.com,custom2.lemlist.com,custom2.lemlist.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,493833b2ba9d82b7c779bbc86f662384,228e3f18ed70e119a597100aaed1f2b551845b0d5fdd6a46e132abc891438777,ctls,custom2.lemlist.com,443,https://custom2.lemlist.com:443,https,text/html,GET,51.91.128.49,/,-1840324437,51.91.128.49,HTTP/3,21,False,,,,,,,,
db.lemlist.com,Custom domain check,200,390,AS16276,OVH,FR,51.91.0.0/16,,,,,,,,,,,,,,,,,,80,http://db.lemlist.com:80,http,text/html,GET,51.91.17.130,/,-1840324437,51.91.17.130,,21,False,,,,,,,,
email.lemlist.com,,404,,AS16276,OVH,FR,149.202.0.0/16,email.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T14:38:57Z,2023-08-03T14:38:56Z,CN=email.lemlist.com,email.lemlist.com,email.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ddf04d8faf541d59677c3e80e4987738,8df36a2724ca2a8d0ba64e2f45d5f26d767f366eb8c6460bbc870dfe00bc129e,ctls,email.lemlist.com,443,https://email.lemlist.com:443,https,,GET,149.202.81.155,/,2115503941,149.202.81.155,HTTP/3,1,False,,,,Caddy,,,,
