new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx,caa
[x],aiot.lenovo.com.cn,,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],api-less.uds-dev.lenovo.com,"54.197.131.158, 18.214.230.18, 52.202.191.19","ns-1067.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],aurora.lenovo.com,103.212.14.23,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],clubstatic.lenovo.com.cn,,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],do.lenovo.com.cn,103.212.14.27,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],fdc.lenovo.com,23.212.208.169,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"fdc.lenovo.com.edgekey.net, e7741.dscx.akamaiedge.net",,,"2a02:26f0:1700:394::1e3d, 2a02:26f0:1700:383::1e3d",,,,,,
[x],gj.lenovo.com,39.103.35.140,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,"gj-lenovo.lenovomm.com, app-lenovo.lenovomm.com, app-lenovo.mbgstore.lenovo.com.cn",,,,,,,,,
[x],guest.lenovo.com.cn,163.171.128.148,"dns1.wscdns.org, webmaster.glb0.lxdns.com",NOERROR,guest.lenovo.com.cn.wscdns.com,,,,,,,,,
[x],hcm.lenovo.com,146.196.114.135,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],help.lenovo.com.cn,157.185.178.99,"dns1.wswebcdn.org, webmaster.glb0.lxdns.com",NOERROR,help.lenovo.com.cn.wswebcdn.com,,,2606:1980:b::20,,,,,,
[x],hi.lenovo.com,39.106.232.147,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,pcsdgslb1.lenovo.com.cn,,,,,,,,,
[x],hi.lenovo.com.cn,101.201.198.199,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,slb-browser-traffic.mbgcdn.lenovo.com.cn,,,,,,,,,
[x],jr.lenovo.com.cn,,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],jzhedm.lenovo.com.cn,211.149.142.211,"vip1.alidns.com, hostmaster.hichina.com",NOERROR,cdn.wjx.cn,,,,,,,,,
[x],kabbms.lenovo.com.cn,43.255.227.23,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],m.17.lenovo.com.cn,115.29.247.162,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],m.b2b.lenovo.com.cn,"163.181.92.228, 163.181.92.229, 163.181.92.230, 163.181.92.231, 163.181.92.232, 163.181.92.225, 163.181.92.226, 163.181.92.227","ns3.alikunlun.com, root.taobao.com",NOERROR,m.b2b.lenovo.com.cn.w.alikunlun.com,,,,,,,,,
[x],marketing.lenovo.com.cn,138.113.147.154,"dns1.wswebcdn.org, webmaster.glb0.lxdns.com",NOERROR,marketing.lenovo.com.cn.wswebcdn.com,,,,,,,,,
[x],mdp.lenovo.com,139.217.9.109,"ns1-01.azure-dns.cn, waboa.microsoft.com",NOERROR,cidasense.chinacloudapp.cn,,,,,,,,,
[x],mes.lenovo.com,223.202.62.234,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],mit.lenovo.com,115.29.16.130,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],monitor.qliksense.lenovo.com,43.255.226.174,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],mu.motorola.com,,"il93m-il12.mot-mobility.com, hostmaster.il93m-il12.mot-mobility.com",NOERROR,usa-motorola.fweb.motorolamobility.com,,,,,,,,,
[x],newsletter.lenovo.com,43.255.226.109,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
[x],ns3.lenovo.com,12.11.224.132,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
