new,host,a,mx,soa,ns,txt,caa,status_code,cdn,cdn-name,cname,aaaa
[x],accounts-staging.letsbuild.com,"52.31.181.224, 54.171.33.171, 52.19.128.218",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
[x],accounts.letsbuild.com,"34.242.142.238, 52.18.35.63, 34.255.88.88",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
[x],admin-dev.site-diary.letsbuild.com,199.36.158.100,,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
[x],admin.site-diary.letsbuild.com,199.36.158.100,,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
[x],analytics.letsbuild.com,"52.222.139.16, 52.222.139.90, 52.222.139.106, 52.222.139.15",,"ns-648.awsdns-17.net, awsdns-hostmaster.amazon.com","ns-1521.awsdns-62.org, ns-1590.awsdns-06.co.uk, ns-484.awsdns-60.com, ns-648.awsdns-17.net",,,NOERROR,True,cloudfront,,
[x],api.app.letsbuild.com,"54.74.184.246, 52.215.151.93, 34.243.66.103",,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/production/gateway",,NOERROR,,,,
[x],app-dev.aproplan.letsbuild.com,"54.171.33.171, 52.19.128.218, 52.31.181.224",,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,,,master.geniebelt.com,
[x],app.letsbuild.com,"52.215.151.93, 34.243.66.103, 54.74.184.246","aspmx2.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com, aspmx.l.google.com","ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,"letsencrypt.org, mailto:security+caa@letsbuild.com, amazon.com",NOERROR,,,,
[x],assignement-event.letsbuild.com,,,,,,,NOERROR,,,,
[x],dev-kafka.letsbuild.com,,,,,,,NOERROR,,,,
[x],dev-marcini.letsbuild.com,,,,,,,NOERROR,,,,
[x],dev.api.integrations.letsbuild.com,"99.81.246.234, 108.129.30.8",,"ns-510.awsdns-63.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
[x],dev.site-diary.letsbuild.com,199.36.158.100,,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
[x],developers.letsbuild.com,"104.18.210.56, 104.18.211.56",,"jeremy.ns.cloudflare.com, dns.cloudflare.com",,,"comodoca.com, digicert.com, letsencrypt.org, pki.goog; cansignhttpexchanges=yes",NOERROR,True,cloudflare,ssl.readmessl.com,"2606:4700::6812:d338, 2606:4700::6812:d238"
[x],diary.app.letsbuild.com,"54.74.184.246, 52.215.151.93, 34.243.66.103",,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/production/diary",,NOERROR,,,,
[x],file.app.letsbuild.com,"52.215.151.93, 34.243.66.103, 54.74.184.246",,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/production/file",,NOERROR,,,,
