new,host,a,soa,status_code,cname,aaaa,cdn,cdn-name,caa,txt,mx,ns,has_internal_ips,internal_ips
[x],transfer.li.me,184.168.131.241,"ns45.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
,ablink.juicer.li.me,"52.9.114.249, 52.52.9.112, 13.57.168.50, 18.144.127.61","ns-1925.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,thirdparty.bnc.lt,,,,"digicert.com, entrust.net, letsencrypt.org",v=spf1 -all,,,,
,ablink.marketing.li.me,"52.52.9.112, 52.9.114.249, 13.57.168.50, 18.144.127.61","ns-1925.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,thirdparty.bnc.lt,,,,"digicert.com, entrust.net, letsencrypt.org",v=spf1 -all,,,,
,ablink.rider.li.me,"13.57.168.50, 52.52.9.112, 52.9.114.249, 18.144.127.61","ns-1925.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,thirdparty.bnc.lt,,,,"entrust.net, digicert.com, letsencrypt.org",v=spf1 -all,,,,
,abmail.juicer.li.me,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,u10283878.wl129.sendgrid.net,,,,,,mx.sendgrid.net,,,
,abmail.rider.li.me,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,u10283878.wl129.sendgrid.net,,,,,v=spf1 ip4:149.72.195.23 ip4:149.72.209.193 ip4:168.245.65.63 -all,mx.sendgrid.net,,,
,about.li.me,"104.18.5.243, 104.18.4.243","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,about.li.me.cdn.cloudflare.net,"2606:4700::6812:5f3, 2606:4700::6812:4f3",True,cloudflare,,,,,,
,act.li.me,"3.217.51.254, 3.224.149.200, 52.22.203.213, 44.207.167.9","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,lime.routing.advocacytools.co,,,,,,,,,
,admintool-staging.lime.bike,"104.18.12.237, 104.18.13.237","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,admintool.lime.bike,"104.18.13.237, 104.18.12.237","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,airflow-mwaa.limeinternal.com,"104.17.176.44, 104.18.219.95","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:db5f, 2606:4700::6811:b02c",True,cloudflare,,,,,,
,airflow.limeinternal.com,"104.17.176.44, 104.18.219.95","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6811:b02c, 2606:4700::6812:db5f",True,cloudflare,,,,,,
,apps.li.me,"3.33.152.147, 15.197.142.173","ns45.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
,apsouth1-vpn.li.me,18.163.52.222,"ns45.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
