input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_subject_org_,tls_expired,tls_self_signed
ablink.juicer.li.me,E-scooter & E-bike Sharing | Lime Micromobility,,408404,www.li.me,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.li.me,443,https://ablink.juicer.li.me:443,https,cloudflare,text/html,GET,52.52.9.112,Yii,1636,,"Cloudflare, Inc.",,
ablink.marketing.li.me,E-scooter & E-bike Sharing | Lime Micromobility,,408404,www.li.me,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.li.me,443,https://ablink.marketing.li.me:443,https,cloudflare,text/html,GET,52.9.114.249,Yii,1636,,"Cloudflare, Inc.",,
ablink.rider.li.me,E-scooter & E-bike Sharing | Lime Micromobility,,407929,www.li.me,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.li.me,443,https://ablink.rider.li.me:443,https,cloudflare,text/html,GET,52.9.114.249,Yii,1636,,"Cloudflare, Inc.",,
about.li.me,About Us | Lime Micromobility | Lime Micromobility,,395224,www.li.me,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.li.me,443,https://about.li.me:443,https,cloudflare,text/html,GET,104.18.4.243,SEOmatic,1500,True,"Cloudflare, Inc.",,
act.li.me,,,,act.li.me,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,CN=act.li.me,act.li.me,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,act.li.me,443,https://act.li.me:443,https,,text/html,GET,3.217.51.254,HSTS,1,,,,
admintool-staging.lime.bike,,,487,admintool-staging.lime.bike,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-18T00:00:00Z,"CN=lime.bike, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",lime.bike,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,admintool-staging.lime.bike,443,https://admintool-staging.lime.bike:443,https,cloudflare,text/html,GET,104.18.12.237,Cloudflare,1,True,"Cloudflare, Inc.",,
admintool.lime.bike,Attention Required! | Cloudflare,,4512,admintool.lime.bike,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-18T00:00:00Z,"CN=lime.bike, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",lime.bike,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,admintool.lime.bike,443,https://admintool.lime.bike:443,https,cloudflare,text/html,GET,104.18.13.237,Cloudflare,94,True,"Cloudflare, Inc.",,
airflow-mwaa.limeinternal.com,Airflow,,16210,airflow-mwaa.limeinternal.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,airflow-mwaa.limeinternal.com,443,https://airflow-mwaa.limeinternal.com:443,https,cloudflare,text/html,GET,104.18.219.95,Font Awesome,310,True,"Cloudflare, Inc.",,
airflow.limeinternal.com,503 Service Temporarily Unavailable,,564,airflow.limeinternal.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,airflow.limeinternal.com,443,https://airflow.limeinternal.com:443,https,cloudflare,text/html,GET,104.17.176.44,Cloudflare,13,True,"Cloudflare, Inc.",,
apps.li.me,Sign in - Google Accounts,,591666,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,80,http://apps.li.me:80,http,ESF,text/html,GET,15.197.142.173,HTTP/3,46,,,,
assets.lime.bike,,,243,assets.lime.bike,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,CN=*.lime.bike,*.lime.bike,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,assets.lime.bike,443,https://assets.lime.bike:443,https,AmazonS3,application/xml,GET,52.222.236.86,Amazon Web Services,2,True,,,
brand.li.me,Password Protection,,3551,brand.li.me,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T15:50:08Z,CN=brand.li.me,brand.li.me,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,brand.li.me,443,https://brand.li.me:443,https,Netlify,text/html,GET,34.159.25.198,Netlify,134,True,,,
brandbook.li.me,,,22783,brandbook.li.me,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T15:03:39Z,CN=brandbook.li.me,brandbook.li.me,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,brandbook.li.me,443,https://brandbook.li.me:443,https,Caddy nginx,text/html,GET,34.255.141.168,Readymag,35,,,,
cdn-test.li.me,,,243,cdn-test.li.me,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,cdn-test.li.me,443,https://cdn-test.li.me:443,https,cloudflare,application/xml,GET,104.18.5.243,HTTP/3,2,True,"Cloudflare, Inc.",,
data-entrypoint-api-staging.limeinternal.com,,,41,data-entrypoint-api-staging.limeinternal.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,data-entrypoint-api-staging.limeinternal.com,443,https://data-entrypoint-api-staging.limeinternal.com:443,https,cloudflare,text/html,GET,104.17.176.44,Node.js,2,True,"Cloudflare, Inc.",,
data-entrypoint-api.limeinternal.com,,,41,data-entrypoint-api.limeinternal.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,data-entrypoint-api.limeinternal.com,443,https://data-entrypoint-api.limeinternal.com:443,https,cloudflare,text/html,GET,104.17.176.44,Node.js,2,True,"Cloudflare, Inc.",,
data-staging.limeinternal.com,Lime Data Portal,,894,data-staging.limeinternal.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,data-staging.limeinternal.com,443,https://data-staging.limeinternal.com:443,https,cloudflare,text/html,GET,104.17.176.44,Cloudflare,1,True,"Cloudflare, Inc.",,
data.limeinternal.com,Attention Required! | Cloudflare,,4519,data.limeinternal.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,data.limeinternal.com,443,https://data.limeinternal.com:443,https,cloudflare,text/html,GET,104.17.176.44,Cloudflare,94,True,"Cloudflare, Inc.",,
enterpriseenrollment.li.me,403 Forbidden,,328,enterpriseenrollment.li.me,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,2015-04-17T15:17:47Z,"CN=end user catalog, OU=euc, O=vmware, L=Palo Alto, ST=CA, C=US",end user catalog,"CN=end user catalog, OU=euc, O=vmware, L=Palo Alto, ST=CA, C=US",end user catalog,vmware,ctls,enterpriseenrollment.li.me,443,https://enterpriseenrollment.li.me:443,https,Apache,text/html,GET,192.30.68.90,Apache,12,,vmware,,True
external-data.lime.bike,,,23,external-data.lime.bike,443,tls13,TLS_AES_128_GCM_SHA256,2019-05-14T00:00:00Z,CN=*.lime.bike,*.lime.bike,"CN=Amazon, OU=Server CA 1B, O=Amazon, C=US",Amazon,Amazon,ctls,external-data.lime.bike,443,https://external-data.lime.bike:443,https,,application/json,GET,143.204.89.82,Amazon Web Services,1,True,,True,
go.li.me,E-scooter & E-bike Sharing | Lime Micromobility,,408404,www.li.me,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.li.me,443,https://go.li.me:443,https,cloudflare,text/html,GET,3.215.172.219,Yii,1636,,"Cloudflare, Inc.",,
golden-airflow-mwaa.limeinternal.com,Airflow,,16210,golden-airflow-mwaa.limeinternal.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,golden-airflow-mwaa.limeinternal.com,443,https://golden-airflow-mwaa.limeinternal.com:443,https,cloudflare,text/html,GET,104.17.176.44,Font Awesome,310,True,"Cloudflare, Inc.",,
golden-airflow.limeinternal.com,Origin DNS error | golden-airflow.limeinternal.com | Cloudflare,,6245,golden-airflow.limeinternal.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,golden-airflow.limeinternal.com,443,https://golden-airflow.limeinternal.com:443,https,cloudflare,text/html,GET,104.17.176.44,Cloudflare,93,True,"Cloudflare, Inc.",,
help.li.me,Security check,,7602,help.li.me,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-23T23:39:44Z,CN=help.li.me,help.li.me,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,help.li.me,443,https://help.li.me:443,https,cloudflare,text/html,GET,104.16.53.111,Cloudflare,103,True,,,
help.lime.bike,Security check,,7694,help.li.me,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-23T23:39:44Z,CN=help.li.me,help.li.me,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,help.li.me,443,https://help.lime.bike:443,https,cloudflare,text/html,GET,104.18.13.237,Cloudflare,103,True,,,
https://api.amplitude.com/,,,13,api.amplitude.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,CN=*.amplitude.com,*.amplitude.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,ctls,api.amplitude.com,443,https://api.amplitude.com:443,https,,text/html,GET,44.240.95.69,HSTS,1,,,,
https://api.stripe.com/,,,361,api.stripe.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,"CN=api.stripe.com, O=Stripe\, Inc, L=San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,ctls,api.stripe.com,443,https://api.stripe.com:443,https,nginx,application/json,GET,34.250.29.31,Nginx,7,,"Stripe, Inc",,
https://browser.sentry-cdn.com/,,,13,browser.sentry-cdn.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-28T14:23:42Z,CN=*.sentry-cdn.com,*.sentry-cdn.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,browser.sentry-cdn.com,443,https://browser.sentry-cdn.com:443,https,Fastly,text/plain,GET,151.101.130.217,HSTS,1,True,,,
