input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_subject_org_,tls_expired
ablink.ae.linktr.ee,Linktree Mobile App on Desktop - Linktree,,225369,linktr.ee,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-18T20:27:38Z,CN=linktr.ee,linktr.ee,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,linktr.ee,443,https://ablink.ae.linktr.ee:443,https,GatsbyHosting,text/html,GET,52.9.114.249,webpack,384,,,
ablink.ma.linktr.ee,Linktree Mobile App on Desktop - Linktree,,225369,linktr.ee,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-18T20:27:38Z,CN=linktr.ee,linktr.ee,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,linktr.ee,443,https://ablink.ma.linktr.ee:443,https,GatsbyHosting,text/html,GET,52.9.114.249,webpack,384,,,
album.link,Songlink/Odesli,,36123,odesli.co,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-01T08:36:13Z,CN=odesli.co,odesli.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,odesli.co,443,https://album.link:443,https,Vercel,text/html,GET,76.76.21.21,webpack,1,,,
analytics.linktr.ee,,,42,analytics.linktr.ee,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,CN=analytics.linktr.ee,analytics.linktr.ee,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,analytics.linktr.ee,443,https://analytics.linktr.ee:443,https,,application/json,GET,13.32.99.8,Amazon Web Services,1,True,,
analyticsapi.qa.linktr.ee,,,42,analyticsapi.qa.linktr.ee,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,CN=analyticsapi.qa.linktr.ee,analyticsapi.qa.linktr.ee,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,analyticsapi.qa.linktr.ee,443,https://analyticsapi.qa.linktr.ee:443,https,,application/json,GET,34.215.81.172,,1,,,
api.blog.production.linktr.ee,,,,api.blog.production.linktr.ee,443,tls13,TLS_AES_128_GCM_SHA256,2022-12-14T00:00:00Z,"CN=api.blog.production.linktr.ee, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",api.blog.production.linktr.ee,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,api.blog.production.linktr.ee,443,https://api.blog.production.linktr.ee:443,https,cloudflare,text/html,GET,141.193.213.21,WordPress,1,,"Cloudflare, Inc.",
api.linktr.ee,,,42,api.linktr.ee,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-15T08:56:36Z,CN=*.linktr.ee,*.linktr.ee,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.linktr.ee,443,https://api.linktr.ee:443,https,,application/json,GET,146.75.118.133,Varnish,1,True,,
api.qa.linktr.ee,403 Forbidden,,425,api.qa.linktr.ee,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-15T08:56:33Z,CN=*.qa.linktr.ee,*.qa.linktr.ee,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.qa.linktr.ee,443,https://api.qa.linktr.ee:443,https,Varnish,text/html,GET,151.101.2.133,Varnish,18,True,,
api.staging.odesli.co,,,13,api.staging.odesli.co,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T15:58:04Z,CN=api.staging.odesli.co,api.staging.odesli.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.staging.odesli.co,443,https://api.staging.odesli.co:443,https,,text/html,GET,151.101.2.132,Varnish,1,True,,
api.staging.song.link,,,13,api.staging.song.link,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-08T12:02:31Z,CN=api.staging.song.link,api.staging.song.link,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.staging.song.link,443,https://api.staging.song.link:443,https,,text/html,GET,151.101.2.132,Varnish,1,True,,
