new,host,a,soa,status_code,ns,mx,txt
[x],admincms.securite.monespacesante.fr,80.78.4.121,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,
[x],adminstore.securite.monespacesante.fr,80.78.4.121,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,
[x],am.int.monespacesante.fr,80.78.4.122,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,
[x],am.pe1.monespacesante.fr,80.78.4.121,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,
[x],am.preprod.monespacesante.fr,80.78.4.121,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,
[x],am.preprod1.monespacesante.fr,80.78.4.121,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,
[x],am.preprod2.monespacesante.fr,80.78.4.121,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,
[x],am.rec.monespacesante.fr,80.78.4.122,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,
[x],api.intnext.monespacesante.fr,80.78.4.122,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,"polaris.atos-infogerance.fr, mars.atos-infogerance.fr",,
[x],api.monespacesante.fr,80.78.4.124,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,"mars.atos-infogerance.fr, polaris.atos-infogerance.fr",,
[x],api.preprod1.monespacesante.fr,80.78.4.121,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,"polaris.atos-infogerance.fr, mars.atos-infogerance.fr",,
[x],api.preprod2.monespacesante.fr,,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,
[x],api.recbb.monespacesante.fr,80.78.4.122,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,
