new,host,a,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa,has_internal_ips,internal_ips,aaaa
[x],ablink.videofy.magisto.com,"167.89.123.54, 167.89.123.124, 167.89.118.52, 167.89.118.83, 208.94.148.4, 208.80.124.4, 208.80.126.4, 208.80.125.4, 208.80.127.4, 208.94.149.4","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,sendgrid.net,"mx.sendgrid.net, mx2.sendgrid.net","ns12.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns13.dnsmadeeasy.com","mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei","godaddy.com, amazonaws.com",,,"2600:1800:10::1, 2600:1801:11::1, 2600:1802:12::1, 2600:1801:13::1, 2600:1802:14::1, 2600:1800:15::1"
[x],alertmanager.magisto.com,"34.232.2.132, 44.193.62.30","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-cache.cdn.magisto.com,"18.66.112.50, 18.66.112.58, 18.66.112.120, 18.66.112.14","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],api.magisto.com,"104.18.18.84, 104.18.19.84","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,api.magisto.com.cdn.cloudflare.net,,,,,,,
[x],api.staging.magisto.com,"52.202.69.144, 3.226.142.78","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.v3.test.magisto.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],beast.branding.cdn.magisto.com,"65.9.66.123, 65.9.66.119, 65.9.66.118, 65.9.66.13","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],beast.medialib.cdn.magisto.com,,"ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],beast.premium.cdn.magisto.com,"13.226.153.61, 13.226.153.26, 13.226.153.115, 13.226.153.90","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],beast.static.cdn.magisto.com,"18.66.248.118, 18.66.248.55, 18.66.248.2, 18.66.248.105","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],beast.sticker.cdn.magisto.com,"52.222.236.55, 52.222.236.112, 52.222.236.86, 52.222.236.50","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],branding.cdn.magisto.com,"13.32.99.75, 13.32.99.26, 13.32.99.104, 13.32.99.127","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],cf.magisto.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,magisto.com.cdn.cloudflare.net,,,,,,,
[x],cloudfront.cdn.magisto.com,"13.32.121.88, 13.32.121.91, 13.32.121.8, 13.32.121.46","ns-2031.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,duw49sogxuf9v.cloudfront.net,,"ns-304.awsdns-38.com, ns-669.awsdns-19.net, ns-1099.awsdns-09.org, ns-2031.awsdns-61.co.uk",,,,,
[x],delta.cdn.magisto.com,"54.84.156.109, 52.3.106.143","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],delta.magisto.com,"52.3.106.143, 54.84.156.109","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],developers.magisto.com,,,NOERROR,,,,,,,,,,
[x],docs2.magisto.com,"104.18.18.84, 104.18.19.84","ns1.cloudflare.net, dns.cloudflare.com, ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,"docs.magisto.com.cdn.cloudflare.net, dualstack.developers-front-new-163524094.us-east-1.elb.amazonaws.com",,,,,,,
[x],gamma.magisto.com,"54.84.156.109, 52.3.106.143","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],giraf.magisto.com,"54.81.194.193, 54.83.168.123","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],help.magisto.com,"104.16.53.111, 104.16.51.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,magisto.zendesk.com,mail-pod-20.int.zendesk.com,,"v=spf1 include:mail.zendesk.com ~all, pod=20",,,,
[x],ioslgr.magisto.com,"104.18.19.84, 104.18.18.84","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,ioslgr.magisto.com.cdn.cloudflare.net,,,,,,,
[x],jenkins-internal.magisto.com,"10.0.129.77, 10.0.129.206","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,True,"10.0.129.77, 10.0.129.206",
[x],jenkins.magisto.com,"54.87.189.113, 44.214.26.70","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],m.magisto.com,142.250.185.83,"ns1.google.com, dns-admin.google.com",NOERROR,,,ghs.google.com,,,,,,,2a00:1450:4001:80e::2013
