input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,content_type,tls_subject_org_,final_url,tls_self_signed,tls_mismatched,csp_domains_
a.api.mapbox.com,,200,16,a.api.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-04T23:59:59Z,CN=api.mapbox.com,api.mapbox.com,d.api.mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16d99d8a326184881bfa4485cf3416ab,082025318d715ef6d9b6c0c4b60ed36c3ce6f52b4fdbf3e64e33122beeb982f0,ctls,a.api.mapbox.com,cloudfront,443,https://a.api.mapbox.com:443,https,CloudFront,GET,13.224.191.114,/,-1840324437,13.224.191.114,Amazon Web Services,1,False,True,,,,,,,
account.mapbox.com,Account | Mapbox,200,8571,account.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b09cc4fe753ed7684dd38ddfa901b584,5bb4b8d92ffc3c8d3bde96dbdb6b43a38d1827d47ac97293ad34eeb2c3d3e4c7,ctls,account.mapbox.com,cloudfront,80,http://account.mapbox.com:80,http,AmazonS3,GET,13.225.78.93,/,-996655121,13.225.78.99,HTTP/3,145,False,True,True,text/html,,https://account.mapbox.com/,,,"https://assets.customer.io
"
ads.mapbox.com,Mapbox Ads,200,2657,ads.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b09cc4fe753ed7684dd38ddfa901b584,5bb4b8d92ffc3c8d3bde96dbdb6b43a38d1827d47ac97293ad34eeb2c3d3e4c7,ctls,ads.mapbox.com,cloudfront,80,http://ads.mapbox.com:80,http,AmazonS3,GET,13.224.189.98,/,1556104729,13.224.189.70,HTTP/3,1,False,True,True,text/html,,https://ads.mapbox.com/,,,
api-accounts-production.mapbox.com,,200,16,api-accounts-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4e1cf9c01ad54601fb989e4e6d6dde75,89a333ebc919761daf968ecc30bcff90e0549bf2f35d3e501f427f6488827190,ctls,api-accounts-production.mapbox.com,,443,https://api-accounts-production.mapbox.com:443,https,,GET,54.77.197.56,/,631524574,18.203.18.236,Node.js,1,False,,True,application/json,,,,,
api-assets-production.mapbox.com,,200,16,api-assets-production.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4e1cf9c01ad54601fb989e4e6d6dde75,89a333ebc919761daf968ecc30bcff90e0549bf2f35d3e501f427f6488827190,ctls,api-assets-production.mapbox.com,,443,https://api-assets-production.mapbox.com:443,https,,GET,52.210.38.130,/,631524574,54.217.44.211,Node.js,1,False,,True,application/json,,,,,
api-directions-bike-production.mapbox.com,,200,330,api-directions-bike-production.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4e1cf9c01ad54601fb989e4e6d6dde75,89a333ebc919761daf968ecc30bcff90e0549bf2f35d3e501f427f6488827190,ctls,api-directions-bike-production.mapbox.com,,443,https://api-directions-bike-production.mapbox.com:443,https,,GET,54.78.34.145,/,71544021,54.228.154.222,Node.js,1,False,,True,application/json,,,,,
api-identity-testing.mapbox.com,,403,42,api-identity-testing.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-10-05T23:59:59Z,CN=api-identity-testing.mapbox.com,api-identity-testing.mapbox.com,api-identity-testing.mapbox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f96278e4eae98fd78f71bbd59f6f7460,fb7f16e4deff7555f6461a8374213f8102d55d8f9fede360e05b08d17615801f,ctls,api-identity-testing.mapbox.com,cloudfront,80,http://api-identity-testing.mapbox.com:80,http,,GET,52.222.214.83,/,768769774,52.222.214.78,Amazon Web Services,1,False,True,,application/json,,https://api-identity-testing.mapbox.com/,,,
api-profanity-proxy-production.mapbox.com,,200,15,api-profanity-proxy-production.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b09cc4fe753ed7684dd38ddfa901b584,5bb4b8d92ffc3c8d3bde96dbdb6b43a38d1827d47ac97293ad34eeb2c3d3e4c7,ctls,api-profanity-proxy-production.mapbox.com,,443,https://api-profanity-proxy-production.mapbox.com:443,https,,GET,3.214.47.51,/,1593207841,34.235.177.92,Node.js,1,False,,True,application/json,,,,,
api-vision-production.mapbox.com,,200,16,api-vision-production.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4e1cf9c01ad54601fb989e4e6d6dde75,89a333ebc919761daf968ecc30bcff90e0549bf2f35d3e501f427f6488827190,ctls,api-vision-production.mapbox.com,,443,https://api-vision-production.mapbox.com:443,https,,GET,52.48.77.215,/,631524574,34.249.194.19,Node.js,1,False,,True,application/json,,,,,
apps.mapbox.com,,403,243,apps.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b09cc4fe753ed7684dd38ddfa901b584,5bb4b8d92ffc3c8d3bde96dbdb6b43a38d1827d47ac97293ad34eeb2c3d3e4c7,ctls,apps.mapbox.com,cloudfront,443,https://apps.mapbox.com:443,https,AmazonS3,GET,65.9.66.94,/,-1560174976,65.9.66.14,HTTP/3,2,False,True,True,application/xml,,,,,
artifacts-production-dns.mapbox.com,,403,42,artifacts-production-dns.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-05-25T23:59:59Z,CN=artifacts-production-dns.mapbox.com,artifacts-production-dns.mapbox.com,artifacts-production-dns.mapbox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,919ca3044c98cb9f871de856f807d630,7f96c31b378b99924dbfa260a243b493395a8fa909ccb302f070cb754a9ac7d8,ctls,artifacts-production-dns.mapbox.com,,443,https://artifacts-production-dns.mapbox.com:443,https,,GET,54.88.56.36,/,768769774,100.25.210.8,,1,False,,,application/json,,,,,
artifacts-testing-dns.mapbox.com,,403,42,artifacts-testing-dns.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-05-25T23:59:59Z,CN=artifacts-testing-dns.mapbox.com,artifacts-testing-dns.mapbox.com,artifacts-testing-dns.mapbox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ce664344679d3b0fdf028fe9c0b382a8,ac02027c55a6fe759e8ee0935e5d886669b72e192d0536aa9218e34e1bd4e34a,ctls,artifacts-testing-dns.mapbox.com,,443,https://artifacts-testing-dns.mapbox.com:443,https,,GET,3.222.166.76,/,768769774,44.213.213.69,,1,False,,,application/json,,,,,
atlas.mapbox.com,Install Atlas | Mapbox,200,250994,atlas.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b09cc4fe753ed7684dd38ddfa901b584,5bb4b8d92ffc3c8d3bde96dbdb6b43a38d1827d47ac97293ad34eeb2c3d3e4c7,ctls,atlas.mapbox.com,cloudfront,443,https://atlas.mapbox.com:443,https,AmazonS3,GET,99.86.4.80,/,1848270810,99.86.4.128,HTTP/3,105,False,True,True,text/html,,https://atlas.mapbox.com/install/,,,"https://assets.customer.io
"
b.api.mapbox.com,,200,16,b.api.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-04T23:59:59Z,CN=api.mapbox.com,api.mapbox.com,d.api.mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16d99d8a326184881bfa4485cf3416ab,082025318d715ef6d9b6c0c4b60ed36c3ce6f52b4fdbf3e64e33122beeb982f0,ctls,b.api.mapbox.com,cloudfront,443,https://b.api.mapbox.com:443,https,CloudFront,GET,13.224.191.114,/,-1840324437,13.224.191.114,Amazon Web Services,1,False,True,,,,,,,
