new,host,a,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,aaaa,has_internal_ips,internal_ips
[x],53.mastercard.com,23.205.178.180,"53.mastercard.com.edgekey.net, e5188.g.akamaiedge.net","n0g.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],academy.mastercard.com,"13.32.27.92, 13.32.27.87, 13.32.27.97, 13.32.27.7",d3ee72ocziyhh9.cloudfront.net,"ns-169.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-811.awsdns-37.net, ns-1773.awsdns-29.co.uk, ns-169.awsdns-21.com, ns-1380.awsdns-44.org",,,,
[x],acceptance.mastercard.com,134.213.41.81,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],acme.stage.openbanking.mastercard.com.au,45.223.18.70,ta4lnbx.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],admin.pba.mastercard.com.au,"13.237.67.44, 13.54.239.158, 13.210.124.213",adminapi-1966442479.ap-southeast-2.elb.amazonaws.com,"ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],agency.mastercard.com,12.10.33.159,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],airport.mastercard.com,99.83.254.232,alb.loungekey.com,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"eu-smtp-inbound-2.mimecast.com, eu-smtp-inbound-1.mimecast.com",,v=spf1 mx mx:lb-mandrill.ptgmis.com ip4:213.86.0.119 ip4:146.101.112.98 ip4:213.86.0.118 a:mail2.tcgnws.com a:mail4.tcgnws.com include:spf.mandrillapp.com include:_netblocks.mimecast.com ~all,,,
[x],airtime.mastercard.co.za,216.119.216.188,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],allstar.priceless.com,216.119.216.188,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],americas.mastercard.com,216.119.209.64,latin.mastercard.com,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],apac.mastercard.com,23.42.196.214,"apac.mastercard.com.edgekey.net, e5188.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],apex.priceless.com,3.15.101.213,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],api-eu-west-1.nd.mastercard.com,23.215.17.130,"api-eu-west-1.nd.mastercard.com.edgekey.net, e3383.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],api-us-east-1.nd.mastercard.com,23.215.17.130,"api-us-east-1.nd.mastercard.com.edgekey.net, e3383.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],api-us-west-2.nd.mastercard.com,23.221.247.28,"api-us-west-2.nd.mastercard.com.edgekey.net, e3383.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],api.dev.mptse.mastercard.com,185.96.11.227,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],api.dev.openbanking.mastercard.com.br,45.223.26.70,ftyvjt5.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],api.identitysolutions.mastercard.com,"95.101.111.132, 95.101.111.148","api.identitysolutions.mastercard.com.edgekey.net, e115243.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"2a02:26f0:3500:18::1724:a289, 2a02:26f0:3500:18::1724:a296",,
[x],api.mastercard.com,,"cac-api.mastercard.com.edgekey.net, e14192.ce.akamaiedge.net","n0ce.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],api.mastercard.com.au,,"api.mastercard.com.au.edgekey.net, e109750.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"2a02:26f0:480:d::210:f14d, 2a02:26f0:480:d::210:f144",,
[x],api.openbanking.mastercard.com.au,45.223.20.70,lb82cbt.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],api.priceless.com,3.15.101.213,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],api.stage.openbanking.mastercard.com.au,45.223.20.70,b2zllyp.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],api.xbs.mastercard.com,161.47.92.78,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],api3.mastercard.com,95.101.45.148,"api.mastercard.com, cac-api.mastercard.com.edgekey.net, e14192.ce.akamaiedge.net","n0ce.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],api4.mastercard.com,95.101.45.148,"api.mastercard.com, cac-api.mastercard.com.edgekey.net, e14192.ce.akamaiedge.net","n0ce.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],apigw.dev.work.eastus.az.mastercard.com,20.85.150.48,,"a1-29.akam.net, hostmaster.az.mastercard.com",NOERROR,,,,,,,,
[x],apigw.mtf.westeurope.az.mastercard.com,20.8.232.229,,"a1-29.akam.net, hostmaster.az.mastercard.com",NOERROR,,,,,,,,
[x],apigw.prod.northeurope.az.mastercard.com,20.223.32.18,,"a1-29.akam.net, hostmaster.az.mastercard.com",NOERROR,,,,,,,,
[x],apps.mastercard.com.au,202.4.238.110,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],asn.api.gateway.mastercard.com,216.119.212.26,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],asset.connect.mastercard.com,"95.101.111.150, 95.101.111.145","asset.connect.mastercard.com.edgekey.net, e130501.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],asset.mastercard.com,23.196.240.166,"asset.mastercard.com.edgekey.net, e5188.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],assets.eop.mastercard.com,23.37.48.246,"assets.eop.mastercard.com.edgekey.net, e5188.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],assets.mastercard.com,"95.101.111.175, 95.101.111.176","assets.mastercard.com.edgekey.net, e26360.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],autodiscover.mastercard.com,"52.98.229.104, 52.97.190.8, 52.98.239.120","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,"2603:1026:c0e:80c::8, 2603:1026:c0e:86e::8, 2603:1026:c0e:862::8",,
