new,host,a,soa,status_code,aaaa,cname,ns,cdn,cdn-name,txt
[x],aggregator.mcdelivery.co.in,115.112.224.205,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],aggregator.uat.mcdelivery.co.in,182.76.136.180,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],api.mcdelivery.co.in,115.112.224.202,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],backoffice.br.uat.mcdelivery.co.in,115.112.226.57,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],backoffice.mcdelivery.co.in,115.112.224.203,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],backoffice.uat.mcdelivery.co.in,182.76.136.180,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],be.mcdelivery.co.in,"52.66.23.86, 13.234.159.2, 3.6.206.207","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,k8s-default-ingressa-808a8d78a5-553189009.ap-south-1.elb.amazonaws.com,,,,
[x],callcenter.mcdelivery.co.in,115.112.224.204,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],css.mcdelivery.co.in,64.185.181.238,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],images.mcdelivery.co.in,64.185.181.238,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],js.mcdelivery.co.in,64.185.181.238,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],locateme.mcdelivery.co.in,"216.239.32.21, 216.239.38.21, 216.239.34.21, 216.239.36.21","etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2001:4860:4802:34::15, 2001:4860:4802:38::15, 2001:4860:4802:32::15, 2001:4860:4802:36::15",,,,,"\""google-site-verification=s3kgHKliko3-_pnAZVAsgwvrqHpcsXAtdF-4S9neUWo\"", \""google-site-verification=U7yT1VYacyT4jYvcVMjSnSuEmU9r6kNwZZ-qKitSwIM\"""
[x],m.mcdelivery.co.in,115.112.224.206,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],msite.uat.mcdelivery.co.in,115.112.226.57,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],oms.mcdelivery.co.in,"99.86.4.62, 99.86.4.78, 99.86.4.106, 99.86.4.87","ns-565.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:215b:ba00:6:820f:36c0:93a1, 2600:9000:215b:2200:6:820f:36c0:93a1, 2600:9000:215b:ca00:6:820f:36c0:93a1, 2600:9000:215b:e00:6:820f:36c0:93a1, 2600:9000:215b:7200:6:820f:36c0:93a1, 2600:9000:215b:5c00:6:820f:36c0:93a1, 2600:9000:215b:da00:6:820f:36c0:93a1, 2600:9000:215b:4c00:6:820f:36c0:93a1",d55tc25tnk7a3.cloudfront.net,"ns-425.awsdns-53.com, ns-565.awsdns-06.net, ns-1353.awsdns-41.org, ns-1788.awsdns-31.co.uk",True,cloudfront,
[x],restaurants.mcdelivery.co.in,,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],services.mcdelivery.co.in,115.112.224.207,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],services.uat.mcdelivery.co.in,182.76.136.180,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],web.uat.mcdelivery.co.in,182.76.136.180,"etienne.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],www.locateme.mcdelivery.co.in,142.250.185.115,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:4001:82b::2013,ghs.googlehosted.com,,,,
