new,host,a,cname,soa,status_code,ns
[x],api-docs.eevee.bbp-mettle.co.uk,"13.41.168.201, 3.11.224.194, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],api.eevee.bbp-mettle.co.uk,"13.41.168.201, 3.11.224.194, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],api.identity.bbp-mettle.co.uk,"3.11.224.194, 13.41.168.201, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],api.openbanking.bbp-mettle.co.uk,"18.170.184.167, 3.11.135.208, 18.170.4.90",,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],api.ssv.bbp-mettle.co.uk,"13.41.140.49, 13.41.168.201, 3.11.224.194",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],argo-rollouts.platform.bbp-mettle.co.uk,"13.41.168.201, 3.11.224.194, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],argocd.bbp-mettle.co.uk,"3.11.224.194, 13.41.168.201, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],audit.openbanking.bbp-mettle.co.uk,"3.11.224.194, 13.41.168.201, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],auth-grafana.oidc.bbp-mettle.co.uk,"13.41.168.201, 13.41.140.49, 3.11.224.194",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],auth.oidc.bbp-mettle.co.uk,"13.41.168.201, 3.11.224.194, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],auth.openbanking.bbp-mettle.co.uk,"13.41.140.49, 13.41.168.201, 3.11.224.194",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],dex.oidc.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1162.awsdns-17.org, ns-125.awsdns-15.com, ns-2012.awsdns-59.co.uk, ns-770.awsdns-32.net"
[x],docs.openbanking.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1162.awsdns-17.org, ns-125.awsdns-15.com, ns-2012.awsdns-59.co.uk, ns-770.awsdns-32.net"
[x],docs.platform.bbp-mettle.co.uk,"3.11.224.194, 13.41.140.49, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],form3-mock.ssv.bbp-mettle.co.uk,"13.41.140.49, 13.41.168.201, 3.11.224.194",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],form3.ssv.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],genie.non-variant.bbp-mettle.co.uk,,,,NOERROR,
[x],genie.variant-b.bbp-mettle.co.uk,,,,NOERROR,
[x],goldilocks.platform.bbp-mettle.co.uk,"3.11.224.194, 13.41.140.49, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],grafana-editable.monitoring.bbp-mettle.co.uk,"3.11.224.194, 13.41.168.201, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],grafana.monitoring.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1162.awsdns-17.org, ns-125.awsdns-15.com, ns-2012.awsdns-59.co.uk, ns-770.awsdns-32.net"
[x],graphql-playground.eevee.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],graphql.eevee.bbp-mettle.co.uk,"3.11.224.194, 13.41.168.201, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],graphql.ssv.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1162.awsdns-17.org, ns-125.awsdns-15.com, ns-2012.awsdns-59.co.uk, ns-770.awsdns-32.net"
[x],ingress.platform.bbp-mettle.co.uk,"3.11.224.194, 13.41.140.49, 13.41.168.201",,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],istio-test.eks.bbp-mettle.co.uk,,,,NOERROR,
[x],istio-test.variant-a.bbp-mettle.co.uk,,,,NOERROR,
[x],kibana.eevee.bbp-mettle.co.uk,"3.11.224.194, 13.41.140.49, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],kibana.logging.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],opendata.openbanking.bbp-mettle.co.uk,"3.11.224.194, 13.41.140.49, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],ops-tool.internal.bbp-mettle.co.uk,"3.11.224.194, 13.41.168.201, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],ops-tool.ssv.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],polaris.platform.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],pps.eevee.bbp-mettle.co.uk,"3.11.224.194, 13.41.168.201, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
