new,host,cname,soa,status_code,cdn,cdn-name,a,mx,txt,ns,has_internal_ips,internal_ips,aaaa
[x],11-intl.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],11-sysbilling.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],113-104-97.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],114-126-39.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],123-bas-5-prd.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],13intl.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],155-9-171-26.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-173-88.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-182-18.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],155-9-183-53.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-183-60.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-192-6.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],155-9-193-15.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-193-97.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],155-9-197-77.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],155-9-202-19.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-206-12.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],155-9-206-69.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-208-61.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],155-9-210-30.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-214-34.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-215-48.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-52-59.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-61-86.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-71-14.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],155-9-73-57.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],155-9-73-70.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-121-113-15.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
