input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url
alpha1.mobikwik.com,502 Bad Gateway,502,568,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,alpha1.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,alpha1.mobikwik.com,cloudflare,443,https://alpha1.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.23.34,/,-2146279613,104.18.22.34,HSTS,14,False,True,,
alpha3.mobikwik.com,404 Not Found,404,162,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,alpha3.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,alpha3.mobikwik.com,cloudflare,80,http://alpha3.mobikwik.com:80,http,cloudflare,text/html,GET,104.18.22.34,/,190856733,104.18.23.34,HSTS,8,False,True,,https://alpha3.mobikwik.com/
alpha5.mobikwik.com,404 Not Found,404,162,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,alpha5.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,alpha5.mobikwik.com,cloudflare,80,http://alpha5.mobikwik.com:80,http,cloudflare,text/html,GET,104.18.22.34,/,190856733,104.18.23.34,HSTS,8,False,True,,https://alpha5.mobikwik.com/
alpha8.mobikwik.com,Attention Required! | Cloudflare,403,4513,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,alpha8.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,alpha8.mobikwik.com,cloudflare,443,https://alpha8.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.23.34,/,-557352820,104.18.22.34,HSTS,94,False,True,,
app.mobikwik.com,404 Not Found,404,146,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,app.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,app.mobikwik.com,cloudflare,80,http://app.mobikwik.com:80,http,cloudflare,text/html,GET,104.18.23.34,/,1494302000,104.18.22.34,HSTS,8,False,True,,https://app.mobikwik.com:443/
appapi.mobikwik.com,"Online Mobile & DTH Recharge, Bill Payments, Easy Recharge",200,46971,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,www.mobikwik.com,cloudflare,80,http://appapi.mobikwik.com:80,http,cloudflare,text/html,GET,104.18.23.34,/,2041735419,104.18.22.34,HSTS,240,False,True,,https://www.mobikwik.com
beta.mobikwik.com,"Recharge & Bill Payment, BHIM UPI, Money Transfer & Financial Services",200,170776,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,www.mobikwik.com,cloudflare,80,http://beta.mobikwik.com:80,http,cloudflare,text/html,GET,104.18.22.34,/,2041735419,104.18.23.34,HSTS,153,False,True,,https://www.mobikwik.com
beta8.mobikwik.com,404 Not Found,404,564,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,beta8.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,beta8.mobikwik.com,cloudflare,80,http://beta8.mobikwik.com:80,http,cloudflare,text/html,GET,104.18.23.34,/,1506877856,104.18.22.34,HSTS,14,False,True,,https://beta8.mobikwik.com/
db.mobikwik.com,Attention Required! | Cloudflare,403,4513,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,db.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,db.mobikwik.com,cloudflare,443,https://db.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.23.34,/,1898592319,104.18.22.34,HSTS,94,False,True,,
ebm.crm.mobikwik.com,ny5pebm02 OK,200,115,AS53316,AS53316,Unknown,207.251.96.0/23,ebm.crm.mobikwik.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-27T00:00:00Z,2023-07-19T23:59:59Z,"CN=*.cheetahmail.com, O=Cheetah Digital\, Inc., L=New York, ST=New York, C=US",*.cheetahmail.com,"Cheetah Digital, Inc.",cheetahmail.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ed7123fd3ac98ad89e9d62402b05317,829b02cb38d19beece6ae9bc8186b816f5f172ebd29b8eb22edf7de33627de4e,True,ctls,ebm.crm.mobikwik.com,,443,https://ebm.crm.mobikwik.com:443,https,Apache,text/html,GET,207.251.96.244,/,-1840324437,207.251.96.243,HSTS,9,False,,True,
