new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,ns,txt,caa
[x],adminfr-dev.connect.monash.edu,"130.194.10.27, 34.208.115.61, 130.194.1.100, 130.194.1.101","ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,"2600:1f14:b07:3a06:5739:a91d:d6ca:8bc0, 2001:388:608c:284::1, 2001:388:608c:285::1, 2001:388:608c:88a::1b",,,,,,,"ns5.its.monash.edu, ns4.its.monash.edu, ns3.its.monash.edu",,
[x],beta.pharm.monash.edu,130.194.216.82,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
[x],bisan-test.its.monash.edu,130.194.11.185,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
[x],bisan-test.monash.edu,130.194.11.185,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
[x],connect-qat.connect.monash.edu,130.194.11.101,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
[x],corp-iae.aws.monash.edu,,"ns-1071.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"ns-1014.awsdns-62.net, ns-1071.awsdns-05.org, ns-1839.awsdns-37.co.uk, ns-339.awsdns-42.com",,
[x],corp-prd.aws.monash.edu,,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"ns-1312.awsdns-36.org, ns-427.awsdns-53.com, ns-1620.awsdns-10.co.uk, ns-976.awsdns-58.net",,
[x],corp-ss.aws.monash.edu,,"ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"ns-330.awsdns-41.com, ns-988.awsdns-59.net, ns-1420.awsdns-49.org, ns-1643.awsdns-13.co.uk",,
[x],defect.bpd.monash.edu,130.194.17.1,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
[x],eassessment-npd.aws.monash.edu,,"ns-302.awsdns-37.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"ns-1025.awsdns-00.org, ns-1593.awsdns-07.co.uk, ns-302.awsdns-37.com, ns-821.awsdns-38.net",,
[x],eng-apps.apps.monash.edu,"18.66.196.42, 18.66.196.44, 18.66.196.77, 18.66.196.61","ns-1690.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,d3pqbisd58ndos.cloudfront.net,True,cloudfront,,,,"ns-190.awsdns-23.com, ns-1690.awsdns-19.co.uk, ns-1130.awsdns-13.org, ns-957.awsdns-55.net",,
[x],eng-irt14-v02.eng.monash.edu,130.194.20.139,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
