new,host,a,soa,txt,status_code,cdn,cdn-name,aaaa,ns,cname,mx
[x],assets-app-cdn.moneybird.com,"52.222.214.28, 52.222.214.23, 52.222.214.39, 52.222.214.87","ns-80.awsdns-10.com, dns.moneybird.com",v=spf1 -all,NOERROR,True,cloudfront,,,,
[x],assets-app.moneybird.com,"3.75.163.222, 52.58.76.207, 3.67.56.80","ns-80.awsdns-10.com, dns.moneybird.com",v=spf1 -all,NOERROR,,,"2a05:d014:779:4b02:68b:2ba3:bad0:6ed2, 2a05:d014:779:4b01:6e77:124c:3994:7e8a, 2a05:d014:779:4b00:d868:a94b:3ed0:f0a5",,,
[x],assets-rs-cdn.moneybird.com,"108.138.64.12, 108.138.64.29, 108.138.64.57, 108.138.64.11","ns-80.awsdns-10.com, dns.moneybird.com",v=spf1 -all,NOERROR,True,cloudfront,,,,
[x],assets-rs.moneybird.com,"52.58.76.207, 3.67.56.80, 3.75.163.222","ns-80.awsdns-10.com, dns.moneybird.com",v=spf1 -all,NOERROR,,,"2a05:d014:779:4b02:68b:2ba3:bad0:6ed2, 2a05:d014:779:4b00:d868:a94b:3ed0:f0a5, 2a05:d014:779:4b01:6e77:124c:3994:7e8a",,,
[x],assets.moneybird.com,"3.75.163.222, 52.58.76.207, 3.67.56.80","ns-80.awsdns-10.com, dns.moneybird.com",v=spf1 -all,NOERROR,,,"2a05:d014:779:4b02:68b:2ba3:bad0:6ed2, 2a05:d014:779:4b00:d868:a94b:3ed0:f0a5, 2a05:d014:779:4b01:6e77:124c:3994:7e8a",,,
[x],backup.moneybird.com,,"ns-80.awsdns-10.com, dns.moneybird.com",,NOERROR,,,,,,
[x],backup2.moneybird.com,,"ns-80.awsdns-10.com, dns.moneybird.com",,NOERROR,,,,,,
[x],developer.moneybird.com,"18.66.112.124, 18.66.112.11, 18.66.112.88, 18.66.112.26","ns-80.awsdns-10.com, dns.moneybird.com",v=spf1 -all,NOERROR,True,cloudfront,"2600:9000:223f:6e00:12:230e:3c0:93a1, 2600:9000:223f:9e00:12:230e:3c0:93a1, 2600:9000:223f:d800:12:230e:3c0:93a1, 2600:9000:223f:5e00:12:230e:3c0:93a1, 2600:9000:223f:9c00:12:230e:3c0:93a1, 2600:9000:223f:1a00:12:230e:3c0:93a1, 2600:9000:223f:be00:12:230e:3c0:93a1, 2600:9000:223f:b000:12:230e:3c0:93a1",,,
[x],email.deliver.moneybird.com,"99.86.91.84, 99.86.91.66, 99.86.91.29, 99.86.91.90","ns-80.awsdns-10.com, dns.moneybird.com",v=spf1 -all,NOERROR,True,cloudfront,,,,
[x],email.delivery.moneybird.com,,"ns-80.awsdns-10.com, dns.moneybird.com",,NOERROR,,,,,,
[x],email.mail.moneybird.com,"13.32.208.74, 13.32.208.39, 13.32.208.19, 13.32.208.108","ns-80.awsdns-10.com, dns.moneybird.com",v=spf1 -all,NOERROR,True,cloudfront,,,,
[x],email.mailing.moneybird.com,,"ns-80.awsdns-10.com, dns.moneybird.com",,NOERROR,,,,,,
[x],email.moneybird.com,,"ns-80.awsdns-10.com, dns.moneybird.com",,NOERROR,,,,,,
[x],email.newsletter.moneybird.com,"52.222.236.66, 52.222.236.124, 52.222.236.74, 52.222.236.58","ns-80.awsdns-10.com, dns.moneybird.com",v=spf1 -all,NOERROR,True,cloudfront,,,,
[x],engineering.moneybird.com,,"ns-80.awsdns-10.com, dns.moneybird.com",,NOERROR,,,,,,
[x],fwdkim1.moneybird.com,"13.249.9.107, 13.249.9.46, 13.249.9.113, 13.249.9.44","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:sendgrid.net include:fdspfus.freshemail.io include:fdspfeuc.freshemail.io include:fdspfind.freshemail.io include:fdspfaus.freshemail.io ~all,NOERROR,True,cloudfront,,,spfmx1.domainkey.freshemail.io,"mx.sendgrid.net, mxa.freshdesk.com, mxb.freshdesk.com"
[x],moneybirdstorage.com,"3.75.163.222, 3.67.56.80, 52.58.76.207","ns-451.awsdns-56.com, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,"2a05:d014:779:4b00:d868:a94b:3ed0:f0a5, 2a05:d014:779:4b01:6e77:124c:3994:7e8a, 2a05:d014:779:4b02:68b:2ba3:bad0:6ed2","ns-818.awsdns-38.net, ns-1211.awsdns-23.org, ns-1895.awsdns-44.co.uk, ns-451.awsdns-56.com",,
[x],qlever.moneybird.com,,"ns-80.awsdns-10.com, dns.moneybird.com",,NOERROR,,,,,,
[x],webmail.moneybird.com,,"ns-80.awsdns-10.com, dns.moneybird.com",,NOERROR,,,,,,
[x],www.moneybird.com,"3.75.163.222, 52.58.76.207, 3.67.56.80","ns-80.awsdns-10.com, dns.moneybird.com",v=spf1 -all,NOERROR,,,"2a05:d014:779:4b02:68b:2ba3:bad0:6ed2, 2a05:d014:779:4b00:d868:a94b:3ed0:f0a5, 2a05:d014:779:4b01:6e77:124c:3994:7e8a",,,
[x],www.moneybirdstorage.com,,"ns-451.awsdns-56.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],www.somention.moneybird.com,,"ns-80.awsdns-10.com, dns.moneybird.com",,NOERROR,,,,,,
