input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,final_url,csp_domains_,tls_mismatched,tls_subject_org_
155-9-184-43.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722621,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://155-9-184-43.charts.mongodb.com:443,https,,text/html,GET,52.206.222.245,/,,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
155-9-206-59.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://155-9-206-59.charts.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,-2143930371,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
155-9-211-60.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://155-9-211-60.charts.mongodb.com:443,https,,text/html,GET,52.206.222.245,/,-2143930371,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
155-9-77-95.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://155-9-77-95.charts.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,,52.206.222.245,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
17-121-112-18.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722621,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://17-121-112-18.charts.mongodb.com:443,https,,text/html,GET,52.21.89.200,/,,52.206.222.245,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
17-121-114-17.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722621,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://17-121-114-17.charts.mongodb.com:443,https,,text/html,GET,52.206.222.245,/,,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
17-121-119-42.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://17-121-119-42.charts.mongodb.com:443,https,,text/html,GET,52.21.89.200,/,,52.206.222.245,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
4foodie.repo.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://4foodie.repo.mongodb.com:443,https,,text/html,GET,52.206.222.245,/,-2143930371,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
6-courier.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://6-courier.charts.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,-2143930371,52.206.222.245,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
66-220-157-83.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://66-220-157-83.charts.mongodb.com:443,https,,text/html,GET,52.206.222.245,/,-2143930371,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
