new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,mx,txt
[x],admin-ci.moviexchange.com,"104.16.200.18, 104.16.201.18",,"ns1.moviexchange.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:c912, 2606:4700::6810:c812",,,
[x],admin-qa.moviexchange.com,"104.16.201.18, 104.16.200.18",,"ns1.moviexchange.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:c812, 2606:4700::6810:c912",,,
[x],admin-staging.moviexchange.com,"104.16.201.18, 104.16.200.18",,"ns1.moviexchange.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:c912, 2606:4700::6810:c812",,,
[x],api-ci.moviexchange.com,"104.16.200.18, 104.16.201.18",,"ns1.moviexchange.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:c812, 2606:4700::6810:c912",,,
[x],api-prod.moviexchange.com,20.109.130.67,,"ns1.moviexchange.com, dns.cloudflare.com",NOERROR,,,,,,
[x],api-qa.moviexchange.com,"104.16.201.18, 104.16.200.18",,"ns1.moviexchange.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:c912, 2606:4700::6810:c812",,,
[x],api-staging.moviexchange.com,"104.16.201.18, 104.16.200.18",,"ns1.moviexchange.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:c812, 2606:4700::6810:c912",,,
[x],api.moviexchange.com,20.109.130.67,api-prod.moviexchange.com,"ns1.moviexchange.com, dns.cloudflare.com",NOERROR,,,,,,
[x],apidocs.moviexchange.com,"104.16.201.18, 104.16.200.18",,"ns1.moviexchange.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:c912, 2606:4700::6810:c812",,,
[x],auth.moviexchange.com,"104.16.201.18, 104.16.200.18",,"ns1.moviexchange.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:c812, 2606:4700::6810:c912",,,
[x],autodiscover.moviexchange.com,"52.98.171.232, 52.98.241.168, 52.98.243.40, 40.99.150.104","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"2603:1026:c0d:74::8, 2603:1026:c0d:20::8, 2603:1026:c0d:70::8",,,
[x],docs.moviexchange.com,52.183.104.36,"uswest2docs.blob.core.windows.net, blob.mwh01prdstr06a.store.core.windows.net","ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,
[x],enterpriseenrollment.moviexchange.com,20.91.147.72,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com","ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,
[x],enterpriseregistration.moviexchange.com,20.190.137.40,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net, www.tm.prd.adrs.trafficmanager.net","internal.akadns.net, hostmaster.akamai.com, tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,
