new,host,a,soa,status_code,aaaa,cname,ns,cdn,cdn-name,mx,txt,caa
[x],10.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],admin.myndr.net,"34.254.80.7, 52.212.153.147, 52.209.245.212","ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],api-us.myndr.net,"100.26.38.212, 35.153.190.163","ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],bibliotheek.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],blocked.myndr.net,63.32.44.205,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],core-api.dev.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],core-api.myndr.net,"54.171.19.20, 34.253.94.166, 54.78.118.175","ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],dashboard.dev.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],dashboard.myndr.net,"52.209.245.212, 34.254.80.7, 52.212.153.147","ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],dataplus.dr.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],dns.myndr.net,18.185.31.112,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,2a05:d014:e6f:700:d069:6c78:e218:cf4d,,,,,,,
[x],domaintech.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],forum.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],help.myndr.nl,"188.114.97.3, 188.114.96.3","gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3121::3, 2a06:98c1:3120::3",,,True,cloudflare,,,
[x],kb.myndr.nl,,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,myndr.github.io,,,,,,
[x],links.support.myndr.nl,,"miles.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,links.custom.crisp.email,,True,cloudflare,,,
[x],meta.myndr.net,37.46.140.20,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mob-dev.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],mqtt-new.myndr.net,,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mqtt-us.myndr.net,,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mqtt.myndr.net,34.241.190.105,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1303.awsdns-34.org, ns-1755.awsdns-27.co.uk, ns-382.awsdns-47.com, ns-625.awsdns-14.net",,,,,
[x],my.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],myndr.nl,"188.114.96.3, 188.114.97.3","gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3120::3, 2a06:98c1:3121::3",,"gabe.ns.cloudflare.com, sharon.ns.cloudflare.com",True,cloudflare,"aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com","MS=ms11125092, v=spf1 include:_s66943278.fdmarc.net ~all, facebook-domain-verification=clw5k9o3olocgi3036u0fnp6udv1kr, google-site-verification=YaGzOGK-5HZGsl0PbVDYAyr3HKE_iIkPtJTc6vprUYQ","comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes"
[x],ns2.myndr.net,3.125.207.108,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],order.myndr.net,"52.212.153.147, 52.209.245.212, 34.254.80.7","ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],osd.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],osd1.myndr.nl,,"gabe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],permalink.myndr.net,"108.138.51.12, 108.138.51.6, 108.138.51.61, 108.138.51.19, 205.251.192.248, 205.251.195.249","ns-1587.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2436:b000:13:bf9c:31c0:93a1, 2600:9000:2436:9c00:13:bf9c:31c0:93a1, 2600:9000:2436:9400:13:bf9c:31c0:93a1, 2600:9000:2436:a600:13:bf9c:31c0:93a1, 2600:9000:2436:2400:13:bf9c:31c0:93a1, 2600:9000:2436:9800:13:bf9c:31c0:93a1, 2600:9000:2436:6000:13:bf9c:31c0:93a1, 2600:9000:2436:c600:13:bf9c:31c0:93a1",d355kw0suypepz.cloudfront.net,"ns-1017.awsdns-63.net, ns-1587.awsdns-06.co.uk, ns-248.awsdns-31.com, ns-1417.awsdns-49.org",True,cloudfront,,,
[x],preparsed.myndr.net,34.241.190.105,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
