input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,csp_domains_,final_url
ads.myntra.com,,503,107,ads.myntra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-08T14:20:08Z,2023-12-10T14:16:13Z,CN=ads.cloud.flipkart.com,ads.cloud.flipkart.com,www.ads.cloud.flipkart.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",88398b1102b221d3ff2589f5bdd32f5b,1cb3c081a668f80f81c0bc81a90f564f9053be75ce32a88c265af88a29cbcde9,,ctls,ads.myntra.com,443,https://ads.myntra.com:443,https,,text/html,GET,163.53.76.13,/,-1654418437,163.53.76.13,,4,False,True,,,
apidocs.myntra.com,API Docs - Myntra,200,3019,apidocs.myntra.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-29T00:00:00Z,2023-11-16T23:59:59Z,CN=*.myntra.com,*.myntra.com,myntra.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d2f0497a9c02aa3fe899690bc4c43b4,54772ca05fbdeedccd6e516eec157d2cff176f8e4d2bca5a555638d3a4c3f534,True,ctls,apidocs.myntra.com,80,http://apidocs.myntra.com:80,http,,text/html,GET,104.75.88.241,/,143603532,104.75.88.241,React,1,False,,,,https://apidocs.myntra.com/
blog.myntra.com,Site Maintenance,200,483,blog.myntra.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-29T00:00:00Z,2023-11-16T23:59:59Z,CN=*.myntra.com,*.myntra.com,myntra.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d2f0497a9c02aa3fe899690bc4c43b4,54772ca05fbdeedccd6e516eec157d2cff176f8e4d2bca5a555638d3a4c3f534,True,ctls,blog.myntra.com,443,https://blog.myntra.com:443,https,Apache/2.4.1 (Unix),text/html,GET,184.30.20.224,/,-1015582259,184.30.20.224,UNIX,1,False,,,,
careers.myntra.com,Site Maintenance,200,483,careers.myntra.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-29T00:00:00Z,2023-11-16T23:59:59Z,CN=*.myntra.com,*.myntra.com,myntra.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d2f0497a9c02aa3fe899690bc4c43b4,54772ca05fbdeedccd6e516eec157d2cff176f8e4d2bca5a555638d3a4c3f534,True,ctls,careers.myntra.com,443,https://careers.myntra.com:443,https,Apache/2.4.1 (Unix),text/html,GET,104.75.88.241,/,-1015582259,2a02:26f0:3500:884::1cff,UNIX,1,False,,,,
mail.myntra.com,Sign in - Google Accounts,200,1335,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,80,http://mail.myntra.com:80,http,GSE,text/html,GET,142.250.186.83,/,-1650704169,2a00:1450:4001:828::2013,OpenGSE,32,False,,,url=https://www.google.com/accounts/AccountChooser?hd=myntra.com&btmpl=mobile&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&osid=1&service=mail&ss=1&ltmpl=ecobxgm,https://www.google.com/a/myntra.com/ServiceLogin?service=mail&passive=true&continue=https://mail.google.com/mail/&ss=1&ltmpl=ecobxgm&nui=5&btmpl=mobile&emr=1&osid=1
onedirect.myntra.com,OneDirect: Login,200,34916,onedirect.myntra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-29T00:00:00Z,2023-07-29T23:59:59Z,CN=onedirect.myntra.com,onedirect.myntra.com,www.onedirect.myntra.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,afd5faac0335192a1b66cd7c38a36242,bb2dac267e5fde8fa2deeee12a64ab8837c22d37079d1d469558995e7a834ef7,,ctls,onedirect.myntra.com,443,https://onedirect.myntra.com:443,https,nginx,text/html,GET,20.204.8.74,/,548744090,20.204.8.74,ZURB Foundation,855,False,,,https://mc-web-sdk.web.app,
orca.myntra.com,Log in | Django site admin,200,1613,orca.myntra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-03T23:59:59Z,CN=*.myntra.com,*.myntra.com,myntra.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,c503d064d7a61f70da26234ae1fc4763,9f5d791a94daa382bddb2ad9eda54a2a63ba9c3c31c38edbefd8f0038ac72957,True,ctls,orca.myntra.com,443,https://orca.myntra.com:443,https,WSGIServer/0.2 CPython/3.6.8,text/html,GET,20.198.102.16,/,-897426431,20.198.102.16,Python,84,False,,,,https://orca.myntra.com/login/?next=/
partnerapi.myntra.com,,503,107,partnerapi.myntra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-03T23:59:59Z,CN=*.myntra.com,*.myntra.com,myntra.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,c503d064d7a61f70da26234ae1fc4763,9f5d791a94daa382bddb2ad9eda54a2a63ba9c3c31c38edbefd8f0038ac72957,True,ctls,partnerapi.myntra.com,443,https://partnerapi.myntra.com:443,https,,text/html,GET,20.198.102.16,/,-1654418437,20.198.102.16,,4,False,,,,
secure.myntra.com,Site Maintenance,200,483,secure.myntra.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-29T00:00:00Z,2023-11-16T23:59:59Z,CN=*.myntra.com,*.myntra.com,myntra.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d2f0497a9c02aa3fe899690bc4c43b4,54772ca05fbdeedccd6e516eec157d2cff176f8e4d2bca5a555638d3a4c3f534,True,ctls,secure.myntra.com,443,https://secure.myntra.com:443,https,Apache/2.4.1 (Unix),text/html,GET,104.75.88.241,/,-1015582259,104.75.88.241,UNIX,1,False,,,,
sip.myntra.com,,404,76,sip.myntra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,True,ctls,sip.myntra.com,443,https://sip.myntra.com:443,https,RTC/7.0,text/plain,GET,52.112.192.139,/,-69196605,2603:1027:0:2::b,HSTS,4,False,True,Microsoft Corporation,,
