new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,cdn,cdn-name,ns,mx,txt
[x],einstein-docs.tech26.de,"52.58.76.14, 18.159.171.165","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],tantalum.tech26.de,,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,internal-tantalum-live-1319252833.eu-central-1.elb.amazonaws.com,,,,,,,
,3ds-challenge.n26.com,194.126.144.229,"dns1.netcetera.com, hostmaster.netcetera-payment.ch",NOERROR,3ds-pub-nsz.netcetera-payment.ch,,,,,,,
,aisp-staging.tech26.de,"18.198.37.101, 18.184.178.109","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,obnium-edge-staging-fra-7e391a6dc241c6ba.elb.eu-central-1.amazonaws.com,,,,,,,
,aisp.tech26.de,18.158.19.43,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,obnium-edge-live-fra-dbfc45c0caca8c30.elb.eu-central-1.amazonaws.com,,,,,,,
,app.n26.com,128.65.211.162,"ns-1688.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,ars.tech26.de,"10.0.4.55, 10.0.3.10","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.0.4.55, 10.0.3.10",,,,,
,aurum.tech26.de,"10.100.22.142, 10.100.31.219, 10.100.13.73","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,internal-aurum-live-577922860.eu-central-1.elb.amazonaws.com,True,"10.100.22.142, 10.100.31.219, 10.100.13.73",,,,,
,babel.tech26.de,"10.100.9.56, 10.100.18.146, 10.100.30.115","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,internal-babel-live-768784090.eu-central-1.elb.amazonaws.com,True,"10.100.9.56, 10.100.18.146, 10.100.30.115",,,,,
,backstage.tech26.de,"52.58.76.14, 18.159.171.165","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
