new,host,a,soa,status_code,mx,ns,txt,cname,cdn,cdn-name,caa,aaaa,has_internal_ips,internal_ips
[x],00000-okta-alpha.buckettoolbar.chd.claiming.com.au,"13.32.99.114, 13.32.99.31, 13.32.99.76, 13.32.99.78","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1342.awsdns-39.org, ns-1708.awsdns-21.co.uk, ns-283.awsdns-35.com, ns-670.awsdns-19.net",,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-alpha.download-5d6af49b.claiming.com.au,"13.32.99.31, 13.32.99.114, 13.32.99.78, 13.32.99.76","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-alpha.toolbar-gateway.claiming.com.au,"18.173.233.42, 18.173.233.39, 18.173.233.86, 18.173.233.83","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-alpha.toolbar.chd.claiming.com.au,"18.173.233.86, 18.173.233.39, 18.173.233.83, 18.173.233.42","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-alpha.toolbar.org.claiming.com.au,"13.32.99.31, 13.32.99.76, 13.32.99.114, 13.32.99.78","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-alpha.toolbartadpole.claiming.com.au,"13.32.99.114, 13.32.99.76, 13.32.99.78, 13.32.99.31","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-alpha.vpn.claiming.com.au,"18.244.102.65, 18.244.102.102, 18.244.102.56, 18.244.102.70","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-611.sso-ci.app-west.claiming.com.au,"13.32.99.114, 13.32.99.76, 13.32.99.31, 13.32.99.78","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-611.sso-testbed.app-west.claiming.com.au,"13.32.99.78, 13.32.99.114, 13.32.99.76, 13.32.99.31","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-611.sso.app-west.claiming.com.au,"13.32.99.114, 13.32.99.31, 13.32.99.78, 13.32.99.76","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-development-api-stage.promo.claiming.com.au,"108.138.64.86, 108.138.64.122, 108.138.64.12, 108.138.64.73","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-development-api-us.latin-promo.claiming.com.au,"13.32.99.31, 13.32.99.76, 13.32.99.78, 13.32.99.114","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-development-api.ae8dfaabpromo.claiming.com.au,"108.156.60.3, 108.156.60.77, 108.156.60.117, 108.156.60.101","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-development-api.help-promo.claiming.com.au,"13.32.99.31, 13.32.99.76, 13.32.99.78, 13.32.99.114","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-development-api.latin-promoci.claiming.com.au,"13.32.99.114, 13.32.99.31, 13.32.99.76, 13.32.99.78","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-development-api.latin-promogitlab.claiming.com.au,,"ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
