new,host,a,cname,soa,status_code,cdn,cdn-name,caa,mx,txt,aaaa,ns
[x],01.newsletter.napoleongames.be,"167.89.123.54, 167.89.118.52, 167.89.123.124, 167.89.118.83",sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"godaddy.com, amazonaws.com","mx.sendgrid.net, mx2.sendgrid.net","mailru-verification: 2e3995fa8a7d00e0, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE",,"ns13.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns14.dnsmadeeasy.com"
[x],01.transactional.napoleongames.be,"167.89.118.83, 167.89.123.124, 167.89.123.54, 167.89.118.52",sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,"mx2.sendgrid.net, mx.sendgrid.net","mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei",,
[x],adserving.napoleongames.be,"13.107.253.40, 13.107.226.40","napoleongames.cdn.netrefer.com, fd-core-fd-prod-01-westeurope-hxakeja9dkepbkhf.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0012.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0012.t-0009.fb-t-msedge.net, part-0012.t-0009.fb-t-msedge.net","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,"2620:1ec:48:1::40, 2620:1ec:29:1::40",
[x],affiliate.napoleongames.be,20.67.210.215,napoleongames1.iaoffers.com,"a1-92.akam.net, hostmaster.paysafe.com",NOERROR,,,,,,,
[x],affiliateadmin.napoleongames.be,"13.107.226.45, 13.107.253.45","napoleongames.admin.netrefer.com, fd-core-fd-prod-01-westeurope-hxakeja9dkepbkhf.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,"2620:1ec:4f:1::45, 2620:1ec:4e:1::45",
[x],affiliates.napoleongames.be,"13.107.237.44, 13.107.238.44","napoleongames.affiliates.netrefer.com, fd-core-fd-prod-01-westeurope-hxakeja9dkepbkhf.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0016.t-0009.fdv2-t-msedge.net, part-0016.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0016.t-0009.fb-t-msedge.net, part-0016.t-0009.fb-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",NOERROR,,,,,,"2620:1ec:4f:1::44, 2620:1ec:4e:1::44",
[x],airdice-callback.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],airdice-test.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api-ngp.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api-test-ngp.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],autodiscover.napoleongames.be,"52.98.241.168, 52.98.152.184, 52.98.175.24, 40.99.149.216","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,"2603:1026:c0d:c30::8, 2603:1026:c0d:82a::8, 2603:1026:c0d:82d::8, 2603:1026:c0d:c2c::8",
[x],autodiscover.news.napoleongames.be,"52.98.243.56, 52.98.241.184, 52.98.152.168, 52.98.243.24, 40.99.149.216, 52.98.175.24, 52.98.241.200, 40.99.222.184","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,"2603:1026:c0d:c06::8, 2603:1026:c0d:c2d::8, 2603:1026:c0d:803::8, 2603:1026:c0d:c1e::8, 2603:1026:c0d:c30::8, 2603:1026:c0d:c02::8, 2603:1026:c0d:82f::8, 2603:1026:c0d:c28::8",
[x],casino.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],cdn.int.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],content-ssl.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],content.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],crmapi-test.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],crmapi.napoleongames.be,"188.114.99.229, 188.114.98.229",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
