input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_expired
20.naspers.fr,Home | Naspers,,35955,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://20.naspers.fr:80,http,cloudflare,text/html,GET,165.160.15.20,Microsoft ASP.NET,885,,
ajax.googleapis.com,Hosted Libraries  |  Google Developers,,61015,developers.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,CN=*.google.com,*.google.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,developers.google.com,443,https://ajax.googleapis.com:443,https,Google Frontend,text/html,GET,142.250.185.74,HTTP/3,1966,,
analytics-admin.prosus.com,Prosus: Group Analytics Admin,,5471,analytics-admin.prosus.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-08-08T00:00:00Z,"CN=analytics-admin.prosus.com, O=MIH Technology Holdings B.V., ST=Noord-Holland, C=NL",analytics-admin.prosus.com,MIH Technology Holdings B.V.,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,ctls,analytics-admin.prosus.com,443,https://analytics-admin.prosus.com:443,https,AmazonS3,text/html,GET,143.204.215.34,Amazon Web Services,1,True,
analyticsapi.naspers.com,,,49,analyticsapi.naspers.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,CN=dashboardadmin.naspers.com,dashboardadmin.naspers.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,analyticsapi.naspers.com,443,https://analyticsapi.naspers.com:443,https,Apache,application/json,GET,54.76.226.27,HSTS,1,,
analyticsapi.prosus.com,,,49,analyticsapi.prosus.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-08T00:00:00Z,"CN=analyticsapi.prosus.com, O=MIH Technology Holdings B.V., ST=Noord-Holland, C=NL",analyticsapi.prosus.com,MIH Technology Holdings B.V.,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,ctls,analyticsapi.prosus.com,443,https://analyticsapi.prosus.com:443,https,Apache,application/json,GET,54.217.98.183,HSTS,1,,
antivirus1.naspers.fr,Home | Naspers,,35931,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://antivirus1.naspers.fr:80,http,cloudflare,text/html,GET,165.160.13.20,Microsoft ASP.NET,885,,
autodiscover.naspers.com,Prosus-Naspers - Sign In,,17700,okta.prosus.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,"CN=okta.prosus.com, O=MIH Technology Holdings B.V., ST=Noord-Holland, C=NL",okta.prosus.com,MIH Technology Holdings B.V.,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,ctls,okta.prosus.com,80,http://autodiscover.naspers.com:80,http,nginx,text/html,GET,52.98.175.8,Nginx,194,,
autodiscover.prosus.com,Prosus-Naspers - Sign In,,17616,okta.prosus.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,"CN=okta.prosus.com, O=MIH Technology Holdings B.V., ST=Noord-Holland, C=NL",okta.prosus.com,MIH Technology Holdings B.V.,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,ctls,okta.prosus.com,80,http://autodiscover.prosus.com:80,http,nginx,text/html,GET,40.99.214.40,Nginx,194,,
azreporting.naspers.com,Citrix Gateway,,3674,azreporting.naspers.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-18T00:00:00Z,"CN=azreporting.naspers.com, O=MIH Holdings (Pty) Ltd, ST=Gauteng, C=ZA",azreporting.naspers.com,MIH Holdings (Pty) Ltd,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,ctls,azreporting.naspers.com,443,https://azreporting.naspers.com:443,https,Apache,text/html,GET,51.144.167.29,HSTS,96,True,
beyondvirus.naspers.us,Home | Naspers,,35943,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://beyondvirus.naspers.us:80,http,cloudflare,text/html,GET,165.160.13.20,Microsoft ASP.NET,885,,
