input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn
affiliates.websitebuilder.com,Connexion - Smart Algo,,4475,affiliates.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-30T22:43:37Z,CN=sa.stable.rc-aa.gcp.seenovate.com,sa.stable.rc-aa.gcp.seenovate.com,,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,ctls,affiliates.websitebuilder.com,443,https://affiliates.websitebuilder.com:443,https,Apache/2.4.37 (centos),text/html,GET,107.178.240.244,PHP:7.4.26,75,True
api.websitebuilder.com,,,,,,,,,,,,,,,,,80,http://api.websitebuilder.com:80,http,Viewer,,GET,23.236.50.90,,1,True
app.websitebuilder.com,WebsiteBuilder,,5454,app.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,app.websitebuilder.com,443,https://app.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.9.84,HSTS,29,True
assets.websitebuilder.com,,,213,assets.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,assets.websitebuilder.com,443,https://assets.websitebuilder.com:443,https,cloudflare,application/xml,GET,104.17.9.84,HSTS,3,True
cc.websitebuilder.com,,,207,cc.websitebuilder.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-25T13:34:06Z,CN=*.blob.core.windows.net,*.blob.core.windows.net,,"CN=Microsoft RSA TLS CA 01, O=Microsoft Corporation, C=US",Microsoft RSA TLS CA 01,Microsoft Corporation,ctls,cc.websitebuilder.com,443,https://cc.websitebuilder.com:443,https,Windows-Azure-Blob/1.0 Microsoft-HTTPAPI/2.0,application/xml,GET,52.239.186.196,Microsoft HTTPAPI:2.0,4,True
cp-api-login.websitebuilder.com,,,119,cp-api-login.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,cp-api-login.websitebuilder.com,443,https://cp-api-login.websitebuilder.com:443,https,cloudflare,application/json,GET,104.17.9.84,HSTS,1,True
cp-api.websitebuilder.com,,,129,cp-api.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,cp-api.websitebuilder.com,443,https://cp-api.websitebuilder.com:443,https,cloudflare,application/json,GET,104.17.8.84,HSTS,1,True
cp-checkout.websitebuilder.com,WebsiteBuilder,,104114,cp-checkout.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,cp-checkout.websitebuilder.com,443,https://cp-checkout.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.9.84,HSTS,92,True
cp-my.websitebuilder.com,WebsiteBuilder,,5454,app.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,app.websitebuilder.com,443,https://cp-my.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,29,True
cp-templates.websitebuilder.com,,,207,cp-templates.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,cp-templates.websitebuilder.com,443,https://cp-templates.websitebuilder.com:443,https,cloudflare,application/xml,GET,104.17.9.84,HSTS,4,True
