input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,final_url,csp_domains_,tls_expired,tls_subject_org_
155-9-224-30.blog.nubank.com.br,404 Not Found,404,146,155-9-224-30.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,155-9-224-30.blog.nubank.com.br,443,https://155-9-224-30.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
155-9-62-93.blog.nubank.com.br,404 Not Found,404,146,155-9-62-93.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,155-9-62-93.blog.nubank.com.br,443,https://155-9-62-93.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
155-9-75-17.blog.nubank.com.br,404 Not Found,404,146,155-9-75-17.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,155-9-75-17.blog.nubank.com.br,443,https://155-9-75-17.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
17-121-112-64.blog.nubank.com.br,404 Not Found,404,548,,,,,,,,,,,,,,,,,,,,80,http://17-121-112-64.blog.nubank.com.br:80,http,nginx,text/html,GET,192.0.66.216,/,566218143,192.0.66.216,Nginx,14,False,,,,,,
17-121-113-39.blog.nubank.com.br,404 Not Found,404,548,17-121-113-39.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,17-121-113-39.blog.nubank.com.br,443,https://17-121-113-39.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,566218143,192.0.66.216,Nginx,14,False,,,,,,
17-121-114-97.blog.nubank.com.br,404 Not Found,404,146,17-121-114-97.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,17-121-114-97.blog.nubank.com.br,443,https://17-121-114-97.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
17-121-116-60.blog.nubank.com.br,404 Not Found,404,548,17-121-116-60.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,17-121-116-60.blog.nubank.com.br,443,https://17-121-116-60.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,566218143,192.0.66.216,Nginx,14,False,,,,,,
17-121-116-83.blog.nubank.com.br,404 Not Found,404,146,,,,,,,,,,,,,,,,,,,,80,http://17-121-116-83.blog.nubank.com.br:80,http,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
17-121-118-33.blog.nubank.com.br,404 Not Found,404,548,17-121-118-33.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,17-121-118-33.blog.nubank.com.br,443,https://17-121-118-33.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,566218143,192.0.66.216,Nginx,14,False,,,,,,
17-121-124-66.blog.nubank.com.br,404 Not Found,404,548,17-121-124-66.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,17-121-124-66.blog.nubank.com.br,443,https://17-121-124-66.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,566218143,192.0.66.216,Nginx,14,False,,,,,,
17-121-125-14.blog.nubank.com.br,404 Not Found,404,146,17-121-125-14.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,17-121-125-14.blog.nubank.com.br,443,https://17-121-125-14.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
17-121-127-94.blog.nubank.com.br,404 Not Found,404,146,17-121-127-94.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,17-121-127-94.blog.nubank.com.br,443,https://17-121-127-94.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
17-58-97-5.blog.nubank.com.br,404 Not Found,404,146,17-58-97-5.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,17-58-97-5.blog.nubank.com.br,443,https://17-58-97-5.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
