input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,tls_expired
admin-api.taralite.com,,200,35,admin-api.taralite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.taralite.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2c6c74ab20f4c38802577e6e1dd0576d,bb7dea28aa83b98d08b1d7060a9589ac2b8662e82a277273474452e4131ccd6e,True,ctls,admin-api.taralite.com,cloudflare,443,https://admin-api.taralite.com:443,https,cloudflare,application/json,GET,172.64.145.105,/,843552008,2606:4700:4400::6812:2a97,Google Cloud CDN,1,False,True,,,
admin.taralite.com,,403,16,admin.taralite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.taralite.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2c6c74ab20f4c38802577e6e1dd0576d,bb7dea28aa83b98d08b1d7060a9589ac2b8662e82a277273474452e4131ccd6e,True,ctls,admin.taralite.com,cloudflare,443,https://admin.taralite.com:443,https,cloudflare,text/plain,GET,104.18.42.151,/,1253481126,2606:4700:4400::6812:2a97,Cloudflare,1,False,True,,,
agw.ovo.id,,404,48,agw.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,agw.ovo.id,cloudflare,443,https://agw.ovo.id:443,https,cloudflare,application/json,GET,104.17.57.20,/,834205737,2606:4700::6811:3a14,Cloudflare,1,False,True,,,
api.aws.ovo.id,"OVO | Join the rOVOlution in Payment, Points & Priority!",200,28402,www.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,www.ovo.id,cloudflare,443,https://api.aws.ovo.id:443,https,cloudflare,text/html,GET,172.64.144.20,/,-723800446,2606:4700:4400::6812:2bec,ZURB Foundation,574,False,True,,https://www.ovo.id,
api.cp1.ovo.id,"OVO | Join the rOVOlution in Payment, Points & Priority!",200,28402,www.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,www.ovo.id,cloudflare,443,https://api.cp1.ovo.id:443,https,cloudflare,text/html,GET,172.64.150.101,/,-723800446,2606:4700:4400::6812:259b,ZURB Foundation,574,False,True,,https://www.ovo.id,
api.cp6.ovo.id,"OVO | Join the rOVOlution in Payment, Points & Priority!",200,28402,www.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,www.ovo.id,cloudflare,443,https://api.cp6.ovo.id:443,https,cloudflare,text/html,GET,104.18.37.203,/,-723800446,2606:4700:4400::ac40:9635,ZURB Foundation,574,False,True,,https://www.ovo.id,
api.ovo.id,,200,,api.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,api.ovo.id,cloudflare,443,https://api.ovo.id:443,https,cloudflare,,GET,104.17.57.20,/,407693251,2606:4700::6811:3a14,Google Cloud CDN,1,False,True,,,
api.taralite.com,,521,,api.taralite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.taralite.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2c6c74ab20f4c38802577e6e1dd0576d,bb7dea28aa83b98d08b1d7060a9589ac2b8662e82a277273474452e4131ccd6e,True,ctls,api.taralite.com,cloudflare,443,https://api.taralite.com:443,https,cloudflare,,GET,172.64.145.105,/,-1840324437,2606:4700:4400::ac40:9169,Cloudflare,1,False,True,,,
api01.ovo.id,"OVO | Join the rOVOlution in Payment, Points & Priority!",200,28404,www.ovo.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T10:04:57Z,2024-06-02T10:04:56Z,CN=*.ovo.id,*.ovo.id,,ovo.id,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,ec3f4706c30bd741975f45cd401dd839,6b928db9cadfc3036fe4952ab1e1a565f679f5c81c9fceccce478f4b606de492,True,ctls,www.ovo.id,,443,https://api01.ovo.id:443,https,cloudflare,text/html,GET,52.221.160.154,/,-723800446,18.141.16.128,ZURB Foundation,574,False,,,https://www.ovo.id,
apigw-prod.taralite.com,,404,48,apigw-prod.taralite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-02T00:00:00Z,2023-10-01T23:59:59Z,CN=*.taralite.com,*.taralite.com,,taralite.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,311f8faa81300bd7e26051e82fedc5f5,98cfdbd3a4f8e6d22852790ecab84f6cde1a75bfc6f3a0380d196399c6041d50,True,ctls,apigw-prod.taralite.com,google,443,https://apigw-prod.taralite.com:443,https,,application/json,GET,34.149.157.174,/,834205737,34.149.157.174,HTTP/3,1,False,True,,,
