new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,has_internal_ips,internal_ips
[x],10cake.kali.org,"104.18.4.159, 104.18.5.159",,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],155-9-76-59.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],17-121-122-82.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],17-121-125-3.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],73.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],admin-vpnloginbackup-accept-domain.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],aphrodite.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],api-preprod.offensive-security.com,"104.22.48.220, 172.67.22.117, 104.22.49.220","2606:4700:10::6816:31dc, 2606:4700:10::ac43:1675, 2606:4700:10::6816:30dc",,NOERROR,True,cloudflare,api-preprod.offensive-security.com.cdn.cloudflare.net,,
[x],apis-dev-sec.offensive-security.com,45.79.131.24,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],apollo.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],archive-10.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],archive-3.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],archive-4.kali.org,176.31.228.102,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,hecate.kali.org,,
[x],archive-6.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],archive-7.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],archive-8.kali.org,192.99.200.113,,,NOERROR,,,hebe.kali.org,,
[x],archive-9.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],archive.kali.org,192.99.45.140,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,hera.kali.org,,
[x],ares.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],atlas.kali.org,54.39.17.132,,,NOERROR,,,,,
[x],attnawesttcs13.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],backtrack-linux.org,50.116.58.136,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],backup-cacheportal.docs.kali.org,"104.18.4.159, 104.18.5.159",,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],backup.kali.org,54.39.103.103,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,polyhymnia.kali.org,,
[x],bardel.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],beta-development-production.docs.kali.org,"104.18.5.159, 104.18.4.159",,,NOERROR,True,cloudflare,,,
[x],bid47r7.docs.kali.org,"104.18.4.159, 104.18.5.159",,,NOERROR,True,cloudflare,,,
[x],br.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],buildd-amd64.kali.org,144.217.75.200,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,dionysus.kali.org,,
[x],buildd-arm.kali.org,192.124.249.170,,,NOERROR,,,,,
[x],buildd-armhf-staging.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],buildd-wsl.kali.org,45.33.88.48,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,mnemosyne.kali.org,,
[x],calliope.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],cdimage-staging.kali.org,158.69.125.93,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,poseidon.kali.org,,
[x],cdimages.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],cerberus-dev.offensive-security.com,45.79.131.24,,,NOERROR,,,,,
[x],cerberus-devops.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],cerberus.offensive-security.com,"172.16.1.116, 172.16.1.118, 172.16.1.117",,,NOERROR,,,,True,"172.16.1.116, 172.16.1.118, 172.16.1.117"
[x],chat.offensive-security.com,192.124.249.8,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],chn-vpn.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],clio.kali.org,172.104.29.198,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],clotho.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],cn.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],community.offensive-security.com,217.70.184.56,,,NOERROR,,,webredir.gandi.net,,
[x],config-networkuploadspanel.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],config-servicesjiratunnel-mx.docs.kali.org,"104.18.5.159, 104.18.4.159",,,NOERROR,True,cloudflare,,,
[x],cpanel.offensive-security.com,45.79.131.24,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],crius.kali.org,140.211.167.88,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],de.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],deimos.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],dionysus.kali.org,144.217.75.200,,,NOERROR,,,,,
[x],discord.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
