new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,has_internal_ips,internal_ips
[x],1plus.io,,,,"ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,,,1plus-io.mail.protection.outlook.com,"ns-2010.awsdns-59.co.uk, ns-893.awsdns-47.net, ns-105.awsdns-13.com, ns-1089.awsdns-08.org","v=spf1 include:spf.protection.outlook.com -all, MS=ms89486139, google-site-verification=G5Sb9GkCcGEtemAT1XdCHMAEu8bG7JVzhsxbHNCK8Ts",,
[x],account.oneplus.in,13.126.9.137,,account-b4b65efa9ab3ab8a.elb.ap-south-1.amazonaws.com,"ns-1316.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],account.oneplus.net,"54.83.144.29, 52.4.242.128, 54.237.178.201, 52.87.136.217",,accountnet-to-com-1501320216.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],aftersales.oneplus.com,"18.214.105.231, 3.235.213.210",,onepluscom-685150350.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],api.oneplus.cn,47.107.27.61,,,"ns3.dnsv4.com, enterprise2dnsadmin.dnspod.com",NOERROR,,,,,,,
[x],api1.oneplus.cn,47.107.27.61,,,"ns3.dnsv4.com, enterprise2dnsadmin.dnspod.com",NOERROR,,,,,,,
[x],app-category-api.1plus.io,"104.18.26.43, 104.18.27.43","2606:4700::6812:1b2b, 2606:4700::6812:1a2b",app-category-api.1plus.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,"ns-105.awsdns-13.com, ns-1089.awsdns-08.org, ns-2010.awsdns-59.co.uk, ns-893.awsdns-47.net",,,
[x],app-category-sync.1plus.io,"104.18.26.43, 104.18.27.43","2606:4700::6812:1b2b, 2606:4700::6812:1a2b",app-category-sync.1plus.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],appr.1plus.io,"108.138.51.22, 108.138.51.89, 108.138.51.123, 108.138.51.2",,,"ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
[x],appupgrade.1plus.io,"104.18.27.43, 104.18.26.43","2606:4700::6812:1a2b, 2606:4700::6812:1b2b",appupgrade.1plus.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],auth.oneplus.cn,172.26.161.70,,,"ns3.dnsv4.com, enterprise2dnsadmin.dnspod.com",NOERROR,,,,,,True,172.26.161.70
[x],auth.oneplus.net,172.26.161.70,,,"ns-925.awsdns-51.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.26.161.70
[x],autodiscover.onepluscorp.cn,"40.99.157.8, 40.99.157.24, 40.99.149.168, 40.99.149.184, 40.99.155.232, 52.97.189.104, 40.99.149.104, 40.99.149.136","2603:1026:207:f5::8, 2603:1026:207:a7::8, 2603:1026:c03:707e::8, 2603:1026:207:cd::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,,
[x],autodiscover.oxygenos.com,"52.98.171.232, 40.99.150.72, 52.98.228.56, 52.98.152.200, 52.98.243.56, 52.98.242.248, 40.99.150.104, 52.97.135.104","2603:1026:206:2::8, 2603:1026:c03:3030::8, 2603:1026:207:a5::8, 2603:1026:207:e1::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,,
[x],bbs.oneplus.com,106.39.247.186,,,"ns-926.awsdns-51.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1480.awsdns-57.org, ns-1649.awsdns-14.co.uk, ns-306.awsdns-38.com, ns-926.awsdns-51.net",,,
[x],bbsstatic.oneplus.com,"180.163.40.34, 180.163.40.19, 180.163.40.36, 180.163.40.41, 180.163.40.37, 180.163.40.38, 180.163.40.35",,bbsstatic.oneplus.com.w.kunluncan.com,"ns3.kunluncan.com, root.taobao.com",NOERROR,,,,,,,
[x],bluetooth.1plus.io,"99.86.4.92, 99.86.4.84, 99.86.4.7, 99.86.4.46","2600:9000:2057:1800:8:b86f:b640:93a1, 2600:9000:2057:ca00:8:b86f:b640:93a1, 2600:9000:2057:3200:8:b86f:b640:93a1, 2600:9000:2057:d000:8:b86f:b640:93a1, 2600:9000:2057:da00:8:b86f:b640:93a1, 2600:9000:2057:b400:8:b86f:b640:93a1, 2600:9000:2057:4600:8:b86f:b640:93a1, 2600:9000:2057:4400:8:b86f:b640:93a1",d20lapasndeva1.cloudfront.net,"ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-1341.awsdns-39.org, ns-1584.awsdns-06.co.uk, ns-17.awsdns-02.com, ns-781.awsdns-33.net",,,
[x],cf-cdn.1plus.io,"104.18.26.43, 104.18.27.43","2606:4700::6812:1a2b, 2606:4700::6812:1b2b",cf-cdn.1plus.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],chaos.onepluscorp.cn,10.21.193.210,,,"f1g1ns1.dnspod.net, freednsadmin.dnspod.com",NOERROR,,,,,,True,10.21.193.210
[x],chat.oneplus.com,106.38.236.100,,chat-cname.oneplus.cn,"ns3.dnsv4.com, enterprise2dnsadmin.dnspod.com",NOERROR,,,,"ns4.dnsv4.com, ns3.dnsv4.com, ns-1480.awsdns-57.org, ns-1649.awsdns-14.co.uk, ns-306.awsdns-38.com, ns-926.awsdns-51.net",,,
[x],cheers.oneplus.cn,120.24.35.4,,,"ns3.dnsv4.com, enterprise2dnsadmin.dnspod.com",NOERROR,,,,,,,
[x],click.oneplus.net,"13.226.153.47, 13.226.153.104, 13.226.153.109, 13.226.153.126","2600:9000:2182:8400:d:a9c8:59c0:93a1, 2600:9000:2182:2600:d:a9c8:59c0:93a1, 2600:9000:2182:400:d:a9c8:59c0:93a1, 2600:9000:2182:6a00:d:a9c8:59c0:93a1, 2600:9000:2182:c00:d:a9c8:59c0:93a1, 2600:9000:2182:bc00:d:a9c8:59c0:93a1, 2600:9000:2182:8000:d:a9c8:59c0:93a1, 2600:9000:2182:a00:d:a9c8:59c0:93a1",d2r4r4p64wdsh3.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-1573.awsdns-04.co.uk, ns-229.awsdns-28.com, ns-802.awsdns-36.net, ns-1097.awsdns-09.org",,,
[x],cloud.h2os.com,106.3.16.114,,,"ns3.dnsv4.com, enterprise2dnsadmin.dnspod.com",NOERROR,,,,,,,
[x],cloud.oneplus.com,106.3.18.232,,cloud-cname.oneplus.cn,"ns3.dnsv4.com, enterprise2dnsadmin.dnspod.com",NOERROR,,,,,,,
[x],cloud.oneplus.in,129.227.195.103,,,"ns-19.awsdns-02.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],cloudflare-verify.1plus.io,,,,"ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,829877542-491387263,,
[x],community-hug.oneplus.com,"104.18.0.50, 104.18.1.50","2606:4700::6812:132, 2606:4700::6812:32",community-hug.oneplus.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],community.oneplus.com,15.188.69.11,,,"ns-926.awsdns-51.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1480.awsdns-57.org, ns-1649.awsdns-14.co.uk, ns-306.awsdns-38.com, ns-926.awsdns-51.net",google-site-verification=2AIvu39CBVPmslj9dBUkJLYkPpKu5iN8RqP0hN-6xHo,,
[x],cricketinfo.1plus.io,"15.207.193.2, 35.154.59.58",,elb-cricket1-977192770.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],crmin.oneplus.com,129.227.29.197,,,"ns-926.awsdns-51.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],crmna.oneplus.com,"52.7.93.46, 3.229.125.163",,ntu-sharecost-pub-b3ogajq-1525452439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
