new,host,a,aaaa,mx,soa,ns,txt,status_code,cdn,cdn-name,cname,caa
[x],api.k8s.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],api.opensea.io,"104.18.13.217, 104.18.12.217","2606:4700::6812:cd9, 2606:4700::6812:dd9",,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],api2.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],atlantis.k8s.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],blog-migration.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,ca3-cc418bab17084df0a1c3b1b9d0b9fae1,NOERROR,,,,
[x],bounces.opensea.io,"205.251.193.48, 205.251.195.7, 205.251.197.81, 205.251.199.63",,smtp.sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com","ns-1361.awsdns-42.org, ns-775.awsdns-32.net, ns-304.awsdns-38.com, ns-1855.awsdns-39.co.uk","google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs, 202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",NOERROR,,,sparkpostmail.com,
[x],castle.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],cp.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],creatures-api.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],cryptofighters.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],cryptokitties.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],cryptosaga.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],csp.opensea.io,,,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,NOERROR,,,d217ghdmzfia47.cloudfront.net,
[x],dev-storage.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,google,,
[x],email.opensea.io,"188.114.99.229, 188.114.98.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],features-proxy.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],flower.k8s.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],hotpotato.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
[x],info.opensea.io,,,smtp.sparkpostmail.com,"arch.ns.cloudflare.com, dns.cloudflare.com",,v=spf1 -all,NOERROR,,,,
[x],learn.opensea.io,"104.18.13.217, 104.18.12.217","2606:4700::6812:dd9, 2606:4700::6812:cd9",,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],ledgerlegends.opensea.io,,,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,
