new,host,a,soa,ns,status_code,cname,cdn,cdn-name,aaaa,caa,mx,txt
[x],alnitak-rx.orionlabs.io,151.101.178.132,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,j.sni.global.fastly.net,True,fastly,,,,
[x],alnitak.orionlabs.io,"107.20.255.83, 23.23.116.85, 3.217.205.200","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,k8s-applications-nlb-bravo-7fdff220ddbc3d46.elb.us-east-1.amazonaws.com,,,,,,
[x],api.dev-01.orionlabs.io,"3.227.76.140, 35.170.10.17, 52.71.102.141","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,k8s-applications-nlb-echo-e7d870463a499db2.elb.us-east-1.amazonaws.com,,,,,,
[x],api.dev-03.orionlabs.io,"35.170.10.17, 52.71.102.141, 3.227.76.140","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,k8s-applications-nlb-echo-e7d870463a499db2.elb.us-east-1.amazonaws.com,,,,,,
[x],api.discovery.orionlabs.io,"3.232.143.177, 3.229.206.75, 52.203.104.48","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],api.orionlabs.io,"23.23.116.85, 3.217.205.200, 107.20.255.83","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,k8s-applications-nlb-bravo-7fdff220ddbc3d46.elb.us-east-1.amazonaws.com,,,,,,
[x],api.prod-01.orionlabs.io,"107.20.255.83, 3.217.205.200, 23.23.116.85","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],api.staging.orionlabs.io,"3.229.206.75, 3.232.143.177, 52.203.104.48","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,k8s-applications-nlb-charlie-e209c6dcabc2e1f8.elb.us-east-1.amazonaws.com,,,,,,
[x],atlas-staging.orionlabs.io,"65.9.55.90, 65.9.55.86, 65.9.55.43, 65.9.55.84","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,cloudfront,,,,
[x],atlas.orionlabs.io,"18.244.140.49, 18.244.140.79, 18.244.140.85, 18.244.140.47","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com","ns-1358.awsdns-41.org, ns-1729.awsdns-24.co.uk, ns-36.awsdns-04.com, ns-955.awsdns-55.net",NOERROR,,True,cloudfront,,,,
[x],auth.dev-02.orionlabs.io,"35.153.246.145, 18.206.131.153, 107.23.208.206","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],auth.dev-03.orionlabs.io,"3.227.76.140, 52.71.102.141, 35.170.10.17","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com","ns-1358.awsdns-41.org, ns-1729.awsdns-24.co.uk, ns-36.awsdns-04.com, ns-955.awsdns-55.net",NOERROR,,,,,,,
