new,host,a,soa,status_code,txt,cname,cdn,cdn-name,aaaa
[x],ifs.a.pggm.nl,145.4.234.84,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
[x],meetings.pggm.nl,145.4.228.9,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,aanmeldenlevensloop.pggm.nl,81.18.5.22,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,actie.pggm.nl,62.129.139.121,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,api.a.pggm.nl,40.113.137.1,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,"pggm-pggm-apim-01-we-a.azure-api.net, apimgmttmcom6bmfxkolqu7myfok8g1vfxzscon7bm8dmf0fxq.trafficmanager.net, pggm-pggm-apim-01-we-a-westeurope-01.regional.azure-api.net, api620d5073b91d4a638cd6a8be1e7d856cvh7fbqjgwpbrb0gzgrz0w.westeurope.cloudapp.azure.com",True,azure,
,apiportal.a.pggm.nl,40.113.137.1,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,"pggm-pggm-apim-01-we-a.portal.azure-api.net, api620d5073b91d4a638cd6a8be1e7d856cvh7fbqjgwpbrb0gzgrz0w.westeurope.cloudapp.azure.com",True,azure,
,apiportal.pggm.nl,104.40.155.230,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,"pggm-pggm-apim-01-we-p.portal.azure-api.net, apimgmthsymh0foppyzg3dqmbm6emgc4fkwtaunraukhw4n06h.cloudapp.net",True,azure,
,autodiscover.leo.pggm.nl,"40.99.150.72, 52.98.241.200, 52.98.243.56, 40.99.150.56, 52.97.135.104, 40.99.150.24, 40.99.149.216, 52.98.242.248","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,"2603:1026:c0d:82d::8, 2603:1026:c0d:82b::8, 2603:1026:c0d:c28::8, 2603:1026:c0d:c1d::8"
,bp2.pggm.nl,145.4.229.40,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,cloudftp.pggm.nl,,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,True,azure,
,con.pggm.nl,145.4.229.55,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,d.pggm.nl,"104.19.208.28, 104.19.191.28","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,dns.umbraco.io,True,cloudflare,"2606:4700::6813:bf1c, 2606:4700::6813:d01c"
,event.pggm.nl,,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,v=spf1 mx a include:spf2.azavista.com ~all,,,,
,extranet.pggm.nl,,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,"p2s|envid=PGGM extranet|loginmethod=pggm2|rooturl=https://extranet.pggm.nl|clientinfo=teams/testexternetoegang,teams/ledenraad,teams/cooperatiebestuur,teams/raboPGGMPPI,teams/RvC,teams/JVC",,,,
,info.pggm.nl,,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,redirect.pggm.nl,,,
,intranet-b-o.pggm.nl,145.4.199.79,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,ledenvoordelen.pggm.nl,145.4.229.29,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,redirect.pggm.nl,,,
,medischeverklaring.pggm.nl,145.4.229.29,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,redirect.pggm.nl,,,
,mijncdnrabobedrijvenpensioen.pggm.nl,145.4.232.23,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,pr-pas.pggm.nl,145.4.229.5,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,v=spf1 -all,,,,
,redirect.pggm.nl,145.4.229.29,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,releasedoc.a.pggm.nl,20.50.2.56,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,"app-pggm-pggm-releasedoc-web-a.azurewebsites.net, app-pggm-pggm-releasedoc-web-a.privatelink.azurewebsites.net, waws-prod-am2-439.sip.azurewebsites.windows.net, waws-prod-am2-439-397b.westeurope.cloudapp.azure.com",True,azure,
,releasedoc.pggm.nl,20.50.2.42,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,"app-pggm-pggm-releasedoc-web-p.azurewebsites.net, app-pggm-pggm-releasedoc-web-p.privatelink.azurewebsites.net, waws-prod-am2-409.sip.azurewebsites.windows.net, waws-prod-am2-409-8f43.westeurope.cloudapp.azure.com",True,azure,
,releasedocumentation.pggm.nl,145.4.229.57,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,sh.pggm.nl,,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,v=spf1 -all,,,,
,teams.pggm.nl,,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,upawse-m.t.pggm.nl,145.4.238.28,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,v.pggm.nl,82.201.61.101,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,vacatures.pggm.nl,145.4.229.56,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,,,,
,webmail.pggm.nl,,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,v=spf1 -all,,,,
,ws.pggm.nl,145.4.229.29,"ns2.kpn.net, zonemaster.kpn.com",NOERROR,,redirect.pggm.nl,,,
