new,host,a,soa,status_code,mx,txt,cname,cdn,cdn-name,aaaa,ns,caa
[x],account.pubg.com,"18.66.112.71, 18.66.112.126, 18.66.112.59, 18.66.112.73","ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,accounts.pubg.com,True,cloudfront,,,
[x],accounts.pubg.com,"18.244.146.72, 18.244.146.119, 18.244.146.85, 18.244.146.126","ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
[x],api.newstate.pubg.com,"13.225.34.52, 13.225.34.49, 13.225.34.36, 13.225.34.22","ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,d1g9rqklj696oe.cloudfront.net,True,cloudfront,,"ns-109.awsdns-13.com, ns-1809.awsdns-34.co.uk, ns-941.awsdns-53.net, ns-1312.awsdns-36.org",
[x],api.pubg.com,"13.32.121.60, 13.32.121.128, 13.32.121.116, 13.32.121.69","ns-435.awsdns-54.com, awsdns-hostmaster.amazon.com",NOERROR,,,d3w0mgnggamd58.cloudfront.net,True,cloudfront,"2600:9000:236e:2800:13:32cd:8300:93a1, 2600:9000:236e:8e00:13:32cd:8300:93a1, 2600:9000:236e:c000:13:32cd:8300:93a1, 2600:9000:236e:6a00:13:32cd:8300:93a1, 2600:9000:236e:a200:13:32cd:8300:93a1, 2600:9000:2240:7e00:13:32cd:8300:93a1, 2600:9000:236e:e600:13:32cd:8300:93a1, 2600:9000:236e:f400:13:32cd:8300:93a1","ns-1814.awsdns-34.co.uk, ns-435.awsdns-54.com, ns-944.awsdns-54.net, ns-1496.awsdns-59.org",
[x],asia.battlegrounds.pubg.com,"3.35.65.10, 43.201.158.220","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,lb-redir-2208-1169880033.ap-northeast-2.elb.amazonaws.com,,,,,
[x],autodiscover.pubg.com,"52.96.88.8, 40.97.190.8, 52.96.9.184, 52.96.109.152, 52.96.19.88, 52.96.181.40, 52.96.111.88, 52.96.32.8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,"2603:1036:302:40d7::8, 2603:1036:302:415b::8, 2603:1036:302:481e::8, 2603:1036:302:4837::8",,
[x],battlegrounds.pubg.com,"108.138.64.11, 108.138.64.100, 108.138.64.32, 108.138.64.111, 205.251.192.115, 205.251.195.168, 205.251.196.107, 205.251.198.91","ns-115.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,"ns-936.awsdns-53.net, ns-1627.awsdns-11.co.uk, ns-115.awsdns-14.com, ns-1131.awsdns-13.org",
[x],bounce.pubg.com,,"ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,"mxa.mailgun.org, mxb.mailgun.org",v=spf1 include:mailgun.org ~all,,,,,,
[x],buy.pubg.com,"18.66.97.88, 18.66.97.50, 18.66.97.83, 18.66.97.84","ns-100.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,dmgt5l818evks.cloudfront.net,True,cloudfront,"2600:9000:223c:ea00:17:9fc0:d700:93a1, 2600:9000:223c:f400:17:9fc0:d700:93a1, 2600:9000:223c:1600:17:9fc0:d700:93a1, 2600:9000:223c:2c00:17:9fc0:d700:93a1, 2600:9000:223c:6800:17:9fc0:d700:93a1, 2600:9000:223c:7000:17:9fc0:d700:93a1, 2600:9000:223c:aa00:17:9fc0:d700:93a1, 2600:9000:223c:d200:17:9fc0:d700:93a1","ns-100.awsdns-12.com, ns-580.awsdns-08.net, ns-1457.awsdns-54.org, ns-1582.awsdns-05.co.uk",
[x],careers.pubg.com,"18.65.39.89, 18.65.39.97, 18.65.39.36, 18.65.39.93","ns-1222.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,d20krprkds37cs.cloudfront.net,True,cloudfront,"2600:9000:2171:fa00:1f:5b4d:ff00:93a1, 2600:9000:2171:7800:1f:5b4d:ff00:93a1, 2600:9000:2171:aa00:1f:5b4d:ff00:93a1, 2600:9000:2171:c400:1f:5b4d:ff00:93a1, 2600:9000:2171:4a00:1f:5b4d:ff00:93a1, 2600:9000:2171:ec00:1f:5b4d:ff00:93a1, 2600:9000:2171:7000:1f:5b4d:ff00:93a1, 2600:9000:2171:ce00:1f:5b4d:ff00:93a1","ns-1222.awsdns-24.org, ns-1985.awsdns-56.co.uk, ns-228.awsdns-28.com, ns-580.awsdns-08.net",
[x],cdn-pubg-season-4.pubg.com,"18.155.129.45, 18.155.129.101, 18.155.129.44, 18.155.129.26","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,dmbcu4jn91kxu.cloudfront.net,True,cloudfront,"2600:9000:211e:fe00:19:3c6d:5080:93a1, 2600:9000:211e:cc00:19:3c6d:5080:93a1, 2600:9000:211e:a800:19:3c6d:5080:93a1, 2600:9000:211e:d000:19:3c6d:5080:93a1, 2600:9000:211e:2a00:19:3c6d:5080:93a1, 2600:9000:211e:4a00:19:3c6d:5080:93a1, 2600:9000:211e:1c00:19:3c6d:5080:93a1, 2600:9000:211e:b400:19:3c6d:5080:93a1","ns-1071.awsdns-05.org, ns-1566.awsdns-03.co.uk, ns-247.awsdns-30.com, ns-835.awsdns-40.net",
[x],cn.pubg.com,"3.35.65.10, 43.201.158.220","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,lb-redir-2208-1169880033.ap-northeast-2.elb.amazonaws.com,,,,,
[x],dev.pubgesports.com,"3.210.182.145, 3.215.162.37, 34.226.97.17","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,pubg-2207-dev-lb-510831051.us-east-1.elb.amazonaws.com,,,,,
[x],developer.pubg.com,"35.171.223.246, 184.72.132.241, 44.198.24.177","ns-14.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=natech-live,external-dns/resource=ingress/gamelocker/opendata-dev-portal-pubg-portal",developer-eks.live.pubgisd.services,,,,,
[x],emea.merch.pubg.com,23.227.38.74,"dns1.p06.nsone.net, hostmaster.nsone.net, ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,,shops.myshopify.com,,,,,"digicert.com, globalsign.com, letsencrypt.org"
[x],epicsupport.pubg.com,"104.16.53.111, 104.16.51.111, 3.113.123.113, 3.114.56.177, 54.64.235.235","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail-pod-25.int.zendesk.com,"pod=25, v=spf1 include:mail.zendesk.com ~all",support-epicgames.zendesk.com,True,cloudflare,,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",
[x],event.pubg.com,"18.66.248.31, 18.66.248.117, 18.66.248.89, 18.66.248.74","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,google-site-verification=Nl-N2dQD0VFXOl616jxw8LjboRd3fqYSI4-kX_2yzh4,,True,cloudfront,,"ns-1972.awsdns-54.co.uk, ns-496.awsdns-62.com, ns-666.awsdns-19.net, ns-1363.awsdns-42.org",
[x],go.pubg.com,"52.59.165.42, 18.184.197.212","ns-683.awsdns-21.net, awsdns-hostmaster.amazon.com",NOERROR,,,cname.short.io,,,,,
[x],guide.pubg.com,"54.81.55.249, 54.144.48.58, 3.225.148.235","ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],help.newstate.pubg.com,"52.204.44.152, 52.4.169.250, 3.86.1.116, 50.17.206.120, 50.19.17.21, 34.196.234.68, 75.101.191.85, 54.164.253.112","ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,pubgmobile.helpshift.com,,,"2600:1f18:3f7:b410:ccaa:d331:5e00:9268, 2600:1f18:3f7:b406:614d:ab97:5a7e:cecb, 2600:1f18:3f7:b406:317a:b952:bd13:cb63, 2600:1f18:3f7:b408:7bc6:5056:4c2e:bc3, 2600:1f18:3f7:b406:9cc5:d151:a7b5:7495, 2600:1f18:3f7:b410:8456:de78:2574:9e90, 2600:1f18:3f7:b408:16cc:a040:c32:c286, 2600:1f18:3f7:b410:e2ce:bba6:c188:1afe",,
[x],krang.pubg.com,"3.225.227.61, 18.233.125.202, 3.222.100.210","ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],latam.battlegrounds.pubg.com,"3.35.65.10, 43.201.158.220","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,lb-redir-2208-1169880033.ap-northeast-2.elb.amazonaws.com,,,,,
[x],latam.pubgesports.com,"108.156.60.61, 108.156.60.5, 108.156.60.119, 108.156.60.42","ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
[x],link.pubg.com,"52.88.110.2, 54.187.134.7, 35.166.255.90","ns-678.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,smtp.sparkpostmail.com,,spgo.io,,,,"ns-277.awsdns-34.com, ns-678.awsdns-20.net, ns-1380.awsdns-44.org, ns-1748.awsdns-26.co.uk",
[x],lite.pubg.com,"141.193.213.21, 141.193.213.20","darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,qm4mao186y4b.wpeproxy.com,,,,,
[x],litesupport.pubg.com,"104.16.53.111, 104.16.51.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail-pod-25.int.zendesk.com,"v=spf1 include:mail.zendesk.com ~all, pod=25",pubglitesupport.zendesk.com,True,cloudflare,,,
[x],msupport.pubg.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,pubgmsupport.zendesk.com,True,cloudflare,,,
[x],na.battlegrounds.pubg.com,"43.201.158.220, 3.35.65.10","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,lb-redir-2208-1169880033.ap-northeast-2.elb.amazonaws.com,,,,,
[x],npl-static-assets.pubgesports.com,"52.222.214.59, 52.222.214.68, 52.222.214.111, 52.222.214.94","ns-676.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,,,d2dvmctq8ap5e6.cloudfront.net,True,cloudfront,"2600:9000:223d:f400:1b:b40c:6380:93a1, 2600:9000:223d:9800:1b:b40c:6380:93a1, 2600:9000:223d:c200:1b:b40c:6380:93a1, 2600:9000:223d:ea00:1b:b40c:6380:93a1, 2600:9000:223d:1c00:1b:b40c:6380:93a1, 2600:9000:223d:ec00:1b:b40c:6380:93a1, 2600:9000:223d:0:1b:b40c:6380:93a1, 2600:9000:223d:c00:1b:b40c:6380:93a1","ns-1263.awsdns-29.org, ns-1825.awsdns-36.co.uk, ns-439.awsdns-54.com, ns-676.awsdns-20.net",
[x],npl.pubgesports.com,"3.130.163.252, 18.219.160.149","ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,"esportspubgna.wpengine.com, lbmaster-95414.wpengine.com, cluster95-elbwpeel-1uu5bqrso2wdu-2132066656.us-east-2.elb.amazonaws.com",,,,"ns-1076.awsdns-06.org, ns-127.awsdns-15.com, ns-1722.awsdns-23.co.uk, ns-598.awsdns-10.net",
[x],ordo.pubg.com,"63.33.17.94, 52.51.23.169, 54.195.237.234","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,"MS=ms44942321, detectify-verification=969838a510dd75807234eecda55b8edc, google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y, google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU, v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all",zeroheight.com,,,,"ns-1002.awsdns-61.net, ns-103.awsdns-12.com, ns-1439.awsdns-51.org, ns-1991.awsdns-56.co.uk",
[x],pass-stg.pubg.com,"108.157.4.123, 108.157.4.44, 108.157.4.45, 108.157.4.62","ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
[x],pass.pubg.com,"141.193.213.21, 141.193.213.20","darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,8b9jm5xsu3ue.wpeproxy.com,,,,,
[x],passcn.pubg.com,23.201.243.24,"n0d.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"pubg.com.edgekey.net, e5809.d.akamaiedge.net",,,,,
[x],pcpis2.pubg.com,"18.66.122.108, 18.66.122.116, 18.66.122.24, 18.66.122.64","ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
[x],pec.pubgesports.com,"104.16.244.78, 104.16.243.78","elias.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,octopus-app-vp32j.ondigitalocean.app,True,cloudflare,"2606:4700::6810:f44e, 2606:4700::6810:f34e",,
[x],pgi.pubg.com,"18.66.97.14, 18.66.97.61, 18.66.97.82, 18.66.97.77","ns-1600.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,d2fii4nc58hzmq.cloudfront.net,True,cloudfront,"2600:9000:223c:b200:a:8de2:a880:93a1, 2600:9000:223c:4200:a:8de2:a880:93a1, 2600:9000:223c:e00:a:8de2:a880:93a1, 2600:9000:223c:5000:a:8de2:a880:93a1, 2600:9000:223c:8200:a:8de2:a880:93a1, 2600:9000:223c:a000:a:8de2:a880:93a1, 2600:9000:223c:c00:a:8de2:a880:93a1, 2600:9000:223c:8400:a:8de2:a880:93a1","ns-775.awsdns-32.net, ns-109.awsdns-13.com, ns-1271.awsdns-30.org, ns-1600.awsdns-08.co.uk",
[x],play.battlegrounds.pubg.com,"34.159.137.246, 3.72.140.173","dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,condescending-swirles-d02547.netlify.app,True,google,"2a05:d014:275:cb00::c8, 2a05:d014:275:cb01::c8",,
[x],play.pubg.com,"3.209.251.217, 54.196.6.118, 67.202.51.47","ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],playfree.pubg.com,"43.201.158.220, 3.35.65.10","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,lb-redir-2208-1169880033.ap-northeast-2.elb.amazonaws.com,,,,,
[x],playnow.pubg.com,37.143.12.125,"ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],pre-reg.pubg.com,"43.201.158.220, 3.35.65.10","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,lb-redir-2208-1169880033.ap-northeast-2.elb.amazonaws.com,,,,,
[x],press.pubg.com,20.93.158.232,"ns2.no-ip.com, hostmaster.no-ip.com",NOERROR,,,"pubg.gamespress.com, westeu-v2.propressroom.com",,,,,
[x],project-thai.pubg.com,"3.130.163.252, 18.219.160.149","ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,"pubglitepcweb.wpengine.com, lbmaster-95414.wpengine.com, cluster95-elbwpeel-1uu5bqrso2wdu-2132066656.us-east-2.elb.amazonaws.com",,,,,
[x],ps4support.pubg.com,"104.16.53.111, 104.16.51.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail-pod-25.int.zendesk.com,"pod=25, v=spf1 include:mail.zendesk.com ~all",ps4support.zendesk.com,True,cloudflare,,,
[x],pubg.com,"108.156.60.52, 108.156.60.84, 108.156.60.81, 108.156.60.32","ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,pubg-com.mail.protection.outlook.com,"google-site-verification=xdJcMlZO2Kd3x6h2HIpSmFNkBihKFrDyGE_YYRfYe3Y, v=spf1 include:spf.protection.outlook.com include:amazonses.com include:_spf.qualtrics.com -all, MS=ms58713041, ZOOM_verify_6HAmQl6ASqO2f7mXbGY2Fw, c8dde52d8b82167e5f015794d379e3cf7304918a932f22a0645485c3eb1debed, google-site-verification=-m57gJX0qVY1dUcfvTZaxC3LAX2WWFebpmt8KcXq000, google-site-verification=8qsOg5yG7_DjuAlJ84IEY1X7A6x3UCgIqQ6F38dWyI0, google-site-verification=Nl-N2dQD0VFXOl616jxw8LjboRd3fqYSI4-kX_2yzh4",,True,cloudfront,,"ns-1209.awsdns-23.org, ns-135.awsdns-16.com, ns-1555.awsdns-02.co.uk, ns-766.awsdns-31.net",
[x],pubgesports.com,"52.222.139.68, 52.222.139.62, 52.222.139.14, 52.222.139.69","ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,"ns-1427.awsdns-50.org, ns-1834.awsdns-37.co.uk, ns-239.awsdns-29.com, ns-721.awsdns-26.net",
[x],qa.pubgesports.com,"54.163.99.135, 52.45.195.70, 54.145.214.216","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,pubg-2207-qa-lb-209295405.us-east-1.elb.amazonaws.com,,,,,
[x],ru-store.battlegrounds.pubg.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,pubg-battlegrounds-1.xsollasitebuilder.com,True,google,,,
[x],stadiasupport.pubg.com,"104.16.53.111, 104.16.51.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail-pod-25.int.zendesk.com,"v=spf1 include:mail.zendesk.com ~all, pod=25",pubgcologne.zendesk.com,True,cloudflare,,,
[x],stage-api.newstate.pubg.com,"99.86.4.56, 99.86.4.58, 99.86.4.47, 99.86.4.35","ns-181.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,d3amln29d0og7l.cloudfront.net,True,cloudfront,,"ns-1335.awsdns-38.org, ns-1698.awsdns-20.co.uk, ns-181.awsdns-22.com, ns-737.awsdns-28.net",
[x],stage.pubgesports.com,"18.66.97.90, 18.66.97.63, 18.66.97.18, 18.66.97.56","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,d1mfob3g0gsg9p.cloudfront.net,True,cloudfront,,"ns-1371.awsdns-43.org, ns-1733.awsdns-24.co.uk, ns-408.awsdns-51.com, ns-541.awsdns-03.net",
[x],status.pubg.com,52.215.192.131,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,y5v1nwr53yfs.stspg-customer.com,,,,"ns-1098.awsdns-09.org, ns-1711.awsdns-21.co.uk, ns-441.awsdns-55.com, ns-817.awsdns-38.net","globalsign.com;, letsencrypt.org"
[x],store.emea.battlegrounds.pubg.com,"141.193.213.21, 141.193.213.20","darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,n6vawhdn14n0.wpeproxy.com,,,,,
[x],survey.pubg.com,,"ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,survey-pubg-com.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com -all,,,,,,
[x],vikendi.pass.pubg.com,"35.156.224.161, 34.141.72.9","dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,zen-thompson-3a3fb7.netlify.com,True,google,"2a05:d014:275:cb00::c8, 2a05:d014:275:cb02::c8",,
[x],vikendi.pubg.com,"3.35.65.10, 43.201.158.220","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,lb-redir-2208-1169880033.ap-northeast-2.elb.amazonaws.com,,,,,
[x],watchpgi.pubg.com,,"ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],wp.pubgesports.com,"54.71.173.168, 52.12.117.35","ns-623.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,esports-wp-prod-2.eba-mmndnp3z.us-west-2.elasticbeanstalk.com,,,,,
[x],wpapi.pubgesports.com,"143.204.215.85, 143.204.215.63, 143.204.215.22, 143.204.215.124","ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
[x],wpcdn.pubgesports.com,"18.66.122.90, 18.66.122.103, 18.66.122.67, 18.66.122.77","ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
