new,host,a,cname,mx,soa,ns,txt,status_code,cdn,cdn-name
[x],a2zonlinesewa.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],a2zonlinesewawww1.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],abc-com.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],admin.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],adria-perry.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],alaska-traders-export.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],alias.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],ars-house.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],aura.client.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],aura.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],b-harish-rao.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],bbostaging1.score.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],bell-clothing.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],beluga.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],bhadrakali.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],bhakta.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],bhatbhateni.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],blackpearl.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],blackpearldemo.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],blackperl.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],bnr-tops.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],bookstore.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],boxenterprise.net.box.clorox.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],carnepal.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],cash-on-delivery.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],catchyroad.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
[x],chakrapath-online.pasls.com,139.59.48.221,,,"ns1.digitalocean.com, hostmaster.pasls.com",,,NOERROR,,
