new,host,a,aaaa,cname,soa,status_code,has_internal_ips,internal_ips,ns,cdn,cdn-name,txt,mx,caa,ptr
[x],2app-wdps-okta-inc-it-alt12.internal.ap-south-1.performance.osmose.risk.pai.mypaytm.com,"172.33.35.205, 172.33.8.87, 172.33.75.214",,internal-nginx-20221025200217240500000002-1086772439.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],2app-wdps-okta-inc-parents-alt12-minion.internal.ap-south-1.performance.osmose.risk.pai.mypaytm.com,"172.33.8.87, 172.33.75.214, 172.33.35.205",,internal-nginx-20221025200217240500000002-1086772439.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],_include1.paytm.com,,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,v=spf1 include:_spf.one97.net include:amazonses.com include:_include3.paytm.com include:_onenine7.paytm.com ip4:125.19.44.66/32 ip4:125.21.245.156/32 ip4:13.232.157.69/32 ip4:13.232.105.32/32 ip4:13.126.236.121/32 ip4:13.232.146.80/32 -all,,,
[x],_include2.paytm.com,,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,v=spf1 ip4:54.179.186.39/32 ip4:54.251.151.39/32 ip4:52.74.28.141/32 ip4:54.255.153.194/32 ip4:180.179.116.236/32 ip4:54.240.38.160/32 ip4:35.154.69.241/32 ip4:13.126.241.188/32 ip4:13.127.127.236/32 ip4:13.126.94.72/32 ip4:13.232.92.168/32 -all,,,
[x],abc.paytmmall.com,"43.204.82.64, 13.127.122.177",,k8s-storesext-7e0b4bb676-238389849.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],aboss.paas.paytm.com,103.206.164.26,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],abossmonitor.paas.paytm.com,103.206.164.32,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],account-summary-internal-eks.paytmbank.com,"172.23.7.250, 172.23.0.102",,internal-k8s-accountsummaryint-c87a6baa36-273832475.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.23.7.250, 172.23.0.102",,,,,,,
[x],accounts-internal.paytm.com,10.143.45.117,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,True,10.143.45.117,,,,,,,
[x],accounts-plus-cloud.paytm.com,54.144.128.85,,,,NOERROR,,,,,,,,,
[x],accounts-plus-dr-publicip.paytm.com,103.206.165.151,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],accounts-plus-preprod.paytm.com,10.143.40.82,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,True,10.143.40.82,,,,,,,
[x],accounts-plus-publicip.paytm.com,103.206.167.19,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],accounts-plus-uat-private.paytm.com,172.21.23.149,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,True,172.21.23.149,,,,,,,
[x],accounts-staging-lb.paytm.in,"62.115.252.35, 80.239.137.138","2001:2030:21::50ef:898a, 2001:2030:21::3e73:fc23","accounts-staging.paytm.in.edgekey.net, e25072.dscj.akamaiedge.net","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],accounts-staging.paytm.in,"23.36.162.150, 23.36.162.159","2a02:26f0:3500:18::1724:a29f, 2a02:26f0:3500:18::1724:a296","accounts-staging.paytm.in.edgekey.net, e25072.dscj.akamaiedge.net","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],accounts-uat.paytm.com,23.37.42.154,"2a02:26f0:1700:786::39e2, 2a02:26f0:1700:796::39e2","accounts-uat.paytm.com.edgekey.net, e14818.dscj.akamaiedge.net","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],accounts.paytm.com,23.37.42.154,,"accounts.paytm.com.edgekey.net, e14818.j.akamaiedge.net","n0j.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],acparamweb.paas.paytm.com,103.206.166.41,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1112.awsdns-11.org, ns-1858.awsdns-40.co.uk, ns-249.awsdns-31.com, ns-998.awsdns-60.net",,,,,,
[x],ad.paytm.com,,,,"ns-1658.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1658.awsdns-15.co.uk, ns-95.awsdns-11.com, ns-666.awsdns-19.net, ns-1452.awsdns-53.org",,,,,,
[x],admin.paas.paytm.com,103.206.166.6,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
