new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,txt,ns,caa
[x],api-proxy.pexels.com,"104.18.182.99, 104.18.181.99","2606:4700::6812:b563, 2606:4700::6812:b663","jake.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api-server.pexels.com,"104.18.181.99, 104.18.182.99","2606:4700::6812:b563, 2606:4700::6812:b663","jake.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api.pexels.com,,"2606:4700::6812:b563, 2606:4700::6812:b663","jake.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],cat.pexels.com,"104.18.181.99, 104.18.182.99","2606:4700::6812:b563, 2606:4700::6812:b663","jake.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],cf-logs.pexels.com,"104.18.182.99, 104.18.181.99","2606:4700::6812:b663, 2606:4700::6812:b563","jake.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],community.pexels.com,,,"jake.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"google-site-verification=2qEsRofd4YAGWbcK3Nqp-9TDfTKBKWmAe_oWRijDPvU, v=spf1 include:sendgrid.net ~all",,
[x],download-staging.pexels.com,"104.18.181.99, 104.18.182.99","2606:4700::6812:b663, 2606:4700::6812:b563","jake.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],download.pexels.com,"104.18.182.99, 104.18.181.99","2606:4700::6812:b663, 2606:4700::6812:b563","jake.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],email.pexels.com,"34.102.239.211, 205.251.192.133, 205.251.194.74, 205.251.197.202, 205.251.198.78",,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,mailgun.org,"mxa.mailgun.org, mxb.mailgun.org","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all","ns-133.awsdns-16.com, ns-586.awsdns-09.net, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk","digicert.com, letsencrypt.org, ;"
[x],flamingo.pexels.com,"104.18.182.99, 104.18.181.99","2606:4700::6812:b663, 2606:4700::6812:b563","jake.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],help.pexels.com,"104.16.51.111, 104.16.53.111",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,pexels-help.zendesk.com,mail-pod-25.int.zendesk.com,"pod=25, v=spf1 include:mail.zendesk.com ~all",,
