input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,tech_,lines,failed,cdn,csp_domains_,webserver,tls_mismatched,tls_subject_org_,final_url,chain_status_codes_
0274accb-0486-4ff2-a889-89eda01ff7c1.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://0274accb-0486-4ff2-a889-89eda01ff7c1.edge1-test.pingone.com:80,http,text/html,GET,18.66.112.125,/,-1455837483,Amazon Web Services,20,False,True,,CloudFront,,,,
0377fcf6-8915-4ae3-bf6b-ccb5d4d8a8a2.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://0377fcf6-8915-4ae3-bf6b-ccb5d4d8a8a2.edge1.pingone.com:80,http,text/html,GET,99.86.4.126,/,112540251,Amazon Web Services,20,False,True,,CloudFront,,,,
10f7635c-ed92-4160-905b-5c90c363bf91.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://10f7635c-ed92-4160-905b-5c90c363bf91.edge1-test.pingone.com:80,http,text/html,GET,99.86.4.54,/,1387571722,Amazon Web Services,20,False,True,,CloudFront,,,,
123456789.edge1-local.pingone.com,403 Forbidden,403,199,123456789.edge1-local.pingone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-29T00:00:00Z,2023-08-30T23:59:59Z,"CN=*.pingone.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingone.com,pingone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9fc9a5f41f2185d7cc16b178cb902571,52a09db4c1955c1751ed6fcc672a82e53bb754929bc218cc379e96e34240605c,True,ctls,123456789.edge1-local.pingone.com,,443,https://123456789.edge1-local.pingone.com:443,https,text/html,GET,3.130.152.31,/,-780928015,HSTS,8,False,,,Apache,True,Ping Identity Corporation,,
1823d1df-8a43-4b12-983c-da569a5030a9.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://1823d1df-8a43-4b12-983c-da569a5030a9.edge1.pingone.com:80,http,text/html,GET,65.9.66.59,/,1761911527,Amazon Web Services,20,False,True,,CloudFront,,,,
2019.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,643185,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,True,ctls,www.pingidentity.com,,443,https://2019.pingone.com:443,https,text/html,GET,44.241.84.41,/,,Java,32,False,,,,,Ping Identity Corporation,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html,200
208a178b-87c6-4812-b768-b4334bbb0b9a.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://208a178b-87c6-4812-b768-b4334bbb0b9a.edge1-test.pingone.com:80,http,text/html,GET,13.225.78.73,/,1329621173,Amazon Web Services,20,False,True,,CloudFront,,,,
221cfba4-b8a1-4219-ac57-4fcc4653e9d7.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://221cfba4-b8a1-4219-ac57-4fcc4653e9d7.edge1.pingone.com:80,http,text/html,GET,18.66.122.2,/,-1254548894,Amazon Web Services,20,False,True,,CloudFront,,,,
253aapi-staging.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,643185,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,True,ctls,www.pingidentity.com,,443,https://253aapi-staging.pingone.com:443,https,text/html,GET,3.130.152.31,/,,Java,32,False,,,,,Ping Identity Corporation,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html,200
253aapps-staging.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,643185,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,True,ctls,www.pingidentity.com,,443,https://253aapps-staging.pingone.com:443,https,text/html,GET,52.11.201.206,/,,Java,32,False,,,,,Ping Identity Corporation,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html,200
253aconsole-staging.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,643185,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,True,ctls,www.pingidentity.com,,443,https://253aconsole-staging.pingone.com:443,https,text/html,GET,3.129.185.94,/,,Java,32,False,,,,,Ping Identity Corporation,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html,200
28940b17-e4aa-4f7b-a048-5c3956fe2789.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://28940b17-e4aa-4f7b-a048-5c3956fe2789.edge1-test.pingone.com:80,http,text/html,GET,18.66.97.58,/,-1208858620,Amazon Web Services,20,False,True,,CloudFront,,,,
2a879d7c-5e4d-4d62-abec-b4dd94aad63a.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://2a879d7c-5e4d-4d62-abec-b4dd94aad63a.edge1-test.pingone.com:80,http,text/html,GET,52.222.214.65,/,,Amazon Web Services,20,False,True,,CloudFront,,,,
32686c78-0fdd-4392-846a-52a6edd0eba9.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://32686c78-0fdd-4392-846a-52a6edd0eba9.edge1.pingone.com:80,http,text/html,GET,52.222.236.9,/,-758365984,Amazon Web Services,20,False,True,,CloudFront,,,,
346e3dde-520f-43f0-b1ee-7a6507b15ff7.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://346e3dde-520f-43f0-b1ee-7a6507b15ff7.edge1.pingone.com:80,http,text/html,GET,13.32.99.93,/,-1904377964,Amazon Web Services,20,False,True,,CloudFront,,,,
3aapps-staging.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,643185,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,True,ctls,www.pingidentity.com,,443,https://3aapps-staging.pingone.com:443,https,text/html,GET,3.129.185.94,/,,Java,32,False,,,,,Ping Identity Corporation,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html,200
