new,host,soa,status_code,aaaa,a,mx,ns,txt,cdn,cdn-name,cname,caa
[x],ablink.community.pixabay.com,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,"167.89.118.83, 167.89.123.124, 167.89.118.52, 167.89.123.54","mx.sendgrid.net, mx2.sendgrid.net","ns11.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns13.dnsmadeeasy.com","v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0",,,sendgrid.net,"godaddy.com, amazonaws.com"
[x],admin.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a01:4f8:c0:1402::2, 2a01:4f8:c0:1401::2",,,,,,,,
[x],cdn.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6812:e10, 2606:4700::6812:f10","104.18.15.16, 104.18.14.16",,,v=spf1 -all,True,cloudflare,,
[x],crt.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],db.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],db1.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],db2.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],dbase.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],de.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],e.community.pixabay.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,mx.sendgrid.net,,v=spf1 include:sendgrid.net ~all,,,u6055632.wl133.sendgrid.net,
[x],goodies.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],info.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a01:4f8:c0:1402::2, 2a01:4f8:c0:1401::2",,,,,,,,
[x],link.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6812:f10, 2606:4700::6812:e10","104.18.14.16, 104.18.15.16",,,,True,cloudflare,,
[x],mbk01.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],misc.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mn02.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mn03.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mn04.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mn05.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mn06.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mn07.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mn1.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mn2.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mnbk.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mpx02.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],munin01.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],munin02.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],o2736.e.community.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,167.89.100.231,,,,,,,
[x],pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6812:e10, 2606:4700::6812:f10","104.18.14.16, 104.18.15.16","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","seth.ns.cloudflare.com, adrian.ns.cloudflare.com","v=spf1 include:_spf.google.com include:amazonses.com ~all, google-site-verification=CgYUXqGvVp2SwBCOIl9KfS_LbDZ9r2Vd2OklaRNY2ys, google-site-verification=OgesMKyCe9yhBJZm8kAqy-55DC8D_THwcMyB1AaeGtk, google-site-verification=W54mcDR7qT7SWm0cTulBaPyZHy7rELXxyK13yBps0Yg",True,cloudflare,,
[x],rc1.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],rc2.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],static.pixabay.com,"adrian.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
