new,host,a,soa,status_code,aaaa,txt,cname,has_internal_ips,internal_ips,mx,cdn,cdn-name,ns,caa
[x],acc.apl-platform.postnl.nl,,"ns-904.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,,,a030.aws.cldsvc.net,,,,,,"ns-1200.awsdns-22.org, ns-1826.awsdns-36.co.uk, ns-904.awsdns-49.net, ns-275.awsdns-34.com",
[x],acc.podp.postnl.nl,"104.126.36.227, 104.126.36.211","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:7100::687e:24e3, 2a02:26f0:7100::687e:24d3",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],acc.postnl.nl,"104.126.36.211, 104.126.36.227","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:7100::687e:24d3, 2a02:26f0:7100::687e:24e3",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],acc.supplychaincontrol.postnl.nl,"80.239.150.65, 80.239.150.83","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2001:2030:0:17::50ef:fe02, 2001:2030:0:17::50ef:fe25",v=spf1 -all,,,,,,,,
[x],acceptatie-mijndataportaal.postnl.nl,"23.53.43.50, 23.53.42.251","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::214:8e63, 2a02:26f0:ab00::214:8e71",,"c129221.edgekey.net, e129221.dscb.akamaiedge.net",,,,,,,
[x],access.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],account.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],account.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,v=spf1 include:amazonses.com -all,,,,,,,,
[x],accountresources.pat.postnl.nl,"104.126.37.35, 104.126.37.17","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::5c7a:d729, 2a02:26f0:ab00::5c7a:d720",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],accountresources.postnl.nl,"95.101.74.148, 95.101.74.159","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a94, 2a02:26f0:c900:9::5f65:4a9f",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],accp.mb.ws.postnl.nl,145.78.21.189,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],accp.nvsp.ws.postnl.nl,145.78.26.7,,NOERROR,,,,,,,,,,
[x],accp.pi.ws.postnl.nl,145.78.26.130,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],accp.walsal.ws.postnl.nl,145.78.21.80,,NOERROR,,,,,,,,,,
[x],adfs-datalake.postnl.nl,99.80.222.247,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],admin.pat.rouwpost.postnl.nl,"80.239.254.38, 80.239.254.35","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:0:17::50ef:fe23, 2001:2030:0:17::50ef:fe26",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],adresboekservice.mijnpost.pat.ws.postnl.nl,145.78.21.110,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],adresboekservice.mijnpost.tst.ws.postnl.nl,145.78.21.109,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],ambassadeurs.postnl.nl,80.158.39.253,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],annualreport.postnl.nl,"83.96.200.114, 83.96.201.114","ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,,frontend.tangelo.nl,,,,,,,
