input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_self_signed,tls_mismatched,tls_subject_org_,final_url,cdn_name,cdn
*.apple.com,Apple,200,161179,platform.twitter.com,www.apple.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-02T22:59:19Z,2023-10-28T23:09:18Z,"CN=www.apple.com, O=Apple Inc., L=Cupertino, ST=California, C=US, serialNumber=C0806592, jurisdictionStateOrProvince=California, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, businessCategory=Private Organization",www.apple.com,www.apple.com.cn,"CN=Apple Public EV Server RSA CA 2 - G1, O=Apple Inc., C=US",Apple Public EV Server RSA CA 2 - G1,Apple Inc.,07c1809a3d895c001a3c5a1c22aa380d,9875bb8ee57179bf042f3c94e6f178d141ee4dd15bde078b1ec026ed2dae6ff2,,ctls,www.apple.com,80,http://apple.com:80,http,Apple,text/html,GET,17.253.144.10,/,-1295672766,2620:149:af0::10,HSTS,1351,False,,,Apple Inc.,https://www.apple.com/,,
*.qwant.com,"Qwant - The search engine that doesn't know anything about you, and that changes everything!",200,158090,*.femmesetcitoyennete.fr,www.qwant.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-04T00:00:00Z,2023-07-13T23:59:59Z,CN=*.qwant.com,*.qwant.com,qwant.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,a0c362b85a5ce7997a80b9437664383a,5e720d2e2d2c5a3f7b42871f8786e684a4dccc728ac0ad8c629f5de0d57b3b5a,True,ctls,www.qwant.com,443,https://qwant.com:443,https,Qwant,text/html,GET,194.187.168.99,/,,194.187.168.99,HSTS,167,False,,,,https://www.qwant.com/,,
*.qwantjunior.com,Qwant Junior - Le moteur de recherche pour les enfants,200,136540,www.youtube.com,www.qwantjunior.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-10-05T00:00:00Z,2023-10-20T23:59:59Z,CN=qwantjunior.com,qwantjunior.com,www.qwantjunior.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,0e90dc89fe139070434ea00aff2283c5,4458a7c8dd29c7d307bb62a89004d20a4e9d1c39716bbcfd8d2d9cd76b6c4c84,,ctls,www.qwantjunior.com,80,http://qwantjunior.com:80,http,Qwant,text/html,GET,194.187.168.102,/,,194.187.168.102,HSTS,156,False,,,,https://www.qwantjunior.com/,,
05252029.qwant.com,"Qwant - The search engine that doesn't know anything about you, and that changes everything!",200,160536,player.myvideoplace.tv,www.qwant.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-07-04T00:00:00Z,2023-07-13T23:59:59Z,CN=*.qwant.com,*.qwant.com,qwant.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,a0c362b85a5ce7997a80b9437664383a,5e720d2e2d2c5a3f7b42871f8786e684a4dccc728ac0ad8c629f5de0d57b3b5a,True,ctls,www.qwant.com,443,https://05252029.qwant.com:443,https,Qwant,text/html,GET,194.187.168.99,/,-1029221914,194.187.168.99,HSTS,167,False,,,,https://www.qwant.com/,,
a.qwant.com,"Qwant - The search engine that doesn't know anything about you, and that changes everything!",200,158051,www.dailymotion.com,www.qwant.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-07-04T00:00:00Z,2023-07-13T23:59:59Z,CN=*.qwant.com,*.qwant.com,qwant.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,a0c362b85a5ce7997a80b9437664383a,5e720d2e2d2c5a3f7b42871f8786e684a4dccc728ac0ad8c629f5de0d57b3b5a,True,ctls,www.qwant.com,443,https://a.qwant.com:443,https,Qwant,text/html,GET,194.187.168.99,/,1856211578,194.187.168.99,HSTS,167,False,,,,https://www.qwant.com/,,
algorithmgamesearch.betterweb.qwant.com,404 Not Found,404,548,,algorithmgamesearch.betterweb.qwant.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-27T07:57:06Z,2023-05-27T07:57:06Z,"emailAddress=infra@qwant.com, CN=betterweb.qwant.com, OU=SSI, O=qwant.com, L=Paris, ST=Paris, C=FR, emailAddress=infra@qwant.com",betterweb.qwant.com,,"emailAddress=infra@qwant.com, CN=betterweb.qwant.com, OU=SSI, O=qwant.com, L=Paris, ST=Paris, C=FR, emailAddress=infra@qwant.com",betterweb.qwant.com,qwant.com,caa68c2df1d56595b03ddeee18b14fd8,9babbcf9f577444c3ca5d4ab2472e0ff267cd6ce5938656f46bea0f7074b0151,,ctls,algorithmgamesearch.betterweb.qwant.com,443,https://algorithmgamesearch.betterweb.qwant.com:443,https,nginx,text/html,GET,194.187.168.65,/,566218143,194.187.168.65,Nginx,14,False,True,True,qwant.com,,,
alpha-account-engineering-customers-backupconfig.developers.qwant.com,"Qwant - The search engine that doesn't know anything about you, and that changes everything!",200,158060,*.femmesetcitoyennete.fr,www.qwant.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-04T00:00:00Z,2023-07-13T23:59:59Z,CN=*.qwant.com,*.qwant.com,qwant.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,a0c362b85a5ce7997a80b9437664383a,5e720d2e2d2c5a3f7b42871f8786e684a4dccc728ac0ad8c629f5de0d57b3b5a,True,ctls,www.qwant.com,443,https://alpha-account-engineering-customers-backupconfig.developers.qwant.com:443,https,Qwant,text/html,GET,194.187.168.99,/,-140332853,194.187.168.99,HSTS,167,False,,,,https://www.qwant.com/,,
alphawww01uat.developers.qwant.com,Qwant Lite,200,4710,*.vid.web.acsta.net,lite.qwant.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-07-04T00:00:00Z,2023-07-13T23:59:59Z,CN=*.qwant.com,*.qwant.com,qwant.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,a0c362b85a5ce7997a80b9437664383a,5e720d2e2d2c5a3f7b42871f8786e684a4dccc728ac0ad8c629f5de0d57b3b5a,True,ctls,lite.qwant.com,443,https://alphawww01uat.developers.qwant.com:443,https,Qwant,text/html,GET,194.187.168.99,/,,194.187.168.99,HSTS,1,False,,,,https://lite.qwant.com/?redirect=Android1.6,,
api.qwant.com,,200,30,s.qwant.com,api.qwant.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-07-04T00:00:00Z,2023-07-13T23:59:59Z,CN=*.qwant.com,*.qwant.com,qwant.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,a0c362b85a5ce7997a80b9437664383a,5e720d2e2d2c5a3f7b42871f8786e684a4dccc728ac0ad8c629f5de0d57b3b5a,True,ctls,api.qwant.com,443,https://api.qwant.com:443,https,Qwant,application/json,GET,194.187.168.106,/,-401966580,194.187.168.106,HSTS,1,False,,,,,,
apps.qwant.com,"Qwant - The search engine that doesn't know anything about you, and that changes everything!",200,160545,*.qwantjunior.com,www.qwant.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-07-04T00:00:00Z,2023-07-13T23:59:59Z,CN=*.qwant.com,*.qwant.com,qwant.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,a0c362b85a5ce7997a80b9437664383a,5e720d2e2d2c5a3f7b42871f8786e684a4dccc728ac0ad8c629f5de0d57b3b5a,True,ctls,www.qwant.com,443,https://apps.qwant.com:443,https,Qwant,text/html,GET,194.187.168.99,/,1484651365,194.187.168.99,HSTS,167,False,,,,https://www.qwant.com/,,
