new,host,a,soa,status_code,ns,has_internal_ips,internal_ips,cdn,cdn-name,cname,mx,txt,caa,aaaa
[x],account.rakuten.com,35.227.206.108,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,rxmx2.rakuten.co.jp,,,
[x],accounts.global.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,google-site-verification=7I-IUxPHwSsFhfJluTDL7xDzQr4H18TNM784-u9u3jQ,,
[x],ad.rms.rakuten.com,133.237.61.183,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],adfs.mail.rakuten.com,133.237.7.133,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],adfs02.mail.rakuten.com,202.7.97.187,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],admin.baas.global.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],affiliate.rakuten.com,,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"sansecure.rakuten.com.edgekey.net, e6874.a.akamaiedge.net",,,,
[x],ai.rakuten.com,20.89.98.153,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],am.account.rakuten.com,104.103.66.28,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"t2.rakuten.edgekey.net, e16215.a.akamaiedge.net",,,,
[x],ap-lite.accounts.global.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],ap.account.rakuten.com,34.98.121.94,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],api-ap.deactivate.accounts.global.rakuten.com,34.149.181.135,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],api-ap.lite.accounts.global.rakuten.com,34.149.181.135,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],api-lite-bot-accounts.global.rakuten.com,35.227.230.95,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],api-member.insight.rakuten.com,133.237.63.69,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],api-stg.businessportal.global.rakuten.com,133.237.69.180,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,"rfb-server-stgrc-pub.global-gslb.rdcnw.net, lb-133-237-69-180.lbaas.jpe2b.rdcnw.net",,,,
[x],api.accounts.global.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],api.am.account.rakuten.com,35.227.226.229,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],api.ap-lite.accounts.global.rakuten.com,35.227.230.95,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],api.deactivate.global.rakuten.com,34.84.251.157,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],api.eu.account.rakuten.com,35.186.246.231,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],api.europe.pay.rakuten.com,"15.197.231.125, 3.33.228.9","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,a9c3ebdcf03d7164a.awsglobalaccelerator.com,,,,
[x],api.global.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],api.insight.rakuten.com,133.237.109.72,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,"api-insight-rakuten-com.gslb.rdcnw.net, lb-133-237-109-72.lbaas.jpe2b.rdcnw.net",,,,
[x],api.point-service.global.rakuten.com,"13.107.237.45, 13.107.238.45","ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",NOERROR,,,,,,"point-service-afd.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net",,,,"2620:1ec:48:1::45, 2620:1ec:29:1::45"
[x],api.point.global.rakuten.com,52.233.153.233,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,True,azure,"api-gpp.trafficmanager.net, api-gpp.westeurope.cloudapp.azure.com",,,,
[x],api.rakuten.com,23.42.195.112,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"sansecure.rakuten.com.edgekey.net, e6874.a.akamaiedge.net",,,,
[x],api.rms.global.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],api.search-suggest.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],api.secure.rakuten.com,209.67.181.95,,NOERROR,,,,,,,,,,
[x],api.thirdparty.fraudcheck.global.rakuten.com,133.237.4.20,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],api.travel.gs.rakuten.com,133.237.62.118,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],api.travel.rakuten.com,133.237.62.118,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,"api-travel-rakuten-com.gslb.rdcnw.net, zed2-jpe2-api-travel-rakuten-com.rdcnw.net",,,,
[x],authenticator.account.rakuten.com,133.237.63.155,"ns1.gslb.local, root.localhost",NOERROR,,,,,,authenticator-account-rakuten-com.gslb.rdcnw.net,,,,
[x],autodiscover.mail.rakuten.com,"40.99.149.104, 40.99.157.8, 40.99.149.152","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,"2603:1026:c0d:82a::8, 2603:1026:c0d:c1c::8, 2603:1026:c0d:c1f::8, 2603:1026:c0d:c2f::8"
[x],autodiscover.rakuten.com,"52.97.135.104, 52.98.241.200, 40.99.150.120, 40.99.150.24","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,"2603:1026:c0d:82c::8, 2603:1026:c0d:829::8, 2603:1026:c0d:c06::8, 2603:1026:c0d:806::8"
[x],beta-pb1.rakuten.com,127.0.0.1,,NOERROR,,True,127.0.0.1,,,,,,,
[x],beta-pb2.rakuten.com,127.0.0.1,,NOERROR,,True,127.0.0.1,,,,,,,
[x],beta.m.rakuten.com,209.67.181.81,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,"edns4.ultradns.biz, edns4.ultradns.org, edns4.ultradns.com, edns4.ultradns.net",,,,,,,,,
[x],beta.rakuten.com,104.107.135.65,"n0a.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,,,,,,"beta.rakuten.com.edgekey-staging.net, e6874.a.akamaiedge-staging.net",,,,
[x],beta.secure.rakuten.com,209.67.181.42,,NOERROR,,,,,,,,,,
[x],bi.fr.shopping.rakuten.com,212.23.167.38,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],bih.preview-www.rakuten.com,104.107.135.65,"n0a.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,,,,,,"sansecure.rakuten.com.edgekey-staging.net, e6874.a.akamaiedge-staging.net",,,,
[x],book.rakuten.com,104.75.89.215,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"t2.rakuten.edgekey.net, e16215.a.akamaiedge.net",,,,
[x],book.travel.rakuten.com,133.237.49.8,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],brc.emails.rakuten.com,"52.9.114.249, 52.52.9.112, 18.144.127.61, 13.57.168.50","ns-1925.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,thirdparty.bnc.lt,,v=spf1 -all,"digicert.com, entrust.net, letsencrypt.org",
[x],business.rakuten.com,192.0.66.75,"ns1.go-vip.net, hostmaster.go-vip.net",NOERROR,,,,,,rakuten-rewards.go-vip.net,,,,2a04:fa87:fffd::c000:424b
[x],capital.rakuten.com,133.237.61.166,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],card.rakuten.com,23.45.103.93,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"sansecure.rakuten.com.edgekey.net, e6874.a.akamaiedge.net",,,,
[x],cart.rakuten.com,209.67.181.73,"edns4.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],cdn.fr.shopping.rakuten.com,152.199.23.20,"ns1.edgecastcdn.net, noc.edgecast.com",NOERROR,,,,,,"0360ee8afe.optimicdn.com, cs1204.wpc.nucdn.net",,,,
[x],click.emails.rakuten.com,68.232.203.70,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,click.virt.s6.exacttarget.com,,,,
[x],click.newsletter.rakuten.com,68.232.203.70,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,click.virt.s6.exacttarget.com,,,,
[x],clickfrom.rakuten.com,23.37.55.174,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"sansecure.rakuten.com.edgekey.net, e6874.a.akamaiedge.net",,,,
[x],consent.accounts.global.rakuten.com,133.237.63.185,"ns1.gslb.local, root.localhost",NOERROR,,,,,,release-public-cmp.gslb.rdcnw.net,,,,
[x],cont001.ias.global.rakuten.com,23.64.225.212,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"cont001-ias-global-rakuten-com.gslb.rdcnw.net, any.ias.global.rakuten.com.edgekey.net, e4463.b.akamaiedge.net",,,,
[x],contest.fr.shopping.rakuten.com,66.22.35.2,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,"contest.rfr-infra.net, principal.rfr-infra.net",,,,
[x],d.na.accounts.global.rakuten.com,209.67.181.166,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],dahlia-jewels.shopmanager.rakuten.com,209.67.181.142,,NOERROR,,,,,,,,,,
[x],dev-developers.rakuten.com,133.237.6.15,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],dev.social.account.rakuten.com,34.111.161.7,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],developer.fr.shopping.rakuten.com,212.23.167.37,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],developer.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],docs.rmp.rakuten.com,35.227.250.20,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],documents.developers.rakuten.com,104.41.186.103,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,azure,,,rem-dev-jeast.azurewebsites.net,,
[x],e.messages.rakuten.com,,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,ebates.mx.e.sparkpost.com,v=spf1 exists:%{i}._spf.sparkpostmail.com ~all,,
[x],e.na.accounts.global.rakuten.com,209.67.181.165,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],east-japan.api.point.global.rakuten.com,133.237.61.196,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],ebates.api.search-suggest.rakuten.com,104.241.197.9,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],edi.api.rakuten.com,209.67.181.137,,NOERROR,,,,,,,,,,
[x],editorial.fr.shopping.rakuten.com,66.22.35.2,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,"editorial.rfr-infra.net, principal.rfr-infra.net",,,,
[x],emails.rakuten.com,208.94.20.16,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,"edns4.ultradns.com, edns4.ultradns.net, edns4.ultradns.biz, edns4.ultradns.org",,,,,,reply-mx.s6.exacttarget.com,"google-site-verification=HqmNMOw5Y2udoagbYnwSBYB1bikb8d0e6QoPEMsB5To, spf2.0/pra include:cust-senderid.exacttarget.com -all, v=spf1 include:cust-spf.exacttarget.com ip4:202.72.48.0/20 ip4:203.190.56.0/21 ip4:133.237.0.0/16 -all, google-site-verification=WHdYQiuiPVhiMSI19PI7pOdh92LsoLJlvAGKjvPKnqY",,
[x],en.search.borderless.rakuten.com,202.72.54.93,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],engage.emails.rakuten.com,72.18.205.28,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,v=spf1 mx include:rakutensend.com ~all,,
[x],enterpriseenrollment.mail.rakuten.com,20.91.147.72,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com",,,,
[x],eu.account.rakuten.com,35.227.206.108,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],eu.accounts.global.rakuten.com,5.149.118.17,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],eu.admin.baas.global.rakuten.com,5.149.118.68,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],eu.mxeu101.global.rakuten.com,5.149.118.14,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],europe.pay.rakuten.com,"108.138.17.12, 108.138.17.18, 108.138.17.52, 108.138.17.102","ns-1843.awsdns-38.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-442.awsdns-55.com, ns-907.awsdns-49.net, ns-1047.awsdns-02.org, ns-1843.awsdns-38.co.uk",,,True,cloudfront,dkpfy9ssmk3u5.cloudfront.net,,,,"2600:9000:2491:4c00:0:4c05:9b40:93a1, 2600:9000:2491:5600:0:4c05:9b40:93a1, 2600:9000:2491:7200:0:4c05:9b40:93a1, 2600:9000:2491:ae00:0:4c05:9b40:93a1, 2600:9000:2491:ca00:0:4c05:9b40:93a1, 2600:9000:2491:f000:0:4c05:9b40:93a1, 2600:9000:2491:fa00:0:4c05:9b40:93a1, 2600:9000:2491:3a00:0:4c05:9b40:93a1"
[x],experiences.travel.rakuten.com,34.120.81.214,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,"google-site-verification=diZ2XqKXmKiiisFv_gJok8gdiJOPbjtkW4qZOoKfwls, google-site-verification=Cf7e1JpdhRsIpyPy5n9VAMWB9bd9VDmN3D82fLYgW7c, google-site-verification=3cyhYyXz3aEKc3d1SSQr4tr1Uju0TVyl8zQJLqlSRTs, v=spf1 include:spf.mandrillapp.com ~all, mandrill_verify.THyA9KOtBAna73UiG3D2Sw",,
[x],fbs.origin.rakuten.com,209.67.181.144,,NOERROR,,,,,,,,,,
[x],federation-sso.account.rakuten.com,34.85.117.129,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],fnb.secure.rakuten.com,209.67.181.76,,NOERROR,,,,,,,,,,
