new,host,soa,ns,txt,status_code,a,cdn,cdn-name,cname,mx,caa,aaaa,has_internal_ips,internal_ips
[x],analytics.redisinsight.redislabs.com,"ns-1575.awsdns-04.co.uk, awsdns-hostmaster.amazon.com","ns-1112.awsdns-11.org, ns-1575.awsdns-04.co.uk, ns-401.awsdns-50.com, ns-617.awsdns-13.net",,NOERROR,54.221.168.92,,,,,,,,
[x],analyzerqa.cs.redislabs.com,"ns.analyzerqa.cs.redislabs.com, admin.analyzerqa.cs.redislabs.com","ns1.analyzerqa.cs.redislabs.com, ns2.analyzerqa.cs.redislabs.com",,NOERROR,18.206.149.25,,,,,,,,
[x],api-dev.qa.redislabs.com,"ns1.impervadns.net, hostmaster.incapsula.com",,,NOERROR,45.60.123.1,True,incapsula,teyosij.impervadns.net,,,,,
[x],api-qa.redislabs.com,"ns-1900.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,54.83.38.68,,,,,,,,
[x],api-stg.redislabs.com,"ns-1900.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,54.225.105.0,,,,,,,,
[x],api.qa.redislabs.com,"ns1.impervadns.net, hostmaster.incapsula.com",,,NOERROR,45.60.121.1,True,incapsula,teyosij.impervadns.net,,,,,
[x],api.redisinsight.dev.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,34.69.191.222,True,google,,,,,,
[x],api.redislabs.com,"ns1.impervadns.net, hostmaster.incapsula.com",,,NOERROR,45.60.123.1,True,incapsula,me6gf5i.impervadns.net,,,,,
[x],app--sm.k8s-dev.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-dev/maintenance-page",NOERROR,34.138.146.29,True,google,,,,,,
[x],app-dev.qa.redislabs.com,"ns-184.awsdns-23.com, awsdns-hostmaster.amazon.com",,,NOERROR,54.225.145.161,,,,,,,,
[x],app-gcp.redislabs.com,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",,,NOERROR,45.60.123.1,True,incapsula,wy7bcpv.x.incapdns.net,,,,,
[x],app-integration.qa.redislabs.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,"54.210.22.28, 34.224.45.91",,,sm-app-stg-87793942.us-east-1.elb.amazonaws.com,,,,,
[x],app-k8s-staging.qa.redislabs.com,,,,NOERROR,45.60.123.1,True,incapsula,yj55w6r.impervadns.net,,,,,
[x],app-newui.redislabs.com,"ns-1900.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,54.83.38.68,,,,,,,,
[x],app-qa.qa.redislabs.com,"ns1.impervadns.net, hostmaster.incapsula.com",,,NOERROR,45.60.123.1,True,incapsula,kdif2vc.impervadns.net,,,,,
[x],app-sm.k8s-aa.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,34.138.146.29,True,google,,,,,,
