input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,final_url
affiliate.redtube.com,Free Porn Sex Videos - Redtube - XXX Movies - Home of Videos Porno,200,309877,AS29789,REFLECTED,US,66.254.114.0/24,www.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-10T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,bbc5112bb526ad4f1929bd2b8d444720,c5490f0574f1df01801fe255948a150c5fd183ba4d0aa9b09902422931b53c5d,ctls,www.redtube.com,443,https://affiliate.redtube.com:443,https,openresty,text/html,GET,66.254.114.238,/,-1808716149,66.254.114.238,OpenResty,4734,False,MG Freesites Ltd,True,,https://www.redtube.com/
blog.redtube.com,Free Porn Sex Videos - Redtube - XXX Movies - Home of Videos Porno,200,305384,AS29789,REFLECTED,US,66.254.114.0/24,www.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-10T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,bbc5112bb526ad4f1929bd2b8d444720,c5490f0574f1df01801fe255948a150c5fd183ba4d0aa9b09902422931b53c5d,ctls,www.redtube.com,443,https://blog.redtube.com:443,https,openresty,text/html,GET,66.254.114.170,/,-521042537,66.254.114.170,OpenResty,4714,False,MG Freesites Ltd,True,,https://www.redtube.com
br.redtube.com,Free Porn Sex Videos - Redtube - XXX Movies - Home of Videos Porno,200,463528,AS29789,REFLECTED,US,66.254.114.0/24,www.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-10T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,bbc5112bb526ad4f1929bd2b8d444720,c5490f0574f1df01801fe255948a150c5fd183ba4d0aa9b09902422931b53c5d,ctls,www.redtube.com,443,https://br.redtube.com:443,https,openresty,text/html,GET,66.254.114.238,/,-1808716149,66.254.114.238,OpenResty,6485,False,MG Freesites Ltd,True,,https://www.redtube.com/
cms.redtube.com,403 Forbidden,403,564,AS29789,REFLECTED,US,66.254.114.0/24,cms.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-10T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,bbc5112bb526ad4f1929bd2b8d444720,c5490f0574f1df01801fe255948a150c5fd183ba4d0aa9b09902422931b53c5d,ctls,cms.redtube.com,443,https://cms.redtube.com:443,https,nginx,text/html,GET,66.254.114.136,/,1201975693,66.254.114.136,Nginx,14,False,MG Freesites Ltd,True,,
dl.redtube.com,Free Porn Sex Videos - Redtube - XXX Movies - Home of Videos Porno,200,463737,AS29789,REFLECTED,US,66.254.114.0/24,www.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-10T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,bbc5112bb526ad4f1929bd2b8d444720,c5490f0574f1df01801fe255948a150c5fd183ba4d0aa9b09902422931b53c5d,ctls,www.redtube.com,443,https://dl.redtube.com:443,https,openresty,text/html,GET,66.254.114.238,/,-1808716149,66.254.114.238,OpenResty,6495,False,MG Freesites Ltd,True,,https://www.redtube.com/
document-review.redtube.com,Redtube Document Review - Welcome to our secure document review sharing system.,200,1912,AS54113,AS54113,Unknown,199.36.158.0/24,document-review.redtube.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-17T04:44:09Z,2023-06-15T05:42:44Z,CN=www.kitchencrops.com,www.kitchencrops.com,zkreviews.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,550f89a85e60d275d9955e142bc093b0,7c0287d1541e23d6731e53fd7eb4cdc39a897e050be049079572c13e9596c27d,ctls,document-review.redtube.com,443,https://document-review.redtube.com:443,https,Google Frontend,text/html,GET,199.36.158.100,/,2079913572,199.36.158.100,HTTP/3,57,False,,,,
embed.redtube.com,,404,19637,AS29789,REFLECTED,US,66.254.114.0/24,embed.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-10T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,bbc5112bb526ad4f1929bd2b8d444720,c5490f0574f1df01801fe255948a150c5fd183ba4d0aa9b09902422931b53c5d,ctls,embed.redtube.com,443,https://embed.redtube.com:443,https,openresty,text/html,GET,66.254.114.172,/,-1808716149,66.254.114.172,OpenResty,442,False,MG Freesites Ltd,True,,
feeds.redtube.com,,403,,AS29789,REFLECTED,US,66.254.114.0/24,feeds.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-10T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,bbc5112bb526ad4f1929bd2b8d444720,c5490f0574f1df01801fe255948a150c5fd183ba4d0aa9b09902422931b53c5d,ctls,feeds.redtube.com,443,https://feeds.redtube.com:443,https,openresty,text/html,GET,66.254.114.238,/,-1808716149,66.254.114.238,OpenResty,1,False,MG Freesites Ltd,True,,
fr.redtube.com,Vidéos de sexe porno gratuites - Redtube - XXX Film - Temple des vidéos Porno,200,463276,AS29789,REFLECTED,US,66.254.114.0/24,fr.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-10T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,bbc5112bb526ad4f1929bd2b8d444720,c5490f0574f1df01801fe255948a150c5fd183ba4d0aa9b09902422931b53c5d,ctls,fr.redtube.com,443,https://fr.redtube.com:443,https,openresty,text/html,GET,66.254.114.238,/,-1808716149,66.254.114.238,OpenResty,6488,False,MG Freesites Ltd,True,,
in.redtube.com,Free Porn Sex Videos - Redtube - XXX Movies - Home of Videos Porno,200,329368,AS29789,REFLECTED,US,66.254.114.0/24,www.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-10T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,bbc5112bb526ad4f1929bd2b8d444720,c5490f0574f1df01801fe255948a150c5fd183ba4d0aa9b09902422931b53c5d,ctls,www.redtube.com,443,https://in.redtube.com:443,https,openresty,text/html,GET,66.254.114.238,/,-1808716149,66.254.114.238,OpenResty,5013,False,MG Freesites Ltd,True,,https://www.redtube.com/
