new,host,a,soa,status_code,cdn,cdn-name,ns,cname,mx,txt,aaaa,caa,has_internal_ips,internal_ips
[x],155-9-185-13.qa.rivianservices.com,"143.204.89.10, 143.204.89.7, 143.204.89.64, 143.204.89.58","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],155-9-202-19.qa.rivianservices.com,"108.138.51.55, 108.138.51.32, 108.138.51.18, 108.138.51.80","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],155-9-203-29.qa.rivianservices.com,"143.204.89.58, 143.204.89.64, 143.204.89.10, 143.204.89.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],155-9-216-19.qa.rivianservices.com,"143.204.89.10, 143.204.89.58, 143.204.89.64, 143.204.89.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],155-9-216-97.qa.rivianservices.com,"143.204.89.64, 143.204.89.58, 143.204.89.10, 143.204.89.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],155-9-219-3.qa.rivianservices.com,"143.204.89.7, 143.204.89.64, 143.204.89.58, 143.204.89.10","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],155-9-225-59.qa.rivianservices.com,"143.204.89.58, 143.204.89.64, 143.204.89.10, 143.204.89.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],155-9-226-7.qa.rivianservices.com,"13.32.208.100, 13.32.208.91, 13.32.208.34, 13.32.208.102","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],155-9-51-37.qa.rivianservices.com,"13.32.208.91, 13.32.208.102, 13.32.208.34, 13.32.208.100","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-121-115-77.qa.rivianservices.com,"143.204.89.58, 143.204.89.64, 143.204.89.7, 143.204.89.10","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-121-117-73.qa.rivianservices.com,"143.204.89.10, 143.204.89.58, 143.204.89.64, 143.204.89.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-121-117-9.qa.rivianservices.com,"108.156.60.110, 108.156.60.59, 108.156.60.7, 108.156.60.3","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-121-118-21.qa.rivianservices.com,"108.156.60.7, 108.156.60.110, 108.156.60.3, 108.156.60.59","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-121-119-35.qa.rivianservices.com,"108.156.60.3, 108.156.60.7, 108.156.60.110, 108.156.60.59","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-121-120-31.qa.rivianservices.com,"13.227.173.82, 13.227.173.118, 13.227.173.46, 13.227.173.117","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-121-124-35.qa.rivianservices.com,"108.157.214.82, 108.157.214.73, 108.157.214.63, 108.157.214.36","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-121-124-48.qa.rivianservices.com,"108.157.214.73, 108.157.214.63, 108.157.214.82, 108.157.214.36","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-121-126-77.qa.rivianservices.com,"143.204.89.10, 143.204.89.64, 143.204.89.7, 143.204.89.58","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-121-127-79.qa.rivianservices.com,"143.204.89.7, 143.204.89.64, 143.204.89.10, 143.204.89.58","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],17-58-106-86.qa.rivianservices.com,"13.227.173.117, 13.227.173.46, 13.227.173.82, 13.227.173.118","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1084.awsdns-07.org, ns-1923.awsdns-48.co.uk, ns-472.awsdns-59.com, ns-920.awsdns-51.net",,,,,,,
[x],17-58-99-6.qa.rivianservices.com,"13.227.173.117, 13.227.173.82, 13.227.173.118, 13.227.173.46","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1084.awsdns-07.org, ns-1923.awsdns-48.co.uk, ns-472.awsdns-59.com, ns-920.awsdns-51.net",,,,,,,
[x],4-vl-61.qa.rivianservices.com,"143.204.89.64, 143.204.89.7, 143.204.89.58, 143.204.89.10","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],69-171-232-93.qa.rivianservices.com,"18.154.63.122, 18.154.63.37, 18.154.63.23, 18.154.63.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],69-171-232-95.qa.rivianservices.com,"18.154.63.23, 18.154.63.37, 18.154.63.7, 18.154.63.122","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],80o.qa.rivianservices.com,"143.204.89.7, 143.204.89.10, 143.204.89.58, 143.204.89.64","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
