new,host,a,aaaa,soa,status_code,cdn,cdn-name,txt,has_internal_ips,internal_ips,cname,caa,ns,mx
[x],api.euc1a1.rockset.com,"3.127.51.51, 54.93.69.206, 52.29.24.241",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,ManagedBy=Terraform,,,,,,
[x],api.rs2.usw2.rockset.com,"108.138.51.81, 108.138.51.33, 108.138.51.42, 108.138.51.91",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,ManagedBy=Terraform,,,,,,
[x],api.use1a1.rockset.com,"65.9.66.109, 65.9.66.45, 65.9.66.93, 65.9.66.87",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,ManagedBy=Terraform,,,,,,
[x],auth.rockset.com,"104.18.103.2, 104.18.102.2","2606:4700::6812:6602, 2606:4700::6812:6702","kolton.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,rockset-cd-ri2h94piuf8u2fno.edge.tenants.auth0.com,"letsencrypt.org, digicert.com",,
[x],billing.dev.rockset.com,"10.205.38.223, 10.205.75.57, 10.205.119.138",,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,"10.205.38.223, 10.205.75.57, 10.205.119.138",,,,
[x],console.dev.rockset.com,"18.160.41.24, 18.160.41.115, 18.160.41.17, 18.160.41.101","2600:9000:24f2:8000:12:23b6:4280:93a1, 2600:9000:24f2:1200:12:23b6:4280:93a1, 2600:9000:24f2:3a00:12:23b6:4280:93a1, 2600:9000:24f2:5600:12:23b6:4280:93a1, 2600:9000:24f2:200:12:23b6:4280:93a1, 2600:9000:24f2:b000:12:23b6:4280:93a1, 2600:9000:24f2:be00:12:23b6:4280:93a1, 2600:9000:24f2:1600:12:23b6:4280:93a1","ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],console.rockset.com,"13.32.121.96, 13.32.121.123, 13.32.121.9, 13.32.121.27","2600:9000:236e:c00:19:304a:2200:93a1, 2600:9000:236e:2800:19:304a:2200:93a1, 2600:9000:2240:e00:19:304a:2200:93a1, 2600:9000:2240:5a00:19:304a:2200:93a1, 2600:9000:2240:7c00:19:304a:2200:93a1, 2600:9000:2240:8200:19:304a:2200:93a1, 2600:9000:2240:c000:19:304a:2200:93a1, 2600:9000:2240:dc00:19:304a:2200:93a1","ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],dev.rockset.com,"52.222.139.6, 52.222.139.53, 52.222.139.31, 52.222.139.59","2600:9000:2204:c000:a:6ddd:9f80:93a1, 2600:9000:2204:2400:a:6ddd:9f80:93a1, 2600:9000:2204:d600:a:6ddd:9f80:93a1, 2600:9000:2204:ac00:a:6ddd:9f80:93a1, 2600:9000:2204:6000:a:6ddd:9f80:93a1, 2600:9000:2204:7c00:a:6ddd:9f80:93a1, 2600:9000:2204:9400:a:6ddd:9f80:93a1, 2600:9000:2204:6e00:a:6ddd:9f80:93a1","ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,"ns-1990.awsdns-56.co.uk, ns-480.awsdns-60.com, ns-915.awsdns-50.net, ns-1180.awsdns-19.org","alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com"
[x],docs.dev.rockset.com,"18.155.129.4, 18.155.129.34, 18.155.129.18, 18.155.129.127","2600:9000:244f:6c00:16:32dc:840:93a1, 2600:9000:244f:1200:16:32dc:840:93a1, 2600:9000:244f:b800:16:32dc:840:93a1, 2600:9000:244f:2200:16:32dc:840:93a1, 2600:9000:244f:1e00:16:32dc:840:93a1, 2600:9000:244f:8000:16:32dc:840:93a1, 2600:9000:244f:1c00:16:32dc:840:93a1, 2600:9000:244f:9400:16:32dc:840:93a1","ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],es.use1a1.rockset.com,"10.3.108.254, 10.3.60.215, 10.3.72.73",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=rs-use1a1-rockset-com,external-dns/resource=ingress/elasticsearch/elasticsearch-ingress",True,"10.3.108.254, 10.3.60.215, 10.3.72.73",,,,
