new,host,soa,status_code,a,ns,cdn,cdn-name,aaaa,cname
,autodiscover.savedroid.com,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"40.99.149.216, 52.98.152.168, 52.98.171.232, 52.98.152.184, 52.98.175.24, 40.99.150.56, 40.99.150.24, 52.97.135.104",,,,"2603:1026:c0d:c06::8, 2603:1026:c0d:807::8, 2603:1026:c0d:c30::8, 2603:1026:c0d:c2b::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com"
,country.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,creditcard-payments.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,crypto-statistics.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,crypto-status.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,crypto.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,52.219.171.148,"ns-1005.awsdns-61.net, ns-1241.awsdns-27.org, ns-1548.awsdns-01.co.uk, ns-397.awsdns-49.com",,,,
,dotf.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,faq.api.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,get-destination-wallet.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,get-kyc-required.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,get-transactions.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,get-txhash.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,gethnode-live.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,"18.66.122.2, 18.66.122.112, 18.66.122.124, 18.66.122.32",,True,cloudfront,,
,lucky-draw.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,masterpayment-start.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,payments.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,poll.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,rates.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,referrals.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,save-destination-wallet.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,save-kyc1.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,save-kyc2.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,save-kyc3.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,save-kyc4.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,savedroid-archive-ios.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,soa-api.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,stagingapi.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,stagingservicelogin.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,start-file-upload.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,start-vip-file-upload.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,status.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,support-tool.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,support.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,transactions.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,txhash.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,vip-customers.ico.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,www.armageddon.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,www.savedroid.com,"ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,"143.204.89.52, 143.204.89.118, 143.204.89.121, 143.204.89.43",,True,cloudfront,,
