input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,cdn_name,cdn,final_url,csp_domains_,tls_self_signed
*.actions.githubusercontent.com,Fastly error: unknown domain actions.githubusercontent.com,500,286,actions.githubusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,actions.githubusercontent.com,443,https://actions.githubusercontent.com:443,https,Varnish,text/html,GET,185.199.110.133,/,-686794635,185.199.111.133,8,False,Varnish,,,,,
admin.lyve.seagate.com,Lyve Admin Center,200,10286,admin.lyve.seagate.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-09-25T00:00:00Z,2023-09-25T23:59:59Z,"CN=admin.lyve.seagate.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",admin.lyve.seagate.com,"Cloudflare, Inc.",admin.lyve.seagate.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d6bcdbe8e93b398adc31c7542a844563,18a671ce88c57a0e9976a392eea109bcedce319b98f784bf4a2355f206eed57f,,ctls,admin.lyve.seagate.com,443,https://admin.lyve.seagate.com:443,https,cloudflare,text/html,GET,104.19.240.93,/,-371668101,104.19.241.93,199,False,Node.js,cloudflare,True,,,
akamai.seagate.com,Invalid URL,400,208,akamai.seagate.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-09-13T00:00:00Z,2023-09-13T23:59:59Z,"CN=*.test.edgekey.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",*.test.edgekey.net,"Akamai Technologies, Inc.",test.edgekey.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,93a880620156d07fde73c993df17f45f,1356b4f25e1c8342091e6ccc4471fa9c7a09068ba577ae49d637dfd01512f63f,True,ctls,akamai.seagate.com,443,https://akamai.seagate.com:443,https,AkamaiGHost,text/html,GET,23.32.184.5,/,-1103984034,2a02:26f0:480:9b5::13,8,False,,,,,,
analytics.seagate.com,,200,,analytics.seagate.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-17T00:00:00Z,2024-02-16T23:59:59Z,"CN=analytics.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",analytics.seagate.com,SEAGATE TECHNOLOGY LLC,analytics.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,c95b085c21b097ace01c050c3767134b,ba537be41122362a9437c82d92fb19ec1bbe36154e0c7250ed0cef922adbb1a0,,ctls,analytics.seagate.com,443,https://analytics.seagate.com:443,https,jag,,GET,63.140.62.164,/,1936786007,63.140.62.160,1,False,HSTS,,,,,
annualreport.seagate.com,404 Not Found,404,27203,investor.shareholder.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-15T10:48:53Z,2023-06-13T10:48:52Z,CN=leapfrog-ssl-17.gcs-web.com,leapfrog-ssl-17.gcs-web.com,,www.tptherapeutics.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e7502b95a9d558fc26de18e2efa8ae32,3082560bddeb287ac70f9542573d1ebe35b2a1c6d6cd964204772c357d127a84,,ctls,investor.shareholder.com,443,https://annualreport.seagate.com:443,https,,text/html,GET,152.199.17.105,/,-1818243793,152.199.17.105,1,False,HSTS,,,https://investor.shareholder.com/seagate/sec.cfm?DocType=Annual,,
api.ap-southeast-1.lyvecloud.seagate.com,404 Not Found,404,146,api.ap-southeast-1.lyvecloud.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-11T00:00:00Z,2023-11-02T23:59:59Z,"CN=api.ap-southeast-1.lyvecloud.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",api.ap-southeast-1.lyvecloud.seagate.com,SEAGATE TECHNOLOGY LLC,api.ap-southeast-1.lyvecloud.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d44b38e458ea4877a3203c453051c28b,b51383e1f8e13afba8f487323c4681bbdaf14865462fa35060134f8dcdaaf2ce,,ctls,api.ap-southeast-1.lyvecloud.seagate.com,443,https://api.ap-southeast-1.lyvecloud.seagate.com:443,https,nginx,text/html,GET,192.55.4.22,/,1494302000,192.55.4.22,8,False,Nginx,,,,,
api.dev.lyve.seagate.com,,404,48,api.dev.lyve.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-22T00:00:00Z,2024-01-05T23:59:59Z,"CN=dev.lyve.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",dev.lyve.seagate.com,SEAGATE TECHNOLOGY LLC,api.dev.lyve.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d5ab7c2de8a3bcc77061d0e474ed8041,1ecc9ebe30559a2ae999ffac61c5511a5e6847dd61de3559974758b28cde8feb,,ctls,api.dev.lyve.seagate.com,443,https://api.dev.lyve.seagate.com:443,https,kong/2.6.0.0-enterprise-edition,application/json,GET,20.107.196.26,/,834205737,20.107.196.26,1,False,,,,,,
api.github.com,,200,2262,api.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-16T00:00:00Z,2024-03-15T23:59:59Z,"CN=*.github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.com,"GitHub, Inc.",github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,ba7af2959dadde12f1b1a0d702a8b70a,b6174d4c3ec5ae768610ad705544b4600e514a55718a94c636563cbaa4dd664c,True,ctls,api.github.com,443,https://api.github.com:443,https,GitHub.com,application/json,GET,140.82.121.5,/,1848946384,140.82.121.5,1,False,HSTS,,,,,
api.ingest.lyve.seagate.com,,404,48,api.ingest.lyve.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-07T00:00:00Z,2023-10-10T23:59:59Z,"CN=ingest.lyve.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",ingest.lyve.seagate.com,SEAGATE TECHNOLOGY LLC,api.ingest.lyve.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,99fd58b70766aba0658d40ec1458ea34,f6641b6fbb6daff1cad01e69604b2f6ba47ffb15bf72b52f6ab5b7aecdebeaad,,ctls,api.ingest.lyve.seagate.com,443,https://api.ingest.lyve.seagate.com:443,https,,application/json,GET,13.107.237.45,/,834205737,2620:1ec:4f:1::45,1,False,Azure Front Door,,,,,
api.lyve.seagate.com,404 Not Found,404,179,api.lyve.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-01-10T00:00:00Z,2024-02-10T23:59:59Z,"CN=lyve.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",lyve.seagate.com,SEAGATE TECHNOLOGY LLC,rest.lyve.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d0ec8e2711f883c968624916e0f7071d,dfc3a938baf950e7b45fc4add9d2faa77aa310c817d24e3101aa4ba4ea80e209,,ctls,api.lyve.seagate.com,443,https://api.lyve.seagate.com:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.166.89.86,/,-1646985303,20.166.89.86,8,False,,,,,,
