input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_expired,tls_mismatched,tls_subject_org_,final_url
api.h11.sentiance.com,Home - Sentiance,200,1017988,sentiance.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T08:28:44Z,2023-07-02T08:28:43Z,CN=sentiance.com,sentiance.com,www.sentiance.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,aa87af722d3b34e3b3a5d35c8f7ab520,660cabe568c1dc2d094104a258bc0cfce440a5902130d835363320eb267e4ddc,,ctls,sentiance.com,,443,https://api.h11.sentiance.com:443,https,nginx,text/html,GET,54.255.29.228,/,673264342,18.136.249.225,Yoast SEO:20.7,3381,False,,,,,,https://sentiance.com/
api.p9.sentiance.com,,403,54,api.p9.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,CN=*.p9.sentiance.com,*.p9.sentiance.com,p9.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,7f43ebeb796c3ee3e8fa9f686433cb6f,c1da609e39ddb87197247a4dc5aa588b3448381191eaa7c988ba6f49278ada96,True,ctls,api.p9.sentiance.com,,443,https://api.p9.sentiance.com:443,https,awselb/2.0,application/json,GET,35.173.17.21,/,237458298,3.231.51.197,,1,False,,,,,,
api.sentiance.com,Home - Sentiance,200,1017988,sentiance.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T08:28:44Z,2023-07-02T08:28:43Z,CN=sentiance.com,sentiance.com,www.sentiance.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,aa87af722d3b34e3b3a5d35c8f7ab520,660cabe568c1dc2d094104a258bc0cfce440a5902130d835363320eb267e4ddc,,ctls,sentiance.com,,443,https://api.sentiance.com:443,https,nginx,text/html,GET,52.212.188.77,/,673264342,54.75.171.60,Yoast SEO:20.7,3381,False,,,,,,https://sentiance.com/
developer.sentiance.com,Introduction - Sentiance,200,214312,docs.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T23:29:28Z,2023-08-05T23:29:27Z,CN=docs.sentiance.com,docs.sentiance.com,docs.sentiance.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,bb6c7b451ea302d1a7c426c19331f194,1d6eefcf66879aaaad62726f3f5385c69a3e934bc12de631ccd4623d5d79a4f3,,ctls,docs.sentiance.com,,443,https://developer.sentiance.com:443,https,cloudflare,text/html,GET,52.19.23.183,/,312601806,18.200.83.152,HTTP/3,1088,False,,https:,,,,https://docs.sentiance.com
developers.sentiance.com,Introduction - Sentiance,200,214312,docs.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T23:29:28Z,2023-08-05T23:29:27Z,CN=docs.sentiance.com,docs.sentiance.com,docs.sentiance.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,bb6c7b451ea302d1a7c426c19331f194,1d6eefcf66879aaaad62726f3f5385c69a3e934bc12de631ccd4623d5d79a4f3,,ctls,docs.sentiance.com,,443,https://developers.sentiance.com:443,https,cloudflare,text/html,GET,52.49.29.101,/,312601806,52.19.23.183,HTTP/3,1088,False,,cdn.jsdelivr.net,,,,https://docs.sentiance.com
docs.sentiance.com,Introduction - Sentiance,200,214312,docs.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T23:29:28Z,2023-08-05T23:29:27Z,CN=docs.sentiance.com,docs.sentiance.com,docs.sentiance.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,bb6c7b451ea302d1a7c426c19331f194,1d6eefcf66879aaaad62726f3f5385c69a3e934bc12de631ccd4623d5d79a4f3,,ctls,docs.sentiance.com,cloudflare,443,https://docs.sentiance.com:443,https,cloudflare,text/html,GET,104.18.2.117,/,672073521,2606:4700::6812:375,HTTP/3,1088,False,True,api-iam.intercom.io,,,,
firehose-sink.h11.sentiance.com,,404,19,firehose-sink.h11.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-01-21T00:00:00Z,2023-01-21T23:59:59Z,CN=*.h11.sentiance.com,*.h11.sentiance.com,h11.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,dbed0c2ffb891c455ad1597c785e0fb1,b1043e3f6546a03d0bd2300335746a4298ed20ef5393b91549a69baf175f015c,True,ctls,firehose-sink.h11.sentiance.com,,443,https://firehose-sink.h11.sentiance.com:443,https,,text/plain,GET,13.229.43.172,/,-138391155,13.229.43.172,,2,False,,,True,,,
firehose-sink.p9.sentiance.com,,404,19,firehose-sink.p9.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,CN=*.p9.sentiance.com,*.p9.sentiance.com,p9.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,7f43ebeb796c3ee3e8fa9f686433cb6f,c1da609e39ddb87197247a4dc5aa588b3448381191eaa7c988ba6f49278ada96,True,ctls,firehose-sink.p9.sentiance.com,,443,https://firehose-sink.p9.sentiance.com:443,https,,text/plain,GET,44.208.250.178,/,-138391155,3.224.116.61,,2,False,,,,,,
firehose-sink.sentiance.com,,404,19,firehose-sink.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,firehose-sink.sentiance.com,,443,https://firehose-sink.sentiance.com:443,https,,text/plain,GET,63.35.18.209,/,-138391155,63.35.18.209,,2,False,,,,,,
firehose.p9.sentiance.com,,404,105,firehose.p9.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,CN=*.p9.sentiance.com,*.p9.sentiance.com,p9.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,7f43ebeb796c3ee3e8fa9f686433cb6f,c1da609e39ddb87197247a4dc5aa588b3448381191eaa7c988ba6f49278ada96,True,ctls,firehose.p9.sentiance.com,,443,https://firehose.p9.sentiance.com:443,https,,application/json,GET,44.208.250.178,/,-2046523057,18.215.23.81,,1,False,,,,,,
