input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,final_url
api.bitcoin.shapeshift.com,ShapeShift Bitcoin API Docs,200,3042,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.bitcoin.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,api.bitcoin.shapeshift.com,cloudflare,443,https://api.bitcoin.shapeshift.com:443,https,cloudflare,text/html,GET,104.16.151.72,/,631524574,2606:4700::6810:9748,Node.js,81,False,True,,,https://api.bitcoin.shapeshift.com/docs/
api.litecoin.shapeshift.com,ShapeShift Litecoin API Docs,200,3043,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.litecoin.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,api.litecoin.shapeshift.com,cloudflare,443,https://api.litecoin.shapeshift.com:443,https,cloudflare,text/html,GET,104.16.150.72,/,631524574,2606:4700::6810:9648,Node.js,81,False,True,,True,https://api.litecoin.shapeshift.com/docs/
api.thorchain.shapeshift.com,ShapeShift API Docs,200,1377,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.thorchain.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,api.thorchain.shapeshift.com,cloudflare,80,http://api.thorchain.shapeshift.com:80,http,cloudflare,text/html,GET,104.16.150.72,/,-138391155,2606:4700::6810:9748,Cloudflare,58,False,True,,True,https://api.thorchain.shapeshift.com/docs/
br.shapeshift.com,ShapeShift,200,53648,AS20446,STACKPATH-CDN,US,151.139.128.0/24,br.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T15:35:48Z,2023-06-17T15:35:47Z,CN=br.shapeshift.com,br.shapeshift.com,,fr.shapeshift.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,39f7768e47e5c8382e0476db5cbcb671,866ec36bfdd35d1e3a5e9178d3eb364e35feeabf613465e2f341ef8e5617a83a,,ctls,br.shapeshift.com,,443,https://br.shapeshift.com:443,https,,text/html,GET,151.139.128.10,/,,151.139.128.11,Weglot,123,False,,,,
daemon.bitcoincash.shapeshift.com,,405,41,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,daemon.bitcoincash.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,daemon.bitcoincash.shapeshift.com,cloudflare,443,https://daemon.bitcoincash.shapeshift.com:443,https,cloudflare,text/html,GET,104.16.151.72,/,-1840324437,2606:4700::6810:9748,Cloudflare,1,False,True,,True,
daemon.litecoin.shapeshift.com,,405,41,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,daemon.litecoin.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,daemon.litecoin.shapeshift.com,cloudflare,443,https://daemon.litecoin.shapeshift.com:443,https,cloudflare,text/html,GET,104.16.151.72,/,-1840324437,2606:4700::6810:9748,Cloudflare,1,False,True,,True,
dev-api.bitcoin.shapeshift.com,ShapeShift Bitcoin API Docs,200,3042,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dev-api.bitcoin.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,dev-api.bitcoin.shapeshift.com,cloudflare,443,https://dev-api.bitcoin.shapeshift.com:443,https,cloudflare,text/html,GET,104.16.150.72,/,631524574,2606:4700::6810:9748,Node.js,81,False,True,,,https://dev-api.bitcoin.shapeshift.com/docs/
dev-api.ethereum.shapeshift.com,ShapeShift Ethereum API Docs,200,3043,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dev-api.ethereum.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,dev-api.ethereum.shapeshift.com,cloudflare,80,http://dev-api.ethereum.shapeshift.com:80,http,cloudflare,text/html,GET,104.16.151.72,/,631524574,2606:4700::6810:9648,Node.js,81,False,True,,True,https://dev-api.ethereum.shapeshift.com/docs/
dev-api.litecoin.shapeshift.com,ShapeShift Litecoin API Docs,200,3043,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dev-api.litecoin.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,dev-api.litecoin.shapeshift.com,cloudflare,443,https://dev-api.litecoin.shapeshift.com:443,https,cloudflare,text/html,GET,104.16.151.72,/,631524574,2606:4700::6810:9748,Node.js,81,False,True,,True,https://dev-api.litecoin.shapeshift.com/docs/
dev-daemon.bnbsmartchain.shapeshift.com,,503,19,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dev-daemon.bnbsmartchain.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,dev-daemon.bnbsmartchain.shapeshift.com,cloudflare,443,https://dev-daemon.bnbsmartchain.shapeshift.com:443,https,cloudflare,text/plain,GET,104.16.150.72,/,-1584092829,2606:4700::6810:9648,Cloudflare,1,False,True,,True,
dev-daemon.thorchain.shapeshift.com,,404,19,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dev-daemon.thorchain.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,dev-daemon.thorchain.shapeshift.com,cloudflare,443,https://dev-daemon.thorchain.shapeshift.com:443,https,cloudflare,text/plain,GET,104.16.150.72,/,-138391155,2606:4700::6810:9748,Cloudflare,2,False,True,,True,
https://a.y.at,,404,21,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,a.y.at,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b4f13ba64ec7589be572623b05aa8453,a13f514cc822068e43ab779657852f3a09184656d4b3a22e74bfab7c50aef284,True,ctls,a.y.at,cloudflare,443,https://a.y.at:443,https,cloudflare,application/json,GET,104.18.22.110,/,495411973,104.18.23.110,Varnish,1,False,True,,,
https://api-js.mixpanel.com,Mixpanel API,200,205,AS15169,GOOGLE,US,35.186.192.0/18,api-js.mixpanel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.mixpanel.com,*.mixpanel.com,,mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9de3177e2f0aeca9d197e5cfb99d784a,d0d3af37fb07a2a39f463802f3ef15b06b258c5068a987d54cbd37b5843906f5,True,ctls,api-js.mixpanel.com,google,443,https://api-js.mixpanel.com:443,https,envoy,text/html,GET,35.186.241.51,/,2028370544,130.211.34.183,Google Cloud CDN,11,False,True,,,
https://api-osmosis.imperator.co/,,404,22,AS13335,CLOUDFLARENET,US,172.68.28.0/24,api-osmosis.imperator.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T20:39:17Z,2023-06-22T20:39:16Z,CN=*.imperator.co,*.imperator.co,,imperator.co,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,906bd1f107752e438fef69f99082b88a,9b8fe45bc898104a667954083243c3998332eb3601e8fec7713d76b28f1a7de0,True,ctls,api-osmosis.imperator.co,cloudflare,443,https://api-osmosis.imperator.co:443,https,cloudflare,application/json,GET,172.67.42.56,/,2125685474,2606:4700:10::6816:6df,Cloudflare,1,False,True,,,
https://api-osmosis.imperator.co/tokens/,,404,22,AS13335,CLOUDFLARENET,US,172.68.28.0/24,api-osmosis.imperator.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T20:39:17Z,2023-06-22T20:39:16Z,CN=*.imperator.co,*.imperator.co,,imperator.co,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,906bd1f107752e438fef69f99082b88a,9b8fe45bc898104a667954083243c3998332eb3601e8fec7713d76b28f1a7de0,True,ctls,api-osmosis.imperator.co,cloudflare,443,https://api-osmosis.imperator.co:443/tokens/,https,cloudflare,application/json,GET,172.67.42.56,/tokens/,2125685474,2606:4700:10::6816:6df,Cloudflare,1,False,True,,,
https://api.0x.org,,404,48,AS14618,AMAZON-AES,US,18.211.60.0/24,api.0x.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T18:54:51Z,2023-07-07T18:54:50Z,CN=api.0x.org,api.0x.org,,api.0x.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f50958aba25f550b91ab09fa3a782a25,655549e1b7d84eab553ce8e36dcf3e6ee393ce5db7a8b0901b892b78bfd2e597,,ctls,api.0x.org,,443,https://api.0x.org:443,https,,application/json,GET,18.211.60.0,/,834205737,3.228.127.101,,1,False,,,,
