input,title,status_code,content_length,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,webserver,tech_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,csp_domains_,final_url
aws.sidefx.com,403 Forbidden,403,146,,443,https://aws.sidefx.com:443,https,text/html,GET,35.182.173.59,/,-1561873722,35.182.173.59,8,False,,nginx,Nginx,aws.sidefx.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-22T14:43:50Z,2024-03-22T14:43:50Z,"CN=sidefx.com, O=Side Effects Software Inc., L=Toronto, ST=Ontario, C=CA",sidefx.com,Side Effects Software Inc.,www.sidefx.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e78093b0e2a22bfa3f145309dc6fda3c,93d3dbb5f14da322f5405ddb221f6f3a9b7954757f927eaed312cd8a1b82b794,True,ctls,aws.sidefx.com,,
docs.sidefx.com,Documentation  | SideFX,200,46469,,80,http://docs.sidefx.com:80,http,text/html,GET,206.223.178.168,/,-810749293,206.223.178.168,1142,False,,nginx,Python,www.sidefx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T14:43:50Z,2024-03-22T14:43:50Z,"CN=sidefx.com, O=Side Effects Software Inc., L=Toronto, ST=Ontario, C=CA",sidefx.com,Side Effects Software Inc.,www.sidefx.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e78093b0e2a22bfa3f145309dc6fda3c,93d3dbb5f14da322f5405ddb221f6f3a9b7954757f927eaed312cd8a1b82b794,True,ctls,www.sidefx.com,cdn.sidefx.com,https://www.sidefx.com/docs/
download.sidefx.com,"Houdini - 3D modeling, animation, VFX, look development, lighting and rendering | SideFX",200,63777,,443,https://download.sidefx.com:443,https,text/html,GET,206.223.178.168,/,1494302000,206.223.178.168,1549,False,,nginx,Python,www.sidefx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T14:43:50Z,2024-03-22T14:43:50Z,"CN=sidefx.com, O=Side Effects Software Inc., L=Toronto, ST=Ontario, C=CA",sidefx.com,Side Effects Software Inc.,www.sidefx.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e78093b0e2a22bfa3f145309dc6fda3c,93d3dbb5f14da322f5405ddb221f6f3a9b7954757f927eaed312cd8a1b82b794,True,ctls,www.sidefx.com,lists.sidefx.com,https://www.sidefx.com/
drive.sidefx.com,Sign in - Google Accounts,200,1459,,80,http://drive.sidefx.com:80,http,text/html,GET,142.250.185.179,/,917277599,2a00:1450:4001:811::2013,32,False,,GSE,OpenGSE,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,url=https://www.google.com/accounts/AccountChooser?hd=sidefx.com&continue=https%3A%2F%2Fdrive.google.com%2Fa%2Fsidefx.com%2F&followup=https%3A%2F%2Fdrive.google.com%2Fa%2Fsidefx.com%2F&osid=1&service=wise&faa=1,https://www.google.com/a/sidefx.com/ServiceLogin?service=wise&passive=1209600&osid=1&continue=https://drive.google.com/a/sidefx.com/&followup=https://drive.google.com/a/sidefx.com/&faa=1
email.mg.sidefx.com,,404,19,google,80,http://email.mg.sidefx.com:80,http,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,2,False,True,,,,,,,,,,,,,,,,,,,,,,,
media.sidefx.com,403 Forbidden,403,146,cloudfront,443,https://media.sidefx.com:443,https,text/html,GET,143.204.215.14,/,1494302000,143.204.215.100,8,False,True,nginx,Nginx,media.sidefx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T14:43:50Z,2024-03-22T14:43:50Z,"CN=sidefx.com, O=Side Effects Software Inc., L=Toronto, ST=Ontario, C=CA",sidefx.com,Side Effects Software Inc.,www.sidefx.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e78093b0e2a22bfa3f145309dc6fda3c,93d3dbb5f14da322f5405ddb221f6f3a9b7954757f927eaed312cd8a1b82b794,True,ctls,media.sidefx.com,,
ovpn.sidefx.com,SideFX!,200,230,,80,http://ovpn.sidefx.com:80,http,text/html,GET,206.223.178.167,/,-1089532742,206.223.178.167,18,False,,nginx/1.14.0 (Ubuntu),Ubuntu,,,,,,,,,,,,,,,,,,,,,
phish.sidefx.com,,404,19,,80,http://phish.sidefx.com:80,http,text/plain,GET,3.138.63.169,/,-138391155,3.138.63.169,2,False,,,,,,,,,,,,,,,,,,,,,,,,
sidefx.com,"Houdini - 3D modeling, animation, VFX, look development, lighting and rendering | SideFX",200,63777,,80,http://sidefx.com:80,http,text/html,GET,206.223.178.168,/,566218143,206.223.178.168,1549,False,,nginx,Python,www.sidefx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T14:43:50Z,2024-03-22T14:43:50Z,"CN=sidefx.com, O=Side Effects Software Inc., L=Toronto, ST=Ontario, C=CA",sidefx.com,Side Effects Software Inc.,www.sidefx.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e78093b0e2a22bfa3f145309dc6fda3c,93d3dbb5f14da322f5405ddb221f6f3a9b7954757f927eaed312cd8a1b82b794,True,ctls,www.sidefx.com,static.sidefx.com,https://www.sidefx.com/
sslvpn.sidefx.com,,200,315,,443,https://sslvpn.sidefx.com:443,https,text/html,GET,76.9.215.90,/,-1840324437,76.9.215.90,9,False,,,HSTS,sslvpn.sidefx.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-22T14:43:50Z,2024-03-22T14:43:50Z,"CN=sidefx.com, O=Side Effects Software Inc., L=Toronto, ST=Ontario, C=CA",sidefx.com,Side Effects Software Inc.,www.sidefx.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e78093b0e2a22bfa3f145309dc6fda3c,93d3dbb5f14da322f5405ddb221f6f3a9b7954757f927eaed312cd8a1b82b794,True,ctls,sslvpn.sidefx.com,,
