new,host,a,soa,status_code,aaaa,cname,ns,cdn,cdn-name,mx,txt,caa
[x],api.prod.sketch.com,"35.171.77.252, 34.192.145.62, 34.225.78.161","ns-734.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,,"lb-public.prod.sketch.com, public-lb.prod.sketch.com",,,,,,
[x],beta-download.sketch.com,"172.67.13.208, 104.22.36.172, 104.22.37.172","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:24ac, 2606:4700:10::6816:25ac, 2606:4700:10::ac43:dd0",beta-download.sketch.com.cdn.cloudflare.net,,True,cloudflare,,,
[x],bid48cu.7692458t.sketch.com,158.247.26.252,"ns-550.awsdns-04.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],cdn.dev.sketch.com,"52.73.223.107, 100.24.160.84, 3.217.8.101","ns-1695.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"lb-public.non-prod.sketch.com, public-lb.non-prod.sketch.com",,,,,,
[x],cdn.sketch.com,"104.22.36.172, 104.22.37.172, 172.67.13.208","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:24ac, 2606:4700:10::ac43:dd0, 2606:4700:10::6816:25ac",cdn.sketch.com.cdn.cloudflare.net,,True,cloudflare,,,
[x],cloud-dev.sketch.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,d3o9akag3terqt.cloudfront.net,,,,,,
[x],cloud-staging.sketch.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,d3o9akag3terqt.cloudfront.net,,,,,,
[x],communications.sketch.com,"199.60.103.226, 199.60.103.30","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:2c40::c73c:67e2, 2606:2c40::c73c:671e","7692458.group8.sites.hubspot.net, group8.sites.hscoscdn00.net",,,,,,
[x],dev.sketch.com,"52.73.223.107, 3.217.8.101, 100.24.160.84","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1544.awsdns-01.co.uk, ns-370.awsdns-46.com, ns-847.awsdns-41.net, ns-1390.awsdns-45.org",,,,,
[x],developer.sketch.com,"35.156.224.161, 34.141.48.9","dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,"2a05:d014:275:cb00::c8, 2a05:d014:275:cb02::c8",developer-sketch.netlify.com,,True,google,,,
[x],download-staging.sketch.com,"104.22.36.172, 172.67.13.208, 104.22.37.172","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:25ac, 2606:4700:10::6816:24ac, 2606:4700:10::ac43:dd0",download-staging.sketch.com.cdn.cloudflare.net,,True,cloudflare,,,
[x],experimental-download-staging.dev.sketch.com,"100.24.160.84, 52.73.223.107, 3.217.8.101","ns-1695.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"lb-public.non-prod.sketch.com, public-lb.non-prod.sketch.com",,,,,,
[x],experimental-download.sketch.com,"104.22.36.172, 104.22.37.172, 172.67.13.208","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:24ac, 2606:4700:10::6816:25ac, 2606:4700:10::ac43:dd0",experimental-download.sketch.com.cdn.cloudflare.net,,True,cloudflare,,,
[x],feature-preview-download-staging.sketch.com,"104.22.36.172, 104.22.37.172, 172.67.13.208","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:25ac, 2606:4700:10::ac43:dd0, 2606:4700:10::6816:24ac",feature-preview-download-staging.sketch.com.cdn.cloudflare.net,,True,cloudflare,,,
