new,host,soa,status_code,a,mx,ns,txt,cdn,cdn-name,cname,aaaa
,abib.cmc.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,as01.hunt.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,athena.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,18.211.160.0,,,,,,,
,connect.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,cptest.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,downloads.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,"99.84.191.127, 99.84.191.91, 99.84.191.21, 99.84.191.129",,,,True,cloudfront,,
,faultline.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,18.211.160.0,,,,,,,
,fire.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,3.108.167.157,,,,,,,
,firelight.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,15.207.130.246,,,,,,,
,gc.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,3.213.6.62,,,,,,,
,heartbeat.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,hub.smokescreen.io,"jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"199.60.103.254, 199.60.103.2",,,,,,"7870773.group23.sites.hubspot.net, group23.sites.hscoscdn20.net","2606:2c40::c73c:6702, 2606:2c40::c73c:67fe"
,ib.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,18.211.160.0,,,,,,,
,ib2.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,ice.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,internal-wp.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,license.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,mario.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,18.211.160.0,,,,,,,
,smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,"13.32.99.124, 13.32.99.49, 13.32.99.38, 13.32.99.7","aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-1028.awsdns-00.org, ns-1950.awsdns-51.co.uk, ns-360.awsdns-45.com, ns-607.awsdns-11.net","atlassian-domain-verification=GHIuiTNJEyRTQCH5jL/EGZu6xwnIu/+hom9PY2GwAGlrG42sumZ1iMUbHedcie2w, google-site-verification=-vmcaH1qKx6eXU8GyctiVDRRYgP0C_TgDFymSqjd3HQ, logmein-verification-code=0a37dedd-57f1-4a08-8940-c2ce488436db, v=spf1 include:_spf.atlassian.net include:servers.mcsv.net include:_spf.google.com ~all",True,cloudfront,,
,staging-website-random.smokescreen.io,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,d12z4ph6u03h69.cloudfront.net,
,support.smokescreen.io,"NS1.ZOHOCORP.COM, dnsadmin.vtitan.COM",NOERROR,169.148.148.76,,"NS11.ZNS-53.COM, NS21.ZNS-53.NET, NS31.ZNS-53.COM, NS41.ZNS-53.NET, NS1.ZOHOCORP.COM, PDNS90.ULTRADNS.COM, PDNS90.ULTRADNS.NET, PDNS90.ULTRADNS.BIZ",,,,"desk.cs.zohohost.in, zs-in1-lczhost.zohohost.in",
,threat-intel.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,update-1.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,upload.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,52.23.30.118,,,,,,,
,www.connect.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,www.smokescreen.io,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,"13.224.222.65, 13.224.222.78, 13.224.222.88, 13.224.222.120",,,,True,cloudfront,,
