new,host,a,soa,status_code,cname,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,mx,aaaa,ptr,caa
[x],1afx.spe.sony.com,208.84.227.173,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],1pass-scim.infra.sie.sony.com,35.155.47.27,"swlext-ibsn-c01n01.infra.sie.sony.com, root.scea.com",NOERROR,,,,,,,,,,,
[x],2fa-qa.spe.sony.com,208.84.225.111,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],2fa.spe.sony.com,208.84.225.112,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],access.lyncpoc.ap.sony.com,,,NOERROR,,,,,,,,,,,
[x],accurateplayer-validate.mc.spe.sony.com,"52.215.108.95, 54.171.251.165","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],ace.spe.sony.com,213.152.248.156,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],ack.me.sony.com,"52.88.49.161, 44.229.226.116","ns-896.awsdns-48.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1273.awsdns-31.org, ns-1569.awsdns-04.co.uk, ns-463.awsdns-57.com, ns-896.awsdns-48.net",,,,,,,,,
[x],acm.account.sony.com,23.222.18.61,"a1-134.akam.net, hostmaster.akamai.com",NOERROR,,"a4-66.akam.net, a7-65.akam.net, a8-65.akam.net, a1-134.akam.net, a18-67.akam.net, a9-64.akam.net",,,_globalsign-domain-verification=Ky7oKiUXvyjZYDKT0hCsi90eEbbBDIt83n65XW4SY2,,,"inbound-smtp.eu-west-1.amazonaws.com, inbound-smtp.us-west-2.amazonaws.com","2a02:26f0:c900:29a::10da, 2a02:26f0:c900:299::10da",,
[x],acorn-ws.spe.sony.com,208.84.227.217,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],acorn.spe.sony.com,208.84.227.212,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],adfs.eu.sony.com,195.2.41.134,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],adfs.sony.com,160.33.196.74,"internal.akadns.net, hostmaster.akamai.com",NOERROR,"geo.adfs.sony.com.akadns.net, us.adfs.sony.com.akadns.net",,,,,,,,,,
[x],adl.vpn.sie.sony.com,217.18.18.116,"ns-1609.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],admin.esupport.sony.com,216.9.5.11,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],admin.servicesalesqa.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],admin.servicesplus-qa.sel.sony.com,"18.214.116.95, 52.44.154.109","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"admin-2019.servicesplus.nonprod.use1.asgardmap.net, servi-rload-vios9zq5jsc9-1610584437.us-east-1.elb.amazonaws.com",,,,,,,,,,
[x],admin.servicesplus-stage.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,"pdns1.cscdns.net, pdns2.cscdns.net",,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],admin.servicesplus.sel.sony.com,"54.174.196.140, 184.72.250.112","ns-859.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,admin-2019.servicesplus.prod.use1.asgardmap.net,"ns-1484.awsdns-57.org, ns-1874.awsdns-42.co.uk, ns-84.awsdns-10.com, ns-859.awsdns-43.net",,,,,,,,,
[x],aft01.spe.sony.com,208.84.227.104,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],aft02.spe.sony.com,208.84.227.105,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],aft03.spe.sony.com,208.84.227.73,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],aft1.spe.sony.com,208.84.227.155,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],aft2.spe.sony.com,208.84.227.156,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],aft3.spe.sony.com,208.84.227.157,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],agents.sensugo.aws.sie.sony.com,"10.201.182.50, 10.201.183.48, 10.201.182.168","ns-487.awsdns-60.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.201.182.50, 10.201.183.48, 10.201.182.168",,,,
