new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,txt,has_internal_ips,internal_ips,mx,caa
[x],accounts-master-api.staging.starlink.com,,,"ns51.domaincontrol.com, dns.jomax.net",NOERROR,,,,,2p5c30c07p9vls6568ln25f7f4c1bmg4,,,,
[x],alert.starlinkisp.net,"35.82.126.83, 52.25.196.1",alb-1-145642559.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"2600:1f14:480:fa00:8608:a736:eb63:a300, 2600:1f14:480:fa16:db:2235:8b3d:560a",,,,,
[x],alerts.starlinkisp.net,"35.82.126.83, 52.25.196.1",alb-1-145642559.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"2600:1f14:480:fa00:8608:a736:eb63:a300, 2600:1f14:480:fa16:db:2235:8b3d:560a",,,,,
[x],analytics.beta.starlink.com,199.232.170.133,spacex.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],analytics.starlink.com,146.75.118.133,spacex.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],api.beta.starlink.com,146.75.122.133,spacex.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",,,,,,
[x],api.payments-test.starlink.com,"151.101.1.217, 151.101.65.217, 151.101.129.217, 151.101.193.217",tls-starlinkpayments.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],api.payments.starlink.com,146.75.121.217,tls-starlinkpayments.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",,,,,,
[x],api.starlink.com,151.101.178.133,spacex.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],assets.hcaptcha.starlink.com,34.111.246.71,,"ns51.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,,,,,,
[x],auth.starlink.com,"151.101.2.133, 151.101.66.133, 151.101.130.133, 151.101.194.133",spacex.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],autodiscover.starlink.com,"40.99.157.8, 52.97.188.72, 40.99.157.24","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,"2603:1026:c0d:34::8, 2603:1026:c0d:76::8, 2603:1026:c0d:6a::8",,,,,
[x],aws-fw-0.starlinkisp.net,52.26.247.56,,"dns31.cloudns.net, isp\.abuse.spacex.com",NOERROR,,,,,,,,,
[x],bastion.starlinkisp.net,10.60.2.189,,"dns31.cloudns.net, isp\.abuse.spacex.com",NOERROR,,,,,,True,10.60.2.189,,
[x],bastion2.starlinkisp.net,35.83.130.141,,"dns31.cloudns.net, isp\.abuse.spacex.com",NOERROR,,,,,,,,,
[x],beta.starlink.com,,,"ns51.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,
[x],connect.starlink.com,34.107.166.226,,"ns51.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,,,,,,
