new,host,a,cname,soa,status_code,txt,ns,aaaa,mx,ptr,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],0.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],00535-ciam-account-admin-test-eastus.starbucks.com,13.92.224.170,s00535ppip-ciam-account-admin-test.eastus.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,True,azure,,,
[x],00535-ciam-account-test-westus2.starbucks.com,20.245.226.228,s00535ppip-ciam-account-test.westus.cloudapp.azure.com,"ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,,
[x],00535-ciam-authz-test-eastus.starbucks.com,20.124.99.43,s00535ppip-ciam-authz-test.eastus.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,,
[x],00535-egift-prodman-cert-westus2.starbucks.com,255.255.255.255,s00535ppip-egift-prodman-cert.westus.cloudapp.azure.com,"ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,True,255.255.255.255,
[x],01.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],03.openvpn.codex.egift.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;","ns3.dnsv5.com, ns4.dnsv5.com",,,,,,,,
[x],03.openvpn.rewards.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],03.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;","ns3.dnsv5.com, ns4.dnsv5.com",,,,,,,,
[x],0eipt01.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],0ft.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],0ment-fault.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],0ocviewel.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],0p.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],0z.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],10.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],10.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],10zyxwvutsrqponmlkj.openvpn.sms-stg.invoice.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],11.20.alerts.a1.webproxy.toggle.stg.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],13.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],14.10.apps.webproxy.toggle.stg.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],14.openvpn.rewards.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],14.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856","ns4.dnsv5.com, ns3.dnsv5.com",,,,,,,,
[x],15.openvpn.web.dqr.enterprise.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],15.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],16.10.al.abc.a1.webproxy.toggle.stg.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"v=DMARC1; p=none;, 397252328-50505856",,,,,,,,,
[x],16.openvpn.web.dqr-usw2.www.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
[x],16.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],17.am.a1.webproxy.toggle.stg.starbucks.com.cn,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,"397252328-50505856, v=DMARC1; p=none;",,,,,,,,,
