new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,mx,txt,caa
[x],admin.starlingbank.com,"54.229.33.42, 34.250.112.155, 34.243.192.173",,"ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,prod-management.jn3cx6xo36.net,,,,
[x],alertmanager.starlingbank.com,"52.18.134.34, 54.229.32.169, 54.155.177.217",,"ns-63.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,,,alertmanager.prod-tooling.starlingbank.dev,,,,
[x],api-openbanking-sandbox.starlingbank.com,"34.248.143.173, 3.248.77.163, 52.17.122.6",,"ns-1004.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,,api-openbanking-sandbox.possiblefs.com,,,,
[x],api.starlingbank.com,"52.16.227.240, 54.170.98.13, 18.203.0.142",,"ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,prod-api.jn3cx6xo36.net,,,,
[x],app.starlingbank.com,"18.164.52.21, 18.164.52.20, 18.164.52.46, 18.164.52.125","2600:9000:2450:4400:10:2e54:e500:93a1, 2600:9000:2450:5600:10:2e54:e500:93a1, 2600:9000:2450:d400:10:2e54:e500:93a1, 2600:9000:2450:5200:10:2e54:e500:93a1, 2600:9000:2450:6400:10:2e54:e500:93a1, 2600:9000:2450:3800:10:2e54:e500:93a1, 2600:9000:2450:ea00:10:2e54:e500:93a1, 2600:9000:2450:bc00:10:2e54:e500:93a1","ns-1206.awsdns-22.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d1cjkdqb3s9a50.cloudfront.net,"ns-1206.awsdns-22.org, ns-130.awsdns-16.com, ns-535.awsdns-02.net, ns-1826.awsdns-36.co.uk",,,
[x],blue.starlingbank.com,"13.32.99.12, 13.32.99.95, 13.32.99.96, 13.32.99.97","2600:9000:2251:5a00:1f:d556:8d80:93a1, 2600:9000:2251:8600:1f:d556:8d80:93a1, 2600:9000:2251:3600:1f:d556:8d80:93a1, 2600:9000:2251:8e00:1f:d556:8d80:93a1, 2600:9000:2251:fc00:1f:d556:8d80:93a1, 2600:9000:2251:e00:1f:d556:8d80:93a1, 2600:9000:2251:b600:1f:d556:8d80:93a1, 2600:9000:2251:1e00:1f:d556:8d80:93a1","ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,dw0341p8zbsxi.cloudfront.net,"ns-1163.awsdns-17.org, ns-1843.awsdns-38.co.uk, ns-371.awsdns-46.com, ns-862.awsdns-43.net",,,
[x],components.starlingbank.com,"99.84.108.16, 99.84.108.43, 99.84.108.54, 99.84.108.115, 205.251.192.211, 205.251.195.230, 205.251.197.125, 205.251.198.15","2600:9000:20e2:6a00:12:c866:e700:93a1, 2600:9000:20e2:e200:12:c866:e700:93a1, 2600:9000:20e2:1200:12:c866:e700:93a1, 2600:9000:20e2:c400:12:c866:e700:93a1, 2600:9000:20e2:6000:12:c866:e700:93a1, 2600:9000:20e2:de00:12:c866:e700:93a1, 2600:9000:20e2:ba00:12:c866:e700:93a1, 2600:9000:20e2:fc00:12:c866:e700:93a1","ns-1551.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d1ue4b710fr730.cloudfront.net,"ns-998.awsdns-60.net, ns-211.awsdns-26.com, ns-1551.awsdns-01.co.uk, ns-1405.awsdns-47.org",,,
[x],crl.starlingbank.com,"99.86.4.80, 99.86.4.103, 99.86.4.120, 99.86.4.45",,"ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d1ee8661v4qeiq.cloudfront.net,"ns-212.awsdns-26.com, ns-882.awsdns-46.net, ns-1308.awsdns-35.org, ns-1849.awsdns-39.co.uk",,,
[x],demo.starlingbank.com,"18.66.97.121, 18.66.97.19, 18.66.97.36, 18.66.97.95","2600:9000:223c:6800:8:e86b:5fc0:93a1, 2600:9000:223c:9c00:8:e86b:5fc0:93a1, 2600:9000:223c:a200:8:e86b:5fc0:93a1, 2600:9000:223c:2200:8:e86b:5fc0:93a1, 2600:9000:223c:4000:8:e86b:5fc0:93a1, 2600:9000:223c:4600:8:e86b:5fc0:93a1, 2600:9000:223c:4e00:8:e86b:5fc0:93a1, 2600:9000:223c:5200:8:e86b:5fc0:93a1","ns-754.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,dd9zvp6yo2nz.cloudfront.net,"ns-46.awsdns-05.com, ns-754.awsdns-30.net, ns-1172.awsdns-18.org, ns-1927.awsdns-48.co.uk",,,
[x],developer-sandbox.starlingbank.com,"52.19.157.19, 52.208.123.187, 52.17.16.213",,"ns-1004.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,,demo-developer.possiblefs.com,,,,
