new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,mx,txt
[x],6.swiggy.com,"13.32.27.113, 13.32.27.20, 13.32.27.70, 13.32.27.62",dv58msqavbd9p.cloudfront.net,"ns-973.awsdns-57.net, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:211e:6400:f:2a67:bb40:93a1, 2600:9000:211e:ba00:f:2a67:bb40:93a1, 2600:9000:211e:ee00:f:2a67:bb40:93a1, 2600:9000:211e:2400:f:2a67:bb40:93a1, 2600:9000:211e:4200:f:2a67:bb40:93a1, 2600:9000:211e:5400:f:2a67:bb40:93a1, 2600:9000:211e:e800:f:2a67:bb40:93a1, 2600:9000:211e:fa00:f:2a67:bb40:93a1","ns-1899.awsdns-45.co.uk, ns-973.awsdns-57.net, ns-1315.awsdns-36.org, ns-164.awsdns-20.com",True,cloudfront,,
[x],ads.swiggy.com,"54.179.103.41, 54.254.133.227, 54.254.3.64",makemesuper-1378912376.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],analytics-test.swiggy.com,"54.255.119.10, 18.138.4.143, 18.138.192.7",dp-p-event-collector-alb-126822912.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],analytics-uat.swiggy.com,13.229.51.132,,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],analytics.swiggy.com,"18.138.14.240, 52.221.34.138, 46.137.202.235, 46.137.210.61, 54.255.146.11, 18.138.63.19, 54.179.4.131, 52.77.21.193",public-analytics-swiggy-com-766210341.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],api.swiggy.com,"18.138.100.251, 54.169.248.118, 54.254.106.170",ns-api-swiggy-com-2005216846.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],app-stage.swiggy.com,13.250.167.81,,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],assets.swiggy.com,"99.86.4.129, 99.86.4.46, 99.86.4.2, 99.86.4.84",,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,
[x],blog.swiggy.com,198.71.233.128,,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],bytes.swiggy.com,"52.6.46.142, 52.4.225.124, 52.1.147.205, 52.4.145.119, 52.6.3.192, 52.0.16.118, 52.5.181.79, 52.1.119.170, 52.4.175.111, 52.4.240.221, 52.1.173.203, 52.4.38.70",,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1502.awsdns-59.org, ns-2013.awsdns-59.co.uk, ns-214.awsdns-26.com, ns-882.awsdns-46.net",,,,
[x],careers.swiggy.com,"143.204.176.108, 143.204.176.37, 143.204.176.22, 143.204.176.113",d1unt6ldv0tqxx.cloudfront.net,"ns-1044.awsdns-02.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:20f1:1800:13:1206:6940:93a1, 2600:9000:20f1:c000:13:1206:6940:93a1, 2600:9000:20f1:9000:13:1206:6940:93a1, 2600:9000:20f1:e600:13:1206:6940:93a1, 2600:9000:20f1:1e00:13:1206:6940:93a1, 2600:9000:20f1:8600:13:1206:6940:93a1, 2600:9000:20f1:d400:13:1206:6940:93a1, 2600:9000:20f1:e400:13:1206:6940:93a1","ns-1044.awsdns-02.org, ns-119.awsdns-14.com, ns-1578.awsdns-05.co.uk, ns-970.awsdns-57.net",True,cloudfront,,
[x],cbcc.swiggy.com,"54.255.201.17, 18.136.81.131, 3.1.241.191",,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],chkout.swiggy.com,"52.220.85.73, 52.77.167.164, 18.139.144.173",,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],cms-haproxy.swiggy.com,"54.179.89.202, 18.141.173.223",,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],communities.swiggy.com,"18.66.112.102, 18.66.112.43, 18.66.112.37, 18.66.112.5",,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,
[x],connect.swiggy.com,"52.77.8.27, 54.254.124.32, 13.228.84.75",ns-connect-swiggy-com-1965286069.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],corporate.swiggy.com,"54.169.97.227, 52.221.0.109, 52.74.243.84",public-redirects-947908327.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],crm-haproxy-v2.swiggy.com,18.136.206.40,,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],dash.swiggy.com,"54.251.14.139, 52.74.48.78, 18.140.218.14",,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],disc.swiggy.com,"3.0.213.38, 3.1.46.184, 18.136.29.66, 54.254.162.19, 54.251.175.161, 54.251.173.89",,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],events.swiggy.com,"13.213.242.81, 13.251.167.119, 18.138.125.180",ns-events-swiggy-com-262879826.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],everything.swiggy.com,,d2h8lagvyb6edx.cloudfront.net,,NOERROR,,,True,cloudfront,,
[x],finance-haproxy.swiggy.com,54.144.128.85,,,NOERROR,,,,,,
[x],fna.swiggy.com,"18.142.110.187, 13.250.174.105, 52.77.169.12",,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],ipay.swiggy.com,"18.136.42.131, 18.136.93.209, 52.76.61.236",ns-ipay-swiggy-com-210926049.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],labs.swiggy.com,"52.221.0.109, 54.169.97.227, 52.74.243.84",public-redirects-947908327.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],learn.swiggy.com,52.221.3.86,,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],lms.swiggy.com,"52.77.142.168, 13.215.12.87, 54.254.245.40",ns-lms-swiggy-com-47309080.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],makemesuper.swiggy.com,"54.254.3.64, 54.254.133.227, 54.179.103.41",makemesuper-1378912376.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],maps.swiggy.com,"3.1.17.227, 13.250.152.17, 13.250.214.16",,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],marketing.swiggy.com,"52.221.0.109, 54.169.97.227, 52.74.243.84",public-redirects-947908327.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],mdm.swiggy.com,"143.204.231.111, 143.204.231.3, 143.204.231.64, 143.204.231.118",d38o10lplvmhdx.cloudfront.net,"ns-2014.awsdns-59.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2113:7600:5:9871:2140:93a1, 2600:9000:2113:5200:5:9871:2140:93a1, 2600:9000:2113:ca00:5:9871:2140:93a1, 2600:9000:2113:ae00:5:9871:2140:93a1, 2600:9000:2113:fc00:5:9871:2140:93a1, 2600:9000:2113:de00:5:9871:2140:93a1, 2600:9000:2113:ba00:5:9871:2140:93a1, 2600:9000:2113:e200:5:9871:2140:93a1","ns-2014.awsdns-59.co.uk, ns-293.awsdns-36.com, ns-891.awsdns-47.net, ns-1383.awsdns-44.org",True,cloudfront,,
[x],media-assets.swiggy.com,"18.164.52.91, 18.164.52.88, 18.164.52.113, 18.164.52.109","swiggy.imgkit.net, d1ty6p8f4zl0y7.cloudfront.net","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2450:6400:1c:6bde:c3c0:93a1, 2600:9000:2450:b000:1c:6bde:c3c0:93a1, 2600:9000:2450:fe00:1c:6bde:c3c0:93a1, 2600:9000:2450:8e00:1c:6bde:c3c0:93a1, 2600:9000:2450:f000:1c:6bde:c3c0:93a1, 2600:9000:2450:be00:1c:6bde:c3c0:93a1, 2600:9000:2450:6200:1c:6bde:c3c0:93a1, 2600:9000:2450:ee00:1c:6bde:c3c0:93a1","ns-1817.awsdns-35.co.uk, ns-257.awsdns-32.com, ns-920.awsdns-51.net, ns-1193.awsdns-21.org",True,cloudfront,,
[x],momentsatwork.swiggy.com,"52.77.12.103, 3.1.249.119, 54.169.14.240",ns-momentsatwork-swiggy-com-1043335919.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],myvalendine.swiggy.com,54.144.128.85,,,NOERROR,,,,,,
