new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,cdn,cdn-name,txt,aaaa,ns,mx,caa
[x],abl.pat.td.com,152.199.0.96,"ns1.gammacdn.net, noc.edgecast.com",NOERROR,cs350.adn.gammacdn.net,,,,,,,,,
[x],abl.td.com,152.199.16.99,"ns1.nucdn.net, noc.edgecast.com",NOERROR,cs350.adn.nucdn.net,,,,,,,,,
[x],ablm.pat.td.com,,,NOERROR,,,,,,,,,,
[x],academy.td.com,"54.157.72.121, 3.222.203.211","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,lemonademultitenant-322503505.us-east-1.elb.amazonaws.com,,,,,,,,,
[x],acs2-prd1.td.com,192.168.230.32,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,True,192.168.230.32,,,,,,,
[x],acs2-prd2.td.com,192.168.88.72,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,True,192.168.88.72,,,,,,,
[x],admin.newissues.td.com,147.249.58.228,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],admin.testnewissues.td.com,147.249.58.240,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],admindr.newissues.td.com,147.249.59.228,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],advanceddashboard.dev.td.com,216.220.45.92,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],advanceddashboard.help.td.com,216.220.45.80,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],advanceddashboard.pat.td.com,,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"advanceddashboard.pat.td.com.edgekey.net, e80092.b.akamaiedge.net",,,,,,,,,
[x],advanceddashboard.td.com,"80.239.150.83, 80.239.150.25","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"advanceddashboard.td.com.edgekey.net, e25257.b.akamaiedge.net",,,,,,,,,
[x],advisor.pat.td.com,152.199.16.140,"ns.chicdn.net, noc.edgecast.com",NOERROR,cs1017.adn.chicdn.net,,,,,,,,,
[x],afccr.td.com,152.199.0.204,"ns1.systemcdn.net, noc.systemcdn.net",NOERROR,cs19.adn.systemcdn.net,,,,,,,,,
[x],aftw.sit1.td.com,,,NOERROR,,,,,,,,,,
[x],agapi.pat.td.com,142.205.179.7,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,agapi.pat.td.com.globalpat.td.com,,,,,,,,,
[x],airwatch.td.com,142.205.144.108,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],airwatch1.td.com,142.205.144.199,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],amcbapi-ypci.td.com,,,NOERROR,,,,,,,,,,
[x],apigateway.td.com,152.195.52.39,"ns1.rhocdn.net, noc.edgecast.com",NOERROR,cs1702.adn.rhocdn.net,,,,,,,,,
[x],appliquer.pat.choicerewards.ca.global.td.com,"142.205.129.173, 142.205.129.172","a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],apply.pat.choicerewards.ca.global.td.com,"142.205.129.171, 142.205.129.170","a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],apply.pat.td.com,"95.101.111.181, 95.101.111.136","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"apply.pat.td.com.edgekey.net, e101218.b.akamaiedge.net",,,,,,,,,
[x],apply2.pat.td.com,"2.16.186.232, 2.16.186.169","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"apply2.pat.td.com.edgekey.net, e101218.b.akamaiedge.net",,,,,,,,,
[x],apply2.td.com,"88.221.25.99, 88.221.25.97","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"apply2.td.com.edgekey.net, e128146.b.akamaiedge.net",,,,,,,,,
[x],apply3.pat.td.com,"2.16.187.67, 2.16.187.88","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"apply3.pat.td.com.edgekey.net, e101218.b.akamaiedge.net",,,,,,,,,
[x],applysoc.td.com,"95.101.74.151, 95.101.74.154","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"applysoc.td.com.edgekey.net, e128146.b.akamaiedge.net",,,,,,,,,
[x],appmail.uat.td.com,"142.205.131.15, 142.205.131.19, 142.205.131.26, 142.205.131.22, 142.205.131.17, 142.205.131.28, 142.205.131.11, 142.205.131.30","a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],appointments.td.com,"95.101.133.25, 95.101.133.59","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"appointments.td.com.edgekey.net, e100314.b.akamaiedge.net",,,,,,,,,
[x],apps.td.com,"95.101.74.138, 95.101.74.142","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"apps.td.com.edgekey.net, e70403.b.akamaiedge.net",,,,,,,,,
[x],arb.staging.td.com,3.145.237.140,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,artdbanknewtocanada.convertlanguage.com,,,,,,,,,
[x],arb.td.com,152.199.1.71,"ns1.xicdn.net, noc.edgecast.com",NOERROR,cs1065.adn.xicdn.net,,,,,,,,,
[x],atlas.pat.td.com,142.205.152.24,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],autest.td.com,,,NOERROR,,,,,,,,,,
[x],authentication.bdc.td.com,,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],authentication.pat.td.com,"2.16.187.35, 2.16.187.67","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"authentication.pat.td.com.edgekey.net, e91027.b.akamaiedge.net",,,,,,,,,
[x],authentication.td.com,152.199.16.69,"ns1.upsiloncdn.net, noc.edgecast.com",NOERROR,cs806.adn.upsiloncdn.net,,,,,,,,,
[x],authmaint.pat.td.com,"2.20.143.91, 2.20.143.80","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"authmaint.pat.td.com.edgekey.net, e91027.b.akamaiedge.net",,,,,,,,,
[x],authorization.pat.td.com,,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"authorization.pat.td.com.edgekey.net, e91027.b.akamaiedge.net",,,,,,,,,
[x],authorization.td.com,152.199.16.69,"ns1.upsiloncdn.net, noc.edgecast.com",NOERROR,cs806.adn.upsiloncdn.net,,,,,,,,,
[x],autocentres.td.com,"2.16.187.49, 2.16.187.106","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"autocentres.td.com.edgekey.net, e100314.b.akamaiedge.net",,,,,,,,,
[x],autodiscover.mgd.td.com,"23.103.227.70, 23.103.227.86, 23.103.227.118, 23.103.234.214, 206.191.254.150, 206.191.254.166, 23.103.234.230, 23.103.227.102, 23.103.232.38, 23.103.232.6, 23.103.232.54, 23.103.234.246, 206.191.254.134, 23.103.234.198, 206.191.254.182","ph0mgt0101dc001.prdmgt01.prod.exchangelabs.com, msnhst.microsoft.com, ch0mgt0101dc001.prdmgt01.prod.exchangelabs.com",NOERROR,"066-1-d.outlook.com, pod72008.outlook.com",,,,,,,,,
