new,host,a,soa,ns,status_code,mx,cname,aaaa,cdn,cdn-name,txt,has_internal_ips,internal_ips,caa
[x],155-9-203-75.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"aspmx3.googlemail.com, aspmx.l.google.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, mailer40.netzclub.net, alt1.aspmx.l.google.com",,,,,,,,
[x],ad.o2online.de,10.31.8.224,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,True,10.31.8.224,
[x],apigw.ortelmobile.de,82.113.101.186,,,NOERROR,,,,,,,,,
[x],app.cz.o2.com,160.218.161.165,"dns.iol.cz, hostmaster.iol.cz",,NOERROR,,,2001:41d8:1:8f20::30,,,,,,
[x],bd77e52.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, mailer40.netzclub.net",,,,,,,,
[x],beta-apps.nettokom.de,82.113.101.237,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,beta-apps-to.o2online.de,,,,,,,
[x],bim.portal.telefonica.de,10.231.233.11,"ns1.telefonica.de, hostmaster.de.telefonica.com",,NOERROR,,,,,,,True,10.231.233.11,
[x],chat.o2online.de,82.113.108.15,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
[x],chefredirecterror-alpha-internal.mein.simfinity.de,,"ns1.p7s1ns.de, domains.prosiebensat1.com",,NOERROR,,,,,,,,,
[x],cms-staging-new.blauworld.de,78.46.156.196,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,,
[x],confluence-dev.telefonica.de,,"ns.mediaways.net, hostmaster.telefonica.de",,NOERROR,,,,,,,,,
[x],corporate.de.o2.com,213.95.181.12,"ns1.o2online.de, domain-de.o2.com","ns3.o2online.de, ns1.o2online.de, ns2.o2online.de",NOERROR,"cluster-f.mailcontrol.com, dmmlw-seg-02.o2.com, dmmlw-seg-01.o2.com, cluster-d.mailcontrol.com",de.o2.com,2001:780:138:547::d55f:b50c,,,,,,
[x],crt.o2business.de,82.113.101.221,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,crt.o2online.de,,,,,,,
[x],customers.portal.telefonica.de,195.71.10.46,"ns1.telefonica.de, hostmaster.de.telefonica.com",,NOERROR,,,,,,,,,
[x],dev06.base.de,10.97.200.99,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,True,10.97.200.99,
